Keuwl Accelerometer Data File
2020-08-23 23-26-49

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.159214,0.034716,9.771935,9.773293,0.955521,167.699463
0.0099970,-0.164003,0.027533,9.759963,9.761380,0.976386,170.469879
0.0200710,-0.155623,0.034716,9.775525,9.776825,0.934399,167.424530
0.0299900,-0.154426,0.032322,9.771935,9.773209,0.925139,168.178513
0.0399920,-0.161609,0.041899,9.773131,9.774557,0.978588,165.465546
0.0499890,-0.154426,0.046687,9.777920,9.779250,0.945019,163.178589
0.0599960,-0.165200,0.038307,9.775525,9.776996,0.993669,166.944748
0.0706350,-0.160412,0.032322,9.771935,9.773305,0.959608,168.607864
0.0799940,-0.156820,0.044293,9.775525,9.776883,0.954906,164.228058
0.0899790,-0.168791,0.035913,9.776723,9.778246,1.011237,167.988525
0.1000500,-0.162806,0.040701,9.775525,9.776965,0.983375,165.963760
0.1099870,-0.153229,0.043096,9.783905,9.785200,0.932092,164.291367
0.1200960,-0.160412,0.034716,9.768343,9.769722,0.962662,167.788498
0.1311460,-0.154426,0.046687,9.775525,9.776856,0.945640,163.178589
0.1401170,-0.153229,0.040701,9.781511,9.782796,0.928517,165.124313
0.1500640,-0.159214,0.038307,9.777920,9.779291,0.959608,166.471680
0.1600030,-0.153229,0.037110,9.781511,9.782782,0.923445,166.385818
0.1700050,-0.167594,0.039504,9.777920,9.779435,1.008718,166.736679
0.1800170,-0.158017,0.045490,9.779117,9.780499,0.963068,163.940018
0.1912100,-0.158017,0.034716,9.779117,9.780455,0.947707,167.609146
0.1999830,-0.156820,0.037110,9.774328,9.775657,0.944605,166.686371
0.2102680,-0.153229,0.037110,9.777920,9.779191,0.923869,166.385818
0.2200290,-0.164003,0.041899,9.776723,9.778189,0.992092,165.668930
0.2303770,-0.164003,0.034716,9.764751,9.766191,0.983574,168.048126
0.2400350,-0.160412,0.034716,9.771935,9.773313,0.962255,167.788498
0.2500210,-0.162806,0.045490,9.775525,9.776986,0.990513,164.389008
0.2599870,-0.160412,0.032322,9.776723,9.778092,0.958996,168.607864
0.2712290,-0.162806,0.028730,9.764751,9.766150,0.969750,169.992020
0.2800000,-0.161609,0.044293,9.773131,9.774568,0.982181,164.673080
0.2899850,-0.153229,0.037110,9.771935,9.773207,0.924504,166.385818
0.3000590,-0.166397,0.038307,9.773131,9.774623,1.000929,167.035492
0.3099910,-0.166397,0.039504,9.776723,9.778219,1.002296,166.644653
0.3200130,-0.159214,0.041899,9.776723,9.778110,0.964895,165.256439
0.3300550,-0.160412,0.028730,9.775525,9.776883,0.954906,169.845734
0.3400070,-0.162806,0.033519,9.768343,9.769757,0.974982,168.366364
