Keuwl Accelerometer Data File
2020-08-23 23-27-34

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.270545,-0.428562,9.759963,9.773113,2.972626,302.263611
0.0100250,0.272939,-0.420182,9.770737,9.783575,2.935583,303.006653
0.0200750,0.270545,-0.429759,9.777920,9.791098,2.973021,302.191498
0.0300060,0.266953,-0.432153,9.763555,9.776759,2.978153,301.704803
0.0400280,0.275333,-0.430956,9.769540,9.782915,2.996436,302.574066
0.0500240,0.277727,-0.429759,9.775525,9.788908,2.996370,302.872131
0.0599980,0.260968,-0.426168,9.763555,9.776335,2.929976,301.481628
0.0701190,0.262165,-0.428562,9.763555,9.776471,2.945569,301.455444
0.0800040,0.276530,-0.416591,9.780313,9.793087,2.926701,303.575928
0.0900120,0.275333,-0.427365,9.774328,9.787539,2.977298,302.791962
0.0999920,0.276530,-0.422577,9.770737,9.783779,2.958765,303.200378
0.1100070,0.277727,-0.421380,9.768343,9.781371,2.957507,303.388519
0.1200130,0.269348,-0.432153,9.762358,9.775630,2.985964,301.933990
0.1300400,0.275333,-0.434548,9.773131,9.786661,3.013114,302.358704
0.1401830,0.271742,-0.423774,9.764751,9.777719,2.951212,302.669739
0.1511540,0.275333,-0.429759,9.775525,9.788840,2.988782,302.646393
0.1600100,0.265756,-0.421380,9.773131,9.785821,2.918194,302.238892
0.1699930,0.274136,-0.432153,9.768343,9.781740,2.999048,302.388947
0.1800330,0.277727,-0.426168,9.773131,9.786361,2.979533,303.091705
0.1900080,0.270545,-0.434548,9.765948,9.779354,3.000418,301.905975
0.1999850,0.268151,-0.427365,9.767146,9.780169,2.957044,302.106262
0.2100820,0.269348,-0.432153,9.759963,9.773238,2.986686,301.933990
0.2199940,0.263362,-0.433351,9.765948,9.779105,2.972428,301.288513
0.2300960,0.263362,-0.435745,9.765948,9.779212,2.984456,301.148590
0.2400360,0.276530,-0.420182,9.764751,9.777699,2.948823,303.349701
0.2499900,0.262165,-0.429759,9.765948,9.778914,2.950814,301.384369
0.2601250,0.270545,-0.433351,9.775525,9.788865,2.991597,301.976929
0.2700430,0.275333,-0.428562,9.764751,9.778028,2.986161,302.719055
0.2800250,0.269348,-0.438139,9.759963,9.773504,3.016426,301.581299
0.2901830,0.269348,-0.428562,9.765948,9.779058,2.967089,302.149017
