Keuwl Accelerometer Data File
2020-08-23 23-29-00

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.033519,-0.053870,9.806650,9.806855,0.370623,301.890778
0.0099850,0.043096,-0.069432,9.811439,9.811779,0.477244,301.827454
0.0200150,0.041899,-0.062249,9.807847,9.808134,0.438348,303.943604
0.0299990,0.038307,-0.057461,9.804255,9.804499,0.403483,303.690063
0.0399950,0.044293,-0.051475,9.817424,9.817658,0.396142,310.710846
0.0500070,0.043096,-0.062249,9.807847,9.808139,0.441905,304.695160
0.0600300,0.047884,-0.059855,9.803059,9.803358,0.447624,308.659821
0.0700400,0.045490,-0.059855,9.797073,9.797361,0.439240,307.234833
0.0800180,0.046687,-0.065841,9.798270,9.798602,0.471469,305.340118
0.0900050,0.041899,-0.061052,9.804255,9.804535,0.432507,304.460815
0.1004330,0.038307,-0.056264,9.813833,9.814070,0.397621,304.249023
0.1102280,0.045490,-0.063446,9.804255,9.804566,0.456283,305.639801
0.1200020,0.032322,-0.055067,9.801862,9.802070,0.373253,300.411072
0.1300420,0.041899,-0.059855,9.799467,9.799740,0.427501,304.992004
0.1400890,0.045490,-0.065841,9.801862,9.802188,0.467300,304.640961
0.1500310,0.034716,-0.057461,9.797073,9.797303,0.392669,301.138977
0.1600480,0.045490,-0.062249,9.797073,9.797377,0.450674,306.158173
0.1700190,0.034716,-0.061052,9.803059,9.803310,0.410693,299.623749
0.1801050,0.040701,-0.065841,9.799467,9.799772,0.451975,301.723602
0.1900290,0.038307,-0.050278,9.810242,9.810446,0.369565,307.303955
0.2005070,0.049081,-0.059855,9.797073,9.797379,0.452407,309.351746
0.2100410,0.038307,-0.064643,9.803059,9.803347,0.439240,300.650665
0.2200990,0.038307,-0.061052,9.801862,9.802127,0.421509,302.106262
0.2300330,0.039504,-0.055067,9.801862,9.802096,0.396636,305.655334
0.2400140,0.039504,-0.074220,9.804255,9.804616,0.491385,298.024506
0.2500250,0.044293,-0.057461,9.803059,9.803328,0.424285,307.626221
0.2600220,0.045490,-0.067038,9.794679,9.795013,0.473540,304.159698
0.2700140,0.049081,-0.056264,9.812635,9.812920,0.436111,311.099518
0.2803460,0.046687,-0.056264,9.809045,9.809318,0.427043,309.685455
0.2900060,0.058658,-0.064643,9.797073,9.797462,0.510524,312.220825
0.3002380,0.040701,-0.059855,9.806650,9.806917,0.422899,304.215698
0.3100430,0.041899,-0.059855,9.810242,9.810514,0.427043,304.992004
0.3205020,0.050278,-0.053870,9.811439,9.811715,0.430239,313.025055
0.3300540,0.045490,-0.055067,9.810242,9.810502,0.417310,309.559662
0.3400880,0.046687,-0.061052,9.807847,9.808148,0.448934,307.405365
0.3501320,0.043096,-0.058658,9.806650,9.806920,0.425206,306.304504
0.3600020,0.034716,-0.055067,9.798270,9.798486,0.380007,302.228760
0.3700070,0.044293,-0.059855,9.805453,9.805736,0.434763,306.501434
0.3800880,0.039504,-0.058658,9.806650,9.806906,0.413542,303.959045
0.3900870,0.034716,-0.050278,9.810242,9.810432,0.357180,304.624146
0.4010590,0.046687,-0.058658,9.811439,9.811726,0.438348,308.516937
0.4099940,0.047884,-0.059855,9.800665,9.800964,0.448061,308.659821
0.4199900,0.035913,-0.051475,9.806650,9.806850,0.366375,304.902496
0.4300020,0.040701,-0.062249,9.794679,9.794961,0.435213,303.178528
0.4400290,0.051475,-0.064643,9.797073,9.797421,0.482950,308.530182
0.4502450,0.046687,-0.058658,9.804255,9.804543,0.438348,308.516937
0.4600200,0.033519,-0.057461,9.799467,9.799693,0.389165,300.256439
0.4700760,0.040701,-0.062249,9.807847,9.808129,0.434763,303.178528
0.4800190,0.049081,-0.062249,9.798270,9.798591,0.463516,308.254425
0.4900950,0.046687,-0.062249,9.806650,9.806959,0.454995,306.869904
0.5000130,0.043096,-0.052672,9.807847,9.808084,0.398113,309.289398
0.5102460,0.040701,-0.058658,9.806650,9.806910,0.416841,304.755920
0.5199850,0.045490,-0.061052,9.803059,9.803354,0.444994,306.689728
0.5300540,0.038307,-0.058658,9.803059,9.803308,0.409261,303.147003
0.5400940,0.047884,-0.057461,9.810242,9.810527,0.437007,309.805573
0.5502770,0.046687,-0.058658,9.812635,9.812922,0.437455,308.516937
0.5601740,0.043096,-0.061052,9.797073,9.797359,0.437007,305.217590
0.5703160,0.032322,-0.056264,9.791088,9.791304,0.380007,299.875977
0.5799970,0.046687,-0.063446,9.810242,9.810558,0.460127,306.347473
0.5900310,0.044293,-0.062249,9.804255,9.804553,0.446311,305.433319
0.6000600,0.043096,-0.059855,9.807847,9.808125,0.431147,305.753876
0.6100839,0.039504,-0.055067,9.799467,9.799702,0.396636,305.655334
0.6200250,0.033519,-0.055067,9.799467,9.799680,0.377424,301.328705
0.6300480,0.035913,-0.058658,9.809045,9.809286,0.402025,301.476837
0.6400300,0.031125,-0.055067,9.797073,9.797277,0.369565,299.475891
0.6500040,0.040701,-0.053870,9.800665,9.800898,0.394657,307.073059
0.6600300,0.033519,-0.058658,9.801862,9.802094,0.394657,299.744873
0.6700490,0.041899,-0.056264,9.810242,9.810493,0.409739,306.674347
0.6800730,0.040701,-0.056264,9.800665,9.800911,0.405901,305.882141
0.6901510,0.039504,-0.052672,9.807847,9.808068,0.384613,306.869904
0.7000240,0.043096,-0.058658,9.806650,9.806920,0.425206,306.304504
0.7099820,0.026336,-0.052672,9.795877,9.796054,0.344917,296.565063
0.7200000,0.052672,-0.064643,9.799467,9.799822,0.487386,309.173645
0.7300640,0.039504,-0.050278,9.805453,9.805662,0.373777,308.157227
0.7400360,0.043096,-0.058658,9.815030,9.815300,0.424746,306.304504
0.7499859,0.038307,-0.064643,9.813833,9.814121,0.438795,300.650665
0.7600350,0.039504,-0.055067,9.804255,9.804490,0.396142,305.655334
0.7700170,0.047884,-0.070629,9.806650,9.807021,0.498501,304.135925
0.7799920,0.044293,-0.062249,9.803059,9.803356,0.446311,305.433319
0.7900960,0.045490,-0.055067,9.815030,9.815290,0.417310,309.559662
0.7999760,0.035913,-0.057461,9.798270,9.798505,0.396636,302.005371
