Keuwl Accelerometer Data File
2020-08-23 23-33-47

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.146046,0.044293,9.791088,9.792277,0.893067,163.128571
0.0100010,-0.166397,0.065841,9.785102,9.786738,1.047732,158.412109
0.0199750,-0.155623,0.074220,9.776723,9.778243,1.010269,154.502441
0.0299910,-0.158017,0.053870,9.761160,9.762588,0.979787,161.175293
0.0400310,-0.156820,0.050278,9.771935,9.773322,0.965503,162.223587
0.0499860,-0.140061,0.057461,9.783905,9.785076,0.886470,157.693802
0.0599760,-0.138864,0.043096,9.781511,9.782592,0.851568,162.758545
0.0699720,-0.149638,0.025139,9.791088,9.792264,0.888013,170.463364
0.0801160,-0.149638,0.015562,9.787497,9.788653,0.880934,174.062592
0.0900230,-0.149638,0.022745,9.781511,9.782682,0.886470,171.357193
0.0999940,-0.165200,0.010774,9.773131,9.774533,0.970355,176.268600
0.1099670,-0.165200,0.002394,9.777920,9.779315,0.967932,179.169678
0.1199940,-0.164003,-0.003591,9.782708,9.784083,0.960627,181.254456
0.1300540,-0.167594,-0.003591,9.788693,9.790129,0.981184,181.227585
0.1399920,-0.155623,-0.009577,9.789890,9.791132,0.912574,183.521454
0.1500050,-0.146046,0.005986,9.788693,9.789784,0.855466,177.653122
0.1599890,-0.143652,0.014365,9.786300,9.787364,0.844878,174.289413
0.1701200,-0.140061,0.023942,9.779117,9.780149,0.832277,170.299606
0.1801690,-0.146046,0.029928,9.781511,9.782647,0.873125,168.419388
0.1899510,-0.140061,0.041899,9.779117,9.780209,0.856151,163.345688
0.2000160,-0.146046,0.052672,9.787497,9.788728,0.908706,160.167877
0.2099620,-0.156820,0.063446,9.786300,9.787762,0.990316,157.972717
0.2199730,-0.150835,0.071826,9.779117,9.780543,0.978588,154.536652
0.2299490,-0.160412,0.044293,9.765948,9.767366,0.976386,164.564133
0.2399610,-0.156820,0.052672,9.767146,9.768547,0.970355,161.433945
0.2499560,-0.159214,0.044293,9.776723,9.778120,0.968538,164.453674
0.2599930,-0.152032,0.023942,9.789890,9.791100,0.900486,171.050537
0.2699400,-0.135272,0.011971,9.782708,9.783650,0.795247,174.942749
0.2799440,-0.129287,-0.016759,9.786300,9.787169,0.763358,187.386047
0.2899980,-0.135272,-0.005986,9.781511,9.782449,0.793276,182.533554
0.2999590,-0.135272,-0.010774,9.776723,9.777665,0.795493,184.553772
0.3099980,-0.150835,-0.001197,9.781511,9.782674,0.883374,180.454712
0.3199790,-0.166397,-0.007183,9.782708,9.784126,0.975584,182.471664
0.3299320,-0.152032,0.003591,9.786300,9.787481,0.890214,178.646805
0.3400100,-0.162806,0.023942,9.781511,9.782895,0.963677,171.634109
0.3499760,-0.168791,0.032322,9.782708,9.784218,1.006582,169.159698
0.3599710,-0.160412,0.051475,9.776723,9.778174,0.987149,162.208801
0.3699800,-0.155623,0.044293,9.776723,9.778062,0.948120,164.112823
0.3799520,-0.143652,0.043096,9.780313,9.781464,0.878710,163.300751
0.3899980,-0.136469,0.053870,9.782708,9.783808,0.859118,158.459030
0.3999710,-0.134075,0.043096,9.789890,9.790903,0.824008,162.181107
0.4099800,-0.129287,0.045490,9.787497,9.788456,0.802107,160.615479
0.4199750,-0.137667,0.052672,9.786300,9.787410,0.862981,159.062714
0.4299570,-0.153229,0.041899,9.780313,9.781604,0.930622,164.707016
0.4401630,-0.160412,0.038307,9.782708,9.784099,0.965908,166.568970
0.4499830,-0.162806,0.032322,9.785102,9.786510,0.971766,168.771103
0.4599740,-0.150835,0.011971,9.785102,9.786272,0.886028,175.462234
0.4699870,-0.149638,0.003591,9.787497,9.788641,0.876033,178.625168
0.4799650,-0.141258,-0.021548,9.791088,9.792130,0.836031,188.673172
0.4900030,-0.148441,-0.011971,9.786300,9.787433,0.871779,184.610657
0.4999860,-0.141258,-0.011971,9.782708,9.783735,0.830159,184.843994
0.5102290,-0.146046,-0.010774,9.781511,9.782607,0.857522,184.219101
0.5199630,-0.153229,0.005986,9.779117,9.780318,0.898093,177.763016
0.5299340,-0.158017,0.020351,9.785102,9.786399,0.932722,172.661392
0.5402000,-0.174777,0.026336,9.793482,9.795076,1.033819,171.430862
0.5499900,-0.168791,0.044293,9.785102,9.786658,1.021825,165.296448
0.5599550,-0.173580,0.052672,9.782708,9.784389,1.062200,163.119675
0.5700180,-0.171185,0.056264,9.780313,9.781974,1.055732,161.805786
0.5799470,-0.155623,0.062249,9.777920,9.779356,0.981982,158.198593
0.5899680,-0.132878,0.056264,9.779117,9.780181,0.845341,157.051056
0.5999710,-0.134075,0.046687,9.789890,9.790919,0.830630,160.801147
0.6099660,-0.131681,0.031125,9.788693,9.789629,0.792041,166.701431
0.6199630,-0.130484,0.035913,9.781511,9.782448,0.792782,164.611526
0.6299130,-0.143652,0.026336,9.780313,9.781404,0.855694,169.611145
0.6403189,-0.137667,0.014365,9.785102,9.786081,0.810600,174.042862
0.6499740,-0.154426,0.007183,9.780313,9.781535,0.905470,177.337006
0.6599520,-0.160412,0.007183,9.788693,9.790010,0.939828,177.436234
0.6700259,-0.167594,-0.003591,9.788693,9.790129,0.981184,181.227585
0.6799580,-0.167594,-0.003591,9.786300,9.787735,0.981184,181.227585
0.6899700,-0.166397,0.003591,9.776723,9.778140,0.975584,178.763596
0.6999660,-0.165200,0.011971,9.780313,9.781716,0.970355,175.855377
0.7099760,-0.160412,0.007183,9.782708,9.784025,0.940036,177.436234
0.7199780,-0.153229,0.015562,9.783905,9.785117,0.901789,174.200775
0.7299510,-0.147243,0.025139,9.782708,9.783849,0.874916,170.311218
0.7400070,-0.143652,0.031125,9.785102,9.786206,0.860710,167.774872
0.7499700,-0.148441,0.033519,9.793482,9.794663,0.889994,167.275650
0.7599580,-0.148441,0.033519,9.773131,9.774316,0.891971,167.275650
0.7700320,-0.154426,0.047884,9.777920,9.779256,0.947087,162.772507
0.7799510,-0.154426,0.051475,9.777920,9.779274,0.953471,161.565048
0.7900040,-0.147243,0.059855,9.782708,9.783999,0.930832,157.878052
0.8000140,-0.150835,0.055067,9.786300,9.787617,0.940036,159.943909
0.8099599,-0.136469,0.041899,9.794679,9.795719,0.835094,162.932602
0.8199750,-0.131681,0.040701,9.785102,9.786073,0.806971,162.824097
0.8299210,-0.128090,0.020351,9.776723,9.777583,0.760018,170.972382
0.8399840,-0.137667,0.019154,9.785102,9.786089,0.813732,172.079254
0.8499530,-0.137667,0.005986,9.782708,9.783679,0.807213,177.510452
0.8599399,-0.149638,0.003591,9.783905,9.785050,0.876703,178.625168
0.8699350,-0.164003,0.004788,9.781511,9.782887,0.961034,178.327606
0.8799550,-0.162806,0.010774,9.781511,9.782872,0.955725,176.213882
0.8899530,-0.177171,0.004788,9.780313,9.781919,1.038163,178.451843
0.8999590,-0.174777,0.014365,9.785102,9.786674,1.026792,175.301315
0.9100050,-0.174777,0.026336,9.783905,9.785501,1.034954,171.430862
0.9199740,-0.169988,0.029928,9.785102,9.786624,1.010463,170.015045
0.9299300,-0.154426,0.031125,9.781511,9.782780,0.922597,168.604675
0.9400730,-0.143652,0.028730,9.786300,9.787396,0.857750,168.690063
0.9499649,-0.138864,0.033519,9.783905,9.784948,0.836733,166.429565
0.9599630,-0.134075,0.041899,9.787497,9.788505,0.822344,162.645981
0.9699889,-0.130484,0.045490,9.781511,9.782488,0.809634,160.780228
0.9799710,-0.135272,0.059855,9.777920,9.779038,0.866601,156.131668
0.9899679,-0.140061,0.052672,9.782708,9.783853,0.876257,159.390305
1.0000340,-0.148441,0.040701,9.793482,9.794691,0.900269,164.666718
1.0099640,-0.150835,0.038307,9.789890,9.791127,0.910642,165.749969
1.0199569,-0.146046,0.039504,9.785102,9.786271,0.885586,164.864166
1.0299859,-0.152032,0.026336,9.782708,9.783925,0.903740,170.172272
1.0400190,-0.155623,0.017957,9.781511,9.782765,0.917493,173.418060
1.0499569,-0.158017,-0.005986,9.769540,9.770820,0.927462,182.169250
1.0600560,-0.158017,0.008380,9.779117,9.780396,0.926829,176.964432
1.0699879,-0.164003,0.007183,9.780313,9.781692,0.961848,177.492294
1.0799479,-0.159214,0.007183,9.781511,9.782809,0.933351,177.416977
1.0900440,-0.164003,0.009577,9.788693,9.790071,0.961441,176.658051
1.0999730,-0.160412,0.032322,9.782708,9.784077,0.958383,168.607864
1.1099559,-0.168791,0.025139,9.781511,9.783000,0.999559,171.528854
1.1200420,-0.164003,0.031125,9.777920,9.779345,0.977988,169.254150
1.1299829,-0.155623,0.039504,9.782708,9.784025,0.940036,165.756546
1.1400310,-0.143652,0.044293,9.782708,9.783863,0.880267,162.863724
1.1500520,-0.128090,0.040701,9.782708,9.783631,0.787085,162.371979
1.1599940,-0.141258,0.046687,9.783905,9.785036,0.871106,161.710846
1.1699860,-0.125696,0.033519,9.775525,9.776390,0.762075,165.068588
1.1800039,-0.128090,0.034716,9.777920,9.778820,0.777580,164.835541
1.1899760,-0.129287,0.043096,9.779117,9.780066,0.798194,161.565048
1.1999900,-0.140061,0.033519,9.794679,9.795737,0.842327,166.541321
1.2099710,-0.162806,0.032322,9.782708,9.784116,0.971967,168.771103
1.2199880,-0.166397,0.021548,9.782708,9.784147,0.982778,172.621460
1.2299839,-0.184354,0.033519,9.777920,9.779715,1.097714,169.695160
1.2400249,-0.174777,0.023942,9.782708,9.784299,1.033251,172.199814
1.2499700,-0.174777,0.004788,9.777920,9.779483,1.024502,178.430649
1.2599869,-0.168791,0.014365,9.782708,9.784175,0.992092,175.135483
1.2700220,-0.158017,0.005986,9.783905,9.785183,0.925984,177.830750
1.2799700,-0.148441,0.002394,9.787497,9.788623,0.869081,179.075958
1.2899580,-0.147243,-0.003591,9.792285,9.793392,0.861619,181.397186
1.2999750,-0.143652,0.019154,9.786300,9.787373,0.848345,172.405350
1.3099910,-0.143652,0.020351,9.787497,9.788572,0.849497,171.936752
1.3199630,-0.150835,0.029928,9.775525,9.776734,0.901138,168.777542
1.3299590,-0.138864,0.039504,9.788693,9.789758,0.844878,164.119858
1.3399540,-0.149638,0.045490,9.785102,9.786352,0.915785,163.090729
1.3499579,-0.137667,0.038307,9.792285,9.793327,0.836031,164.450195
1.3599830,-0.136469,0.045490,9.788693,9.789750,0.841862,161.565048
1.3699590,-0.137667,0.034716,9.781511,9.782541,0.831336,165.846588
