Keuwl Accelerometer Data File
2020-08-23 23-34-43

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.197522,-0.014365,9.762358,9.764366,1.162138,184.159637
0.0099560,-0.185551,0.001197,9.787497,9.789255,1.086065,179.630356
0.0199610,-0.187945,-0.001197,9.788693,9.790498,1.100029,180.364929
0.0299340,-0.190339,-0.001197,9.770737,9.772591,1.116099,180.360352
0.0399630,-0.190339,0.001197,9.776723,9.778576,1.115398,179.639648
0.0500170,-0.186748,0.010774,9.777920,9.779709,1.095930,176.698135
0.0599790,-0.189142,0.010774,9.779117,9.780951,1.109770,176.739838
0.0699740,-0.184354,0.008380,9.783905,9.785645,1.080646,177.397430
0.0799700,-0.180762,0.004788,9.789890,9.791560,1.058139,178.482590
0.0899670,-0.181959,0.011971,9.775525,9.777225,1.068628,176.235962
0.0999740,-0.193930,0.015562,9.779117,9.781052,1.139695,175.412018
0.1099670,-0.181959,0.007183,9.788693,9.790387,1.065694,177.739502
0.1199830,-0.184354,0.003591,9.787497,9.789233,1.079197,178.883987
0.1300820,-0.186748,0.004788,9.786300,9.788082,1.093427,178.531204
0.1399860,-0.195127,0.015562,9.781511,9.783469,1.146371,175.440048
0.1499640,-0.185551,0.009577,9.773131,9.774898,1.089124,177.045425
0.1600030,-0.198719,0.017957,9.779117,9.781152,1.168854,174.836700
0.1699680,-0.192733,0.015562,9.781511,9.783422,1.132460,175.383652
0.1799800,-0.197522,0.009577,9.779117,9.781116,1.158427,177.224197
0.1899660,-0.197522,-0.002394,9.775525,9.777520,1.157413,180.694458
0.1999550,-0.181959,0.005986,9.786300,9.787992,1.065694,178.115952
0.2099830,-0.173580,0.007183,9.787497,9.789039,1.017026,177.630493
0.2199800,-0.193930,0.008380,9.776723,9.778650,1.137632,177.525803
0.2299810,-0.181959,0.003591,9.781511,9.783204,1.065878,178.869308
0.2399740,-0.187945,0.007183,9.786300,9.788107,1.101096,177.811417
0.2500060,-0.187945,0.008380,9.786300,9.788108,1.101273,177.447098
0.2599730,-0.192733,0.008380,9.781511,9.783414,1.130038,177.510452
0.2704990,-0.187945,0.001197,9.773131,9.774939,1.101806,179.635071
0.2799800,-0.191536,-0.004788,9.776723,9.778601,1.122916,181.432098
0.2899600,-0.197522,0.017957,9.777920,9.779931,1.161969,174.805573
0.3000050,-0.185551,-0.003591,9.782708,9.784468,1.086605,181.108810
0.3099790,-0.189142,0.004788,9.780313,9.782144,1.108358,178.549789
0.3199980,-0.178368,-0.001197,9.783905,9.785531,1.044552,180.384537
0.3300020,-0.185551,0.010774,9.781511,9.783277,1.088405,176.676880
0.3399570,-0.184354,0.005986,9.782708,9.784447,1.080103,178.140396
0.3499900,-0.186748,-0.005986,9.791088,9.792871,1.093248,181.835770
0.3600290,-0.181959,0.001197,9.786300,9.787992,1.065327,179.623062
0.3699800,-0.187945,0.005986,9.782708,9.784515,1.101273,178.175903
0.3799800,-0.181959,0.003591,9.783905,9.785598,1.065694,178.869308
0.3900090,-0.203507,0.008380,9.780313,9.782434,1.193210,177.642090
0.3999980,-0.181959,0.007183,9.782708,9.784403,1.066429,177.739502
0.4099890,-0.196325,-0.002394,9.770737,9.772709,1.151141,180.698700
0.4200350,-0.185551,-0.002394,9.786300,9.788058,1.086065,180.739258
0.4300110,-0.181959,-0.002394,9.782708,9.784400,1.065511,180.753845
0.4399760,-0.184354,0.003591,9.782708,9.784446,1.079740,178.883987
0.4500380,-0.183156,0.001197,9.781511,9.783226,1.072832,179.625519
0.4599950,-0.185551,-0.002394,9.780313,9.782074,1.086965,180.739258
0.4701540,-0.189142,0.011971,9.788693,9.790528,1.109241,176.378510
0.4800030,-0.183156,-0.001197,9.786300,9.788013,1.072102,180.374481
0.4900320,-0.184354,0.004788,9.785102,9.786839,1.079740,178.512131
0.4999900,-0.187945,0.005986,9.782708,9.784515,1.101273,178.175903
0.5100260,-0.190339,0.015562,9.781511,9.783376,1.118551,175.325836
0.5199870,-0.184354,0.008380,9.783905,9.785645,1.080646,177.397430
0.5299580,-0.181959,0.009577,9.782708,9.784405,1.066979,176.987213
0.5399780,-0.185551,0.004788,9.781511,9.783273,1.087325,178.521729
0.5499630,-0.184354,0.003591,9.787497,9.789233,1.079197,178.883987
0.5599730,-0.183156,0.002394,9.781511,9.783226,1.072832,179.251083
0.5708839,-0.180762,-0.010774,9.779117,9.780793,1.060910,183.410950
0.5799770,-0.191536,0.014365,9.780313,9.782200,1.125180,175.710846
0.5899610,-0.185551,0.003591,9.782708,9.784468,1.086605,178.891190
0.5999560,-0.183156,-0.004788,9.787497,9.789211,1.072467,181.497589
0.6099650,-0.192733,0.003591,9.783905,9.785804,1.128652,178.932495
0.6199850,-0.191536,0.005986,9.782708,9.784585,1.122219,178.210083
0.6299950,-0.181959,0.005986,9.780313,9.782008,1.066612,178.115952
0.6399730,-0.190339,0.017957,9.783905,9.785773,1.119600,174.610687
0.6499700,-0.183156,0.001197,9.783905,9.785620,1.072649,179.625519
0.6600330,-0.186748,0.010774,9.783905,9.785693,1.095394,176.698135
0.6699760,-0.180762,0.010774,9.787497,9.789171,1.059802,176.589050
0.6799900,-0.181959,0.001197,9.788693,9.790384,1.064960,179.623062
0.6900260,-0.183156,-0.003591,9.786300,9.788014,1.072467,181.123306
0.7001200,-0.189142,0.015562,9.780313,9.782155,1.111708,175.296387
0.7099970,-0.195127,0.014365,9.785102,9.787058,1.145517,175.789505
0.7200280,-0.185551,0.008380,9.785102,9.786865,1.087685,177.414200
0.7299980,-0.189142,0.008380,9.785102,9.786933,1.108358,177.463242
0.7400220,-0.178368,0.009577,9.787497,9.789126,1.045488,176.926666
0.7499730,-0.184354,0.003591,9.785102,9.786839,1.079740,178.883987
0.7599640,-0.184354,0.005986,9.783905,9.785644,1.080103,178.140396
0.7704020,-0.183156,0.008380,9.781511,9.783230,1.073925,177.380447
0.7800350,-0.183156,-0.004788,9.789890,9.791604,1.071919,181.497589
0.7900389,-0.183156,0.007183,9.787497,9.789213,1.073014,177.754257
0.7999790,-0.181959,-0.002394,9.788693,9.790384,1.064960,180.753845
0.8099900,-0.185551,0.005986,9.785102,9.786862,1.086785,178.152390
0.8201489,-0.181959,0.011971,9.787497,9.789195,1.067346,176.235962
0.8300030,-0.191536,0.001197,9.783905,9.785780,1.121521,179.641907
0.8400010,-0.192733,0.002394,9.786300,9.788198,1.128306,179.288284
0.8500960,-0.192733,0.005986,9.787497,9.789396,1.128826,178.221207
0.8603300,-0.193930,0.011971,9.780313,9.782244,1.138148,176.467712
0.8701470,-0.183156,0.011971,9.785102,9.786823,1.074654,176.260498
0.8799779,-0.183156,0.003591,9.787497,9.789211,1.072467,178.876694
0.8900430,-0.190339,0.004788,9.785102,9.786955,1.114871,178.558899
0.8999699,-0.193930,0.014365,9.780313,9.782247,1.139008,175.763611
0.9099950,-0.191536,0.009577,9.777920,9.779800,1.123613,177.137589
0.9200170,-0.189142,0.008380,9.785102,9.786933,1.108358,177.463242
0.9302019,-0.191536,0.003591,9.777920,9.779796,1.122219,178.925827
0.9399960,-0.187945,0.013168,9.782708,9.784522,1.103226,175.992203
0.9506490,-0.187945,-0.011971,9.787497,9.789309,1.102339,183.644485
0.9600110,-0.191536,0.007183,9.780313,9.782191,1.122742,177.852417
0.9700209,-0.190339,0.008380,9.775525,9.777382,1.116625,177.479172
0.9800750,-0.189142,0.003591,9.779117,9.780946,1.108182,178.912231
0.9900080,-0.185551,0.003591,9.785102,9.786861,1.086425,178.891190
0.9999790,-0.190339,0.001197,9.782708,9.784560,1.114871,179.639648
1.0100380,-0.177171,0.007183,9.789890,9.791496,1.037786,177.678467
1.0200440,-0.189142,0.001197,9.779117,9.780946,1.108182,179.637375
1.0299890,-0.183156,0.009577,9.785102,9.786820,1.073743,177.006866
1.0400020,-0.181959,0.011971,9.779117,9.780816,1.068079,176.235962
1.0499519,-0.175974,0.007183,9.782708,9.784293,1.031355,177.662689
1.0600270,-0.191536,0.009577,9.781511,9.783391,1.123091,177.137589
1.0699940,-0.181959,0.007183,9.791088,9.792782,1.065694,177.739502
1.0800259,-0.186748,0.002394,9.792285,9.794066,1.092890,179.265472
1.0900329,-0.197522,-0.001197,9.785102,9.787095,1.156399,180.347244
1.0999880,-0.196325,-0.005986,9.777920,9.779892,1.150631,181.746277
1.1131929,-0.189142,0.008380,9.779117,9.780949,1.108888,177.463242
1.1299659,-0.178368,0.003591,9.782708,9.784335,1.044927,178.846542
1.1400180,-0.192733,0.010774,9.782708,9.784613,1.130558,176.800461
1.1500070,-0.201113,0.008380,9.780313,9.782385,1.179188,177.614059
1.1599820,-0.186748,0.008380,9.782708,9.784493,1.094500,177.430756
1.1700239,-0.187945,0.008380,9.786300,9.788108,1.101273,177.447098
1.1799750,-0.185551,0.002394,9.781511,9.783271,1.086605,179.260742
1.1899920,-0.179565,0.001197,9.786300,9.787947,1.051088,179.618027
1.2000259,-0.185551,-0.001197,9.787497,9.789255,1.086065,180.369644
1.2100130,-0.183156,-0.001197,9.786300,9.788013,1.072102,180.374481
1.2200060,-0.191536,-0.003591,9.780313,9.782189,1.122045,181.074173
1.2300451,-0.186748,-0.007183,9.789890,9.791674,1.093606,182.202591
1.2400429,-0.193930,0.013168,9.780313,9.782245,1.138492,176.115509
1.2499830,-0.178368,0.003591,9.781511,9.783138,1.044927,178.846542
1.2600199,-0.183156,0.002394,9.782708,9.784423,1.072649,179.251083
1.2701010,-0.185551,0.002394,9.787497,9.789255,1.086065,179.260742
1.2802939,-0.186748,0.001197,9.776723,9.778506,1.094322,179.632721
1.2901199,-0.180762,0.005986,9.786300,9.787971,1.058694,178.103485
1.3000249,-0.185551,0.005986,9.786300,9.788060,1.086785,178.152390
1.3105860,-0.181959,0.002394,9.787497,9.789188,1.065327,179.246155
1.3200359,-0.191536,0.005986,9.781511,9.783388,1.122393,178.210083
1.3299940,-0.184354,0.010774,9.782708,9.784451,1.081370,176.655350
1.3400079,-0.186748,0.009577,9.780313,9.782101,1.095215,177.064331
1.3502510,-0.186748,0.002394,9.777920,9.779703,1.094143,179.265472
1.3599939,-0.185551,0.002394,9.781511,9.783271,1.086605,179.260742
1.3700169,-0.184354,0.003591,9.787497,9.789233,1.079197,178.883987
1.3799640,-0.185551,0.005986,9.783905,9.785666,1.087145,178.152390
1.3902470,-0.187945,-0.008380,9.780313,9.782123,1.101984,182.552902
1.3999939,-0.183156,-0.003591,9.786300,9.788014,1.072467,181.123306
1.4099790,-0.185551,0.001197,9.788693,9.790452,1.086065,179.630356
1.4199759,-0.184354,0.003591,9.788693,9.790430,1.079197,178.883987
1.4299719,-0.180762,0.003591,9.780313,9.781984,1.059063,178.861816
1.4399740,-0.195127,0.003591,9.783905,9.785851,1.142781,178.945602
1.4499540,-0.184354,-0.003591,9.786300,9.788036,1.079378,181.116013
1.4599659,-0.185551,-0.005986,9.781511,9.783273,1.087325,181.847610
1.4701070,-0.191536,0.001197,9.785102,9.786977,1.121521,179.641907
1.4799669,-0.181959,0.014365,9.781511,9.783215,1.069177,175.486008
1.4899629,-0.186748,0.003591,9.782708,9.784492,1.093964,178.898300
1.5000910,-0.186748,0.003591,9.783905,9.785688,1.093964,178.898300
1.5100039,-0.179565,0.009577,9.789890,9.791541,1.052205,176.947113
