Keuwl Accelerometer Data File
2020-08-23 23-37-48

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.137667,-0.013168,9.779117,9.780094,0.810117,185.463837
0.0096460,-0.135272,-0.016759,9.779117,9.780066,0.798439,187.062607
0.0196770,-0.131681,-0.023942,9.777920,9.778835,0.784096,190.304840
0.0296620,-0.136469,-0.025139,9.777920,9.778904,0.813011,190.437469
0.0396910,-0.141258,-0.011971,9.776723,9.777751,0.830866,184.843994
0.0496980,-0.138864,-0.017957,9.782708,9.783710,0.820199,187.368057
0.0596690,-0.140061,-0.016759,9.783905,9.784922,0.825905,186.823456
0.0696280,-0.132878,-0.023942,9.776723,9.777655,0.791053,190.213974
0.0797040,-0.125696,-0.016759,9.777920,9.778742,0.742831,187.594650
0.0896530,-0.126893,-0.023942,9.780313,9.781166,0.756405,190.684906
0.0996670,-0.140061,-0.022745,9.786300,9.787328,0.830394,189.223923
0.1096770,-0.138864,-0.027533,9.777920,9.778944,0.829215,191.214920
0.1196450,-0.130484,-0.021548,9.779117,9.780010,0.774555,189.377060
0.1296660,-0.120907,-0.020351,9.780313,9.781082,0.718188,189.554291
0.1396690,-0.137667,-0.023942,9.779117,9.780114,0.818288,189.865799
0.1496570,-0.131681,-0.025139,9.780313,9.781233,0.785592,190.808228
0.1597000,-0.125696,-0.019154,9.780313,9.781140,0.744936,188.664139
0.1697900,-0.128090,-0.026336,9.782708,9.783582,0.765662,191.618530
0.1796640,-0.129287,-0.017957,9.776723,9.777595,0.765150,187.907166
0.1896690,-0.132878,-0.016759,9.776723,9.777640,0.784844,187.188538
0.1997050,-0.134075,-0.014365,9.775525,9.776455,0.790310,186.115509
0.2096640,-0.125696,-0.017957,9.774328,9.775153,0.744410,188.130096
0.2197420,-0.124498,-0.016759,9.770737,9.771544,0.736217,187.666809
0.2297030,-0.135272,-0.017957,9.768343,9.769297,0.800642,187.561432
0.2397060,-0.138864,-0.009577,9.776723,9.777714,0.815654,183.945190
0.2497600,-0.132878,-0.017957,9.779117,9.780036,0.785592,187.696045
0.2596650,-0.135272,-0.022745,9.779117,9.780078,0.803326,189.544525
0.2697260,-0.124498,-0.025139,9.783905,9.784729,0.743621,191.415833
0.2797230,-0.129287,-0.014365,9.775525,9.776390,0.762075,186.340195
0.2897120,-0.132878,-0.021548,9.781511,9.782437,0.788327,189.211029
0.2996940,-0.132878,-0.025139,9.780313,9.781248,0.792041,190.713120
0.3096810,-0.129287,-0.025139,9.777920,9.778807,0.771771,191.003540
0.3197320,-0.128090,-0.022745,9.785102,9.785967,0.761818,190.069061
0.3296580,-0.125696,-0.022745,9.774328,9.775163,0.748604,190.256821
0.3396780,-0.134075,-0.021548,9.779117,9.780059,0.795247,189.130173
0.3497020,-0.135272,-0.015562,9.781511,9.782459,0.797703,186.562698
0.3596750,-0.131681,-0.019154,9.779117,9.780022,0.779591,188.275894
0.3696590,-0.130484,-0.022745,9.779117,9.780013,0.775817,189.887985
0.3797060,-0.130484,-0.026336,9.768343,9.769250,0.780845,191.410980
