Keuwl Accelerometer Data File
2020-08-24 13-22-37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.106542,-0.119710,9.743204,9.744522,0.942323,228.330917
0.0100010,-0.110133,-0.126893,9.756371,9.757818,0.986554,229.044479
0.0200350,-0.100556,-0.118513,9.745598,9.746837,0.913431,229.685898
0.0299710,-0.108936,-0.117316,9.752781,9.754095,0.940452,227.121094
0.0399670,-0.101754,-0.125696,9.737218,9.738561,0.951416,231.009003
0.0500040,-0.099359,-0.113725,9.737218,9.738389,0.888674,228.856796
0.0599850,-0.111330,-0.120907,9.738416,9.739802,0.966921,227.361374
0.0700180,-0.105345,-0.125696,9.744401,9.745781,0.964286,230.033783
0.0799890,-0.106542,-0.120907,9.752781,9.754112,0.946674,228.613876
0.0899790,-0.095768,-0.117316,9.746795,9.747972,0.890214,230.774323
0.1000130,-0.107739,-0.122104,9.747993,9.749352,0.956953,228.576340
0.1099850,-0.099359,-0.120907,9.747993,9.749249,0.919623,230.587250
0.1200340,-0.092177,-0.110133,9.736021,9.737081,0.845341,230.072128
0.1299850,-0.104148,-0.126893,9.747993,9.749374,0.964692,230.622391
0.1399820,-0.096965,-0.129287,9.737218,9.738559,0.950799,233.130096
0.1499910,-0.104148,-0.119710,9.751583,9.752874,0.932302,228.976730
0.1600090,-0.096965,-0.130484,9.736021,9.737378,0.956544,233.383255
0.1700300,-0.106542,-0.119710,9.747993,9.749310,0.941700,228.330917
0.1799820,-0.104148,-0.119710,9.747993,9.749284,0.932512,228.976730
0.1899820,-0.112527,-0.126893,9.746795,9.748270,0.996815,228.433624
0.2000330,-0.099359,-0.124498,9.746795,9.748096,0.936282,231.407440
0.2099970,-0.108936,-0.128090,9.747993,9.749443,0.988338,229.619919
0.2200680,-0.104148,-0.132878,9.755175,9.756636,0.991500,231.911224
0.2300190,-0.106542,-0.114922,9.744401,9.745661,0.921323,227.166916
0.2399990,-0.105345,-0.117316,9.749189,9.750464,0.926618,228.077454
0.2500560,-0.102951,-0.120907,9.745598,9.746891,0.933351,229.586105
0.2600150,-0.107739,-0.128090,9.756371,9.757807,0.982778,229.932083
0.2700250,-0.107739,-0.128090,9.756371,9.757807,0.982778,229.932083
0.2800260,-0.107739,-0.128090,9.747993,9.749430,0.983773,229.932083
0.2899960,-0.102951,-0.130484,9.746795,9.748212,0.976987,231.726883
0.3000370,-0.106542,-0.126893,9.742006,9.743415,0.974179,229.982422
0.3100120,-0.101754,-0.126893,9.745598,9.746955,0.956135,231.274338
0.3200110,-0.101754,-0.119710,9.744401,9.745667,0.923657,229.635468
0.3300030,-0.101754,-0.120907,9.751583,9.752864,0.928517,229.916565
0.3400130,-0.107739,-0.117316,9.746795,9.748096,0.936073,227.436646
0.3500170,-0.104148,-0.116119,9.743204,9.744452,0.917066,228.110840
0.3600550,-0.106542,-0.126893,9.756371,9.757778,0.972973,229.982422
0.3700190,-0.110133,-0.123301,9.749189,9.750591,0.971564,228.228653
0.3799880,-0.104148,-0.117316,9.756371,9.757632,0.921111,228.402771
0.3900630,-0.098162,-0.122104,9.743204,9.744463,0.920899,231.203445
0.4000880,-0.105345,-0.122104,9.751583,9.752916,0.947294,229.214172
0.4100670,-0.106542,-0.119710,9.747993,9.749310,0.941700,228.330917
0.4200680,-0.104148,-0.118513,9.744401,9.745679,0.927884,228.691391
0.4301190,-0.105345,-0.123301,9.751583,9.752932,0.952855,229.490448
0.4400480,-0.098162,-0.114922,9.745598,9.746770,0.888454,229.497147
0.4500690,-0.105345,-0.117316,9.745598,9.746874,0.927040,228.077454
0.4600390,-0.104148,-0.125696,9.743204,9.744572,0.960015,230.355820
0.4700650,-0.100556,-0.129287,9.739613,9.740990,0.963474,232.125015
0.4800440,-0.104148,-0.123301,9.759963,9.761297,0.947294,229.813553
0.4900150,-0.106542,-0.123301,9.746795,9.748158,0.957975,229.170441
0.5000800,-0.105345,-0.126893,9.751583,9.752977,0.968740,230.300919
0.5102150,-0.105345,-0.130484,9.758766,9.760207,0.984569,231.084702
0.5200770,-0.099359,-0.113725,9.747993,9.749163,0.887793,228.856796
0.5300510,-0.094571,-0.108936,9.738416,9.739484,0.848576,229.037704
0.5400850,-0.090980,-0.119710,9.737218,9.738379,0.884702,232.765167
0.5501429,-0.102951,-0.114922,9.745598,9.746819,0.906766,228.144958
0.5600490,-0.110133,-0.122104,9.756371,9.757757,0.965706,227.950775
0.5700410,-0.099359,-0.129287,9.743204,9.744568,0.958588,232.457062
0.5800610,-0.104148,-0.120907,9.750386,9.751692,0.937535,229.258850
0.5901040,-0.098162,-0.117316,9.749189,9.750389,0.898746,230.079605
0.6000910,-0.107739,-0.120907,9.747993,9.749338,0.952033,228.296112
0.6100500,-0.095768,-0.131681,9.746795,9.748155,0.957158,233.972626
0.6200550,-0.101754,-0.117316,9.734824,9.736063,0.914074,229.063370
0.6301500,-0.100556,-0.117316,9.745598,9.746822,0.908275,229.398697
0.6400760,-0.105345,-0.126893,9.749189,9.750584,0.968942,230.300919
0.6500549,-0.101754,-0.119710,9.745598,9.746864,0.923657,229.635468
0.6600110,-0.106542,-0.123301,9.751583,9.752945,0.957566,229.170441
0.6700630,-0.102951,-0.119710,9.751583,9.752862,0.927884,229.304474
0.6800979,-0.106542,-0.118513,9.743204,9.744507,0.936908,228.044785
0.6900179,-0.112527,-0.125696,9.740809,9.742270,0.992290,228.163879
0.7000740,-0.106542,-0.123301,9.739613,9.740976,0.958792,229.170441
0.7100700,-0.107739,-0.125696,9.757569,9.758973,0.971766,229.398697
0.7200999,-0.096965,-0.123301,9.740809,9.742072,0.922385,231.818207
0.7300400,-0.101754,-0.122104,9.743204,9.744500,0.934399,230.194427
0.7400560,-0.102951,-0.126893,9.742006,9.743377,0.961034,230.946869
0.7501570,-0.096965,-0.126893,9.737218,9.738527,0.939620,232.614716
0.7601730,-0.099359,-0.114922,9.740809,9.741994,0.893505,229.153854
0.7700330,-0.099359,-0.120907,9.737218,9.738476,0.920899,230.587250
0.7800250,-0.110133,-0.124498,9.746795,9.748212,0.976987,228.503525
0.7900020,-0.102951,-0.124498,9.746795,9.748134,0.949563,230.411865
0.8000570,-0.098162,-0.117316,9.737218,9.738420,0.900051,230.079605
0.8100190,-0.105345,-0.124498,9.743204,9.744569,0.958996,229.763641
0.8200600,-0.107739,-0.124498,9.751583,9.752973,0.967123,229.127594
0.8303610,-0.104148,-0.120907,9.753978,9.755283,0.937326,229.258850
0.8400560,-0.095768,-0.118513,9.742006,9.743197,0.895911,231.058990
0.8501050,-0.099359,-0.107739,9.738416,9.739518,0.862073,227.317062
0.8600350,-0.094571,-0.107739,9.738416,9.739470,0.843255,228.724060
0.8700550,-0.106542,-0.125696,9.745598,9.746991,0.968740,229.714752
0.8801210,-0.112527,-0.125696,9.747993,9.749453,0.991698,228.163879
0.8900300,-0.108936,-0.120907,9.752781,9.754139,0.956135,227.981461
0.9000570,-0.111330,-0.117316,9.749189,9.750531,0.950593,226.499542
0.9100630,-0.110133,-0.117316,9.740809,9.742139,0.946467,226.808746
0.9200900,-0.099359,-0.112527,9.753978,9.755133,0.881600,228.556183
0.9300449,-0.092177,-0.111330,9.739613,9.740685,0.849958,230.376709
0.9400309,-0.092177,-0.113725,9.750386,9.751485,0.860028,230.974319
0.9508290,-0.094571,-0.112527,9.749189,9.750298,0.863887,229.955444
0.9601110,-0.093374,-0.114922,9.738416,9.739541,0.870881,230.906143
0.9700750,-0.102951,-0.122104,9.742006,9.743315,0.938995,229.864517
0.9800420,-0.105345,-0.119710,9.745598,9.746902,0.937535,228.652222
0.9900600,-0.102951,-0.119710,9.744401,9.745681,0.928517,229.304474
1.0005939,-0.105345,-0.120907,9.745598,9.746917,0.942531,228.934784
1.0101169,-0.099359,-0.113725,9.745598,9.746768,0.887793,228.856796
1.0200499,-0.106542,-0.122104,9.745598,9.746945,0.952649,228.893707
