Keuwl Accelerometer Data File
2020-08-24 13-24-18

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.046687,-0.004788,9.720459,9.720572,0.276953,185.856018
0.0099990,-0.056264,0.016759,9.732430,9.732607,0.346050,163.412659
0.0199870,-0.056264,0.010774,9.740809,9.740978,0.337462,169.159698
0.0299920,-0.058658,0.005986,9.732430,9.732608,0.346615,174.173660
0.0400200,-0.053870,0.007183,9.725247,9.725399,0.320206,172.405350
0.0499880,-0.063446,0.008380,9.732430,9.732640,0.376905,172.476181
0.0600030,-0.049081,-0.001197,9.721656,9.721780,0.289391,181.397186
0.0700460,-0.047884,-0.001197,9.725247,9.725366,0.282549,181.432098
0.0800050,-0.047884,0.004788,9.734824,9.734943,0.283240,174.289413
0.0900330,-0.052672,0.003591,9.734824,9.734967,0.310904,176.099503
0.1000030,-0.059855,0.004788,9.731233,9.731419,0.354430,175.426086
0.1100400,-0.059855,0.007183,9.736021,9.736208,0.354982,173.157227
0.1200180,-0.063446,0.007183,9.738416,9.738625,0.375344,173.541183
0.1300110,-0.065841,-0.005986,9.739613,9.739837,0.388662,185.194427
0.1400560,-0.052672,0.009577,9.730036,9.730184,0.315899,169.695160
0.1499940,-0.058658,0.007183,9.734824,9.735003,0.347742,173.018936
0.1600820,-0.055067,0.005986,9.743204,9.743361,0.325659,173.796555
0.1700040,-0.055067,0.004788,9.737218,9.737374,0.324455,175.030258
0.1799950,-0.055067,0.014365,9.731233,9.731400,0.335718,165.379120
0.1900980,-0.047884,0.009577,9.733627,9.733750,0.288036,168.690063
0.1999930,-0.059855,0.002394,9.732430,9.732614,0.352215,177.709396
0.2100050,-0.057461,0.005986,9.730036,9.730207,0.340349,174.053131
0.2199960,-0.061052,0.011971,9.749189,9.749388,0.365305,168.906281
0.2300470,-0.056264,0.017957,9.731233,9.731412,0.347742,162.299576
0.2400250,-0.055067,0.003591,9.733627,9.733784,0.325057,176.268600
0.2501350,-0.058658,0.003591,9.730036,9.730213,0.346050,176.496475
0.2600070,-0.057461,0.008380,9.727641,9.727815,0.342069,171.702850
0.2699990,-0.061052,0.008380,9.736021,9.736217,0.363156,172.184708
0.2799960,-0.059855,0.009577,9.733627,9.733816,0.356632,170.909729
0.2900230,-0.062249,0.011971,9.726444,9.726651,0.373777,169.114471
0.3000230,-0.052672,0.011971,9.733627,9.733777,0.317752,167.195740
0.3100140,-0.043096,0.001197,9.734824,9.734920,0.253338,178.408859
0.3200490,-0.050278,-0.009577,9.731233,9.731367,0.301316,190.784302
0.3300260,-0.059855,-0.002394,9.724051,9.724235,0.352770,182.290604
0.3401500,-0.061052,-0.003591,9.732430,9.732621,0.359365,183.366455
0.3500050,-0.046687,0.007183,9.733627,9.733742,0.277659,171.253830
0.3600190,-0.055067,0.005986,9.721656,9.721813,0.326259,173.796555
0.3700060,-0.053870,-0.004788,9.728839,9.728989,0.317752,185.079605
0.3800040,-0.046687,0.004788,9.725247,9.725361,0.276953,174.143982
0.3901670,-0.057461,0.004788,9.726444,9.726615,0.339197,175.236359
0.4000110,-0.044293,0.008380,9.731233,9.731338,0.266144,169.286880
0.4101370,-0.057461,0.004788,9.733627,9.733798,0.339197,175.236359
0.4200090,-0.057461,0.002394,9.730036,9.730206,0.339197,177.614059
0.4300230,-0.056264,0.005986,9.727641,9.727806,0.333965,173.927551
0.4403270,-0.056264,0.007183,9.730036,9.730202,0.334550,172.724991
0.4499760,-0.059855,0.010774,9.731233,9.731423,0.358820,169.796021
0.4600310,-0.053870,0.007183,9.730036,9.730187,0.319594,172.405350
0.4700060,-0.051475,0.004788,9.725247,9.725385,0.304546,174.685455
0.4800350,-0.053870,0.005986,9.730036,9.730186,0.318981,173.659805
0.4900010,-0.050278,0.004788,9.731233,9.731363,0.296735,174.559662
0.4999950,-0.053870,0.011971,9.732430,9.732586,0.325057,167.471191
0.5100020,-0.056264,-0.002394,9.739613,9.739776,0.331613,182.436646
0.5199870,-0.062249,0.019154,9.736021,9.736239,0.383595,162.897278
0.5299970,-0.044293,0.004788,9.728839,9.728941,0.262443,173.829819
0.5400080,-0.057461,0.002394,9.730036,9.730206,0.339197,177.614059
0.5499900,-0.058658,0.004788,9.727641,9.727819,0.347179,175.333145
0.5600010,-0.055067,0.013168,9.733627,9.733792,0.333378,166.551392
0.5700190,-0.052672,0.009577,9.730036,9.730184,0.315899,169.695160
0.5799940,-0.057461,0.007183,9.732430,9.732602,0.341497,172.874985
0.5899879,-0.053870,0.008380,9.730036,9.730188,0.320816,171.158188
0.6000069,-0.045490,0.002394,9.731233,9.731339,0.268341,176.987213
0.6099900,-0.059855,0.001197,9.732430,9.732614,0.352215,178.854233
0.6200359,-0.064643,0.015562,9.732430,9.732656,0.391171,166.464142
0.6299920,-0.052672,0.002394,9.734824,9.734966,0.309643,177.397430
0.6400110,-0.047884,0.011971,9.737218,9.737343,0.290066,165.963760
0.6499870,-0.056264,0.011971,9.737218,9.737388,0.338041,167.988525
0.6600970,-0.050278,0.002394,9.728839,9.728969,0.296075,177.273682
0.6699910,-0.056264,0.002394,9.738416,9.738579,0.331613,177.563354
0.6799859,-0.059855,0.014365,9.738416,9.738610,0.362077,166.504272
0.6899970,-0.055067,0.002394,9.733627,9.733783,0.323851,177.510452
0.6999909,-0.059855,0.010774,9.737218,9.737408,0.357727,169.796021
0.7100100,-0.051475,0.007183,9.727641,9.727779,0.305187,172.056534
0.7199960,-0.052672,0.009577,9.738416,9.738563,0.314658,169.695160
0.7300000,-0.053870,0.009577,9.728839,9.728992,0.322034,169.919403
0.7400030,-0.059855,0.007183,9.737218,9.737405,0.354982,173.157227
0.7499700,-0.053870,0.014365,9.732430,9.732589,0.328053,165.068588
0.7599880,-0.062249,0.007183,9.737218,9.737420,0.369035,173.418060
0.7699910,-0.056264,0.005986,9.730036,9.730201,0.333378,173.927551
0.7799980,-0.045490,0.013168,9.733627,9.733743,0.279065,163.855667
0.7899910,-0.056264,0.020351,9.737218,9.737402,0.352215,160.114838
0.8000160,-0.059855,0.004788,9.734824,9.735009,0.353324,175.426086
0.8099940,-0.055067,0.004788,9.730036,9.730193,0.325659,175.030258
0.8200830,-0.053870,0.008380,9.726444,9.726597,0.320816,171.158188
0.8299990,-0.035913,0.009577,9.726444,9.726515,0.218503,165.068588
0.8399730,-0.050278,0.005986,9.725247,9.725379,0.298051,173.211029
0.8499930,-0.056264,0.008380,9.728839,9.729005,0.334550,171.528854
0.8599820,-0.057461,0.011971,9.733627,9.733805,0.346050,168.231705
0.8700170,-0.052672,-0.002394,9.728839,9.728982,0.310904,182.602570
0.8799989,-0.056264,0.001197,9.732430,9.732593,0.331613,178.781128
0.8901040,-0.052672,0.008380,9.733627,9.733773,0.313412,170.960510
0.8999980,-0.062249,0.003591,9.728839,9.729039,0.367441,176.698135
0.9099870,-0.061052,0.014365,9.728839,9.729041,0.369565,166.759476
0.9200160,-0.053870,-0.008380,9.731233,9.731385,0.320816,188.841812
0.9299820,-0.053870,-0.007183,9.722853,9.723004,0.320206,187.594650
0.9399859,-0.050278,0.003591,9.726444,9.726575,0.296735,175.914383
0.9499940,-0.056264,0.010774,9.738416,9.738585,0.337462,169.159698
0.9600510,-0.061052,-0.002394,9.744401,9.744593,0.359365,182.245743
0.9700120,-0.050278,0.003591,9.734824,9.734955,0.296735,175.914383
0.9799840,-0.043096,-0.004788,9.736021,9.736117,0.254878,186.340195
0.9900110,-0.051475,0.008380,9.737218,9.737358,0.307741,170.753891
1.0000010,-0.061052,0.009577,9.732430,9.732626,0.364232,171.085068
1.0100139,-0.059855,0.008380,9.732430,9.732617,0.356083,172.030396
1.0200030,-0.062249,0.009577,9.736021,9.736225,0.371150,171.253830
1.0299989,-0.051475,0.013168,9.731233,9.731378,0.312787,165.650665
1.0400150,-0.057461,0.011971,9.731233,9.731410,0.346050,168.231705
1.0499851,-0.053870,0.008380,9.731233,9.731385,0.320816,171.158188
1.0599930,-0.056264,-0.007183,9.721656,9.721821,0.333965,187.275009
1.0700030,-0.057461,0.008380,9.736021,9.736195,0.342069,171.702850
1.0800611,-0.052672,0.011971,9.736021,9.736171,0.317752,167.195740
1.0900090,-0.067038,0.008380,9.742006,9.742240,0.396636,172.874985
1.0999811,-0.057461,0.007183,9.732430,9.732602,0.341497,172.874985
1.1100219,-0.050278,0.008380,9.734824,9.734958,0.300014,170.537674
1.1199920,-0.059855,0.014365,9.736021,9.736216,0.362077,166.504272
1.1300070,-0.057461,-0.008380,9.742006,9.742179,0.340923,188.297150
1.1400020,-0.055067,0.011971,9.734824,9.734987,0.331613,167.735229
1.1499779,-0.055067,0.021548,9.736021,9.736200,0.347742,158.629379
1.1599900,-0.061052,0.015562,9.736021,9.736225,0.371150,165.699722
1.1699960,-0.057461,0.003591,9.726444,9.726614,0.338620,176.423660
1.1800010,-0.056264,0.010774,9.734824,9.734993,0.337462,169.159698
1.1900060,-0.055067,0.009577,9.734824,9.734984,0.328649,170.134186
1.2000279,-0.056264,0.005986,9.730036,9.730201,0.333378,173.927551
1.2099929,-0.062249,0.015562,9.732430,9.732641,0.377942,165.963760
1.2199970,-0.053870,0.004788,9.737218,9.737368,0.317752,174.920395
1.2300010,-0.051475,0.005986,9.728839,9.728977,0.305187,173.367493
1.2400020,-0.064643,0.002394,9.739613,9.739827,0.380522,177.878906
1.2500029,-0.052672,0.002394,9.734824,9.734966,0.309643,177.397430
1.2599939,-0.052672,0.001197,9.732430,9.732573,0.310904,178.698044
1.2701600,-0.053870,0.015562,9.736021,9.736182,0.329838,163.886581
1.2800100,-0.052672,-0.007183,9.721656,9.721801,0.312787,187.765167
1.2899890,-0.056264,0.007183,9.722853,9.723019,0.334550,172.724991
1.3000180,-0.055067,0.008380,9.728839,9.728998,0.328053,171.347458
1.3099920,-0.059855,-0.001197,9.734824,9.735008,0.352215,181.145767
1.3200729,-0.050278,0.013168,9.725247,9.725387,0.306467,165.323608
1.3300010,-0.045490,0.004788,9.730036,9.730144,0.269795,173.990997
1.3399910,-0.055067,0.008380,9.726444,9.726604,0.328053,171.347458
1.3500080,-0.062249,0.003591,9.736021,9.736221,0.367441,176.698135
1.3599900,-0.062249,0.005986,9.734824,9.735025,0.368505,174.507675
1.3699970,-0.063446,0.001197,9.727641,9.727848,0.373777,178.919083
1.3799920,-0.041899,0.011971,9.730036,9.730134,0.257171,164.054611
1.3899779,-0.052672,0.011971,9.728839,9.728989,0.317752,167.195740
1.4000109,-0.049081,0.002394,9.732430,9.732553,0.289391,177.207291
1.4099939,-0.055067,0.001197,9.730036,9.730192,0.325057,178.754639
1.4199920,-0.063446,0.014365,9.734824,9.735042,0.383084,167.242462
1.4300039,-0.061052,0.014365,9.731233,9.731435,0.369565,166.759476
1.4400840,-0.057461,0.001197,9.742006,9.742176,0.338041,178.806503
1.4499910,-0.056264,0.011971,9.736021,9.736191,0.338620,167.988525
1.4602959,-0.063446,0.009577,9.736021,9.736233,0.377942,171.416382
1.4699830,-0.055067,0.009577,9.733627,9.733788,0.328649,170.134186
1.4800160,-0.055067,0.007183,9.743204,9.743362,0.326858,172.568588
1.4901730,-0.062249,0.010774,9.731233,9.731438,0.371677,170.180695
1.5000029,-0.052672,-0.002394,9.732430,9.732573,0.310904,182.602570
1.5104320,-0.044293,0.007183,9.721656,9.721759,0.263930,170.788971
1.5200000,-0.043096,0.005986,9.719262,9.719359,0.256409,172.092834
1.5299960,-0.051475,0.009577,9.730036,9.730177,0.308377,169.460815
1.5399979,-0.061052,0.007183,9.722853,9.723047,0.362617,173.290161
1.5499650,-0.052672,-0.005986,9.726444,9.726588,0.311533,186.483078
1.5600070,-0.047884,0.003591,9.732430,9.732548,0.282549,175.710846
1.5699999,-0.051475,0.011971,9.724051,9.724195,0.311533,166.908112
1.5799949,-0.057461,0.007183,9.734824,9.734997,0.340923,172.874985
1.5899850,-0.049081,0.005986,9.733627,9.733752,0.290066,173.047043
1.6000390,-0.063446,0.001197,9.727641,9.727848,0.373777,178.919083
1.6101149,-0.061052,-0.001197,9.728839,9.729031,0.359909,181.123306
1.6213660,-0.058658,0.008380,9.738416,9.738596,0.348866,171.869904
1.6299720,-0.052672,0.010774,9.736021,9.736170,0.316518,168.439865
1.6400290,-0.055067,-0.002394,9.724051,9.724207,0.325057,182.489548
1.6500170,-0.055067,-0.001197,9.731233,9.731389,0.325057,181.245361
1.6601250,-0.053870,-0.008380,9.731233,9.731385,0.320816,188.841812
1.6700319,-0.058658,0.010774,9.728839,9.729022,0.351659,169.592285
1.6800419,-0.056264,0.010774,9.731233,9.731401,0.337462,169.159698
1.6900469,-0.068235,0.007183,9.732430,9.732672,0.404452,173.990997
1.7001339,-0.051475,-0.009577,9.728839,9.728980,0.308377,190.539185
1.7100530,-0.062249,0.011971,9.739613,9.739819,0.372729,169.114471
1.7200270,-0.053870,-0.002394,9.737218,9.737368,0.317752,182.544800
1.7300611,-0.047884,-0.004788,9.732430,9.732549,0.283240,185.710587
1.7400661,-0.055067,0.014365,9.738416,9.738582,0.334550,165.379120
1.7500550,-0.058658,0.008380,9.731233,9.731413,0.348866,171.869904
1.7600660,-0.047884,0.002394,9.721656,9.721774,0.282549,177.137589
1.7700430,-0.051475,-0.001197,9.737218,9.737354,0.303258,181.332214
1.7800719,-0.059855,0.002394,9.739613,9.739797,0.352215,177.709396
1.7900459,-0.056264,0.014365,9.737218,9.737391,0.342069,165.677277
1.8001159,-0.055067,0.007183,9.732430,9.732588,0.326858,172.568588
1.8100200,-0.061052,0.004788,9.738416,9.738608,0.360452,175.515396
1.8200340,-0.059855,-0.010774,9.726444,9.726634,0.357727,190.203979
1.8300589,-0.055067,0.003591,9.726444,9.726601,0.325057,176.268600
1.8400630,-0.046687,0.002394,9.730036,9.730148,0.275536,177.064331
1.8500309,-0.051475,0.002394,9.739613,9.739749,0.303258,177.337006
1.8600349,-0.062249,0.005986,9.734824,9.735025,0.368505,174.507675
1.8700340,-0.056264,0.008380,9.736021,9.736187,0.334550,171.528854
1.8800590,-0.052672,0.002394,9.721656,9.721799,0.310904,177.397430
1.8900599,-0.053870,0.010774,9.732430,9.732585,0.323851,168.690063
1.9001039,-0.051475,0.015562,9.730036,9.730185,0.317135,163.178589
1.9100189,-0.058658,0.009577,9.737218,9.737399,0.349426,170.727402
1.9200439,-0.055067,0.005986,9.736021,9.736178,0.325659,173.796555
1.9300508,-0.051475,-0.003591,9.733627,9.733764,0.303258,183.990906
1.9400899,-0.056264,0.008380,9.737218,9.737384,0.334550,171.528854
1.9500120,-0.056264,0.007183,9.731233,9.731399,0.334550,172.724991
1.9600348,-0.052672,0.008380,9.737218,9.737364,0.313412,170.960510
