Keuwl Accelerometer Data File
2020-08-24 13-25-44

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.089783,0.067038,9.720459,9.721105,0.660272,143.252533
0.0105280,-0.086191,0.065841,9.721656,9.722260,0.638884,142.624191
0.0199820,-0.081403,0.064643,9.730036,9.730591,0.611978,141.546295
0.0299870,-0.082600,0.061052,9.740809,9.741351,0.604255,143.530762
0.0400070,-0.077812,0.070629,9.743204,9.743771,0.617706,137.770218
0.0499920,-0.074220,0.075417,9.746795,9.747369,0.621811,134.541641
0.0600520,-0.082600,0.062249,9.726444,9.726994,0.608772,142.997467
0.0700170,-0.077812,0.070629,9.737218,9.737785,0.618656,137.770218
0.0800010,-0.089783,0.069432,9.740809,9.741470,0.667346,142.284027
0.0900320,-0.088585,0.075417,9.740809,9.741505,0.684427,139.590546
0.1000010,-0.086191,0.063446,9.722853,9.723442,0.630871,143.642807
0.1100530,-0.087388,0.061052,9.719262,9.719847,0.628384,145.060684
0.1199980,-0.077812,0.058658,9.728839,9.729327,0.574031,142.989319
0.1299950,-0.086191,0.065841,9.736021,9.736626,0.638578,142.624191
0.1400360,-0.086191,0.073023,9.734824,9.735479,0.664702,139.727982
0.1499990,-0.087388,0.059855,9.720459,9.721036,0.624323,145.591522
0.1600530,-0.089783,0.062249,9.731233,9.731846,0.643158,145.265137
0.1700050,-0.080206,0.051475,9.725247,9.725714,0.560928,147.308014
0.1799940,-0.079009,0.055067,9.732430,9.732906,0.567173,145.124680
0.1900300,-0.090980,0.064643,9.733627,9.734267,0.657004,144.605209
0.2000050,-0.073023,0.051475,9.739613,9.740023,0.525632,144.819305
0.2100740,-0.089783,0.057461,9.731233,9.731816,0.627450,147.380753
0.2200130,-0.083797,0.057461,9.736021,9.736551,0.598071,145.561005
0.2300020,-0.081403,0.063446,9.733627,9.734175,0.607485,142.066727
0.2400400,-0.079009,0.057461,9.732430,9.732920,0.575053,143.972626
0.2499940,-0.088585,0.064643,9.740809,9.741426,0.644981,143.880661
0.2600030,-0.086191,0.065841,9.732430,9.733034,0.638578,142.624191
0.2700560,-0.083797,0.069432,9.734824,9.735433,0.640719,140.355820
0.2800080,-0.079009,0.049081,9.733627,9.734072,0.547512,148.150955
0.2901250,-0.089783,0.064643,9.732430,9.733058,0.651020,144.246109
0.3000300,-0.086191,0.062249,9.726444,9.727025,0.626201,144.162354
0.3100160,-0.083797,0.070629,9.742006,9.742622,0.644373,139.873901
0.3200590,-0.087388,0.061052,9.730036,9.730620,0.628073,145.060684
0.3300130,-0.093374,0.069432,9.739613,9.740308,0.684427,143.365891
0.3400970,-0.083797,0.068235,9.731233,9.731833,0.636122,140.844574
0.3500400,-0.083797,0.062249,9.737218,9.737778,0.614212,143.392929
0.3600080,-0.086191,0.069432,9.734824,9.735454,0.651621,141.146622
0.3700090,-0.084994,0.057461,9.720459,9.721001,0.604903,145.939087
0.3800250,-0.080206,0.061052,9.738416,9.738937,0.593143,142.721832
0.3900440,-0.080206,0.063446,9.739613,9.740149,0.601659,141.654419
0.4000200,-0.076614,0.059855,9.731233,9.731718,0.572324,142.001266
0.4100390,-0.086191,0.056264,9.733627,9.734172,0.606195,146.864395
0.4200780,-0.083797,0.059855,9.734824,9.735369,0.605872,144.462326
0.4301000,-0.080206,0.058658,9.744401,9.744907,0.584168,143.820374
0.4400790,-0.080206,0.076614,9.739613,9.740244,0.652221,136.311890
