Keuwl Accelerometer Data File
2020-08-24 13-28-03

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.296881,-0.022745,9.759963,9.764503,1.747309,184.381042
0.0100090,-0.296881,-0.004788,9.750386,9.754906,1.744170,180.924042
0.0200020,-0.298078,-0.023942,9.763555,9.768133,1.754351,184.592209
0.0300820,-0.296881,-0.004788,9.747993,9.752514,1.744731,180.924042
0.0400060,-0.296881,-0.004788,9.755175,9.759692,1.743384,180.924042
0.0500350,-0.302867,-0.001197,9.736021,9.740731,1.781911,180.226471
0.0600220,-0.299275,-0.003591,9.749189,9.753782,1.758362,180.687515
0.0700090,-0.292093,-0.013168,9.744401,9.748787,1.718739,182.581253
0.0800950,-0.292093,-0.019154,9.757569,9.761959,1.718283,183.751724
0.0900020,-0.296881,-0.019154,9.747993,9.752531,1.748093,183.691391
0.1000620,-0.289698,-0.019154,9.752781,9.757101,1.705021,183.782639
0.1099990,-0.294487,-0.004788,9.752781,9.757227,1.729748,180.931549
0.1199970,-0.299275,-0.014365,9.746795,9.751399,1.760809,182.748093
0.1300140,-0.290895,-0.001197,9.746795,9.751135,1.709491,180.235779
0.1399960,-0.304064,-0.010774,9.752781,9.757525,1.786846,182.029312
0.1500040,-0.305261,-0.003591,9.739613,9.744396,1.795369,180.674042
0.1599930,-0.305261,-0.016759,9.755175,9.759964,1.795042,183.142502
0.1700130,-0.302867,-0.005986,9.742006,9.746715,1.780922,181.132187
0.1800290,-0.308852,-0.019154,9.752781,9.757689,1.817254,183.548676
0.1900300,-0.299275,-0.015562,9.740809,9.745419,1.762253,182.976700
0.2000410,-0.305261,-0.009577,9.756371,9.761150,1.792969,181.796921
0.2101480,-0.292093,0.003591,9.746795,9.751171,1.716688,179.295578
0.2200130,-0.301669,-0.008380,9.749189,9.753859,1.772882,181.591141
0.2301570,-0.294487,-0.008380,9.744401,9.748854,1.731784,181.629929
0.2400090,-0.305261,-0.004788,9.745598,9.750379,1.794278,180.898682
0.2500130,-0.295684,0.005986,9.747993,9.752478,1.737763,178.840332
0.2600070,-0.302867,-0.010774,9.755175,9.759881,1.779383,182.037323
0.2700140,-0.299275,-0.010774,9.740809,9.745412,1.760920,182.061752
0.2800340,-0.310049,-0.004788,9.742006,9.746940,1.823060,180.884811
0.2900090,-0.288501,-0.003591,9.744401,9.748672,1.696044,180.713196
0.3000290,-0.301669,-0.019154,9.755175,9.759856,1.774758,183.632950
0.3100120,-0.293290,-0.004788,9.733627,9.738047,1.726238,180.935364
0.3200260,-0.292093,-0.022745,9.750386,9.754786,1.721015,184.452576
0.3300340,-0.287304,-0.005986,9.739613,9.743851,1.689918,181.193497
0.3400160,-0.281319,-0.008380,9.737218,9.741284,1.655640,181.706177
0.3500180,-0.292093,-0.001197,9.745598,9.749974,1.716802,180.234818
0.3600010,-0.304064,-0.020351,9.746795,9.751558,1.791003,183.829041
0.3700220,-0.290895,-0.015562,9.744401,9.748755,1.712351,183.062286
0.3800410,-0.292093,-0.020351,9.744401,9.748799,1.721128,183.985474
0.3901400,-0.299275,-0.014365,9.738416,9.743024,1.762253,182.748093
0.4000200,-0.294487,0.003591,9.737218,9.741671,1.732349,179.301300
0.4099870,-0.301669,-0.010774,9.750386,9.755057,1.773213,182.045410
0.4200130,-0.310049,-0.015562,9.739613,9.744559,1.825742,182.873444
0.4300170,-0.287304,-0.003591,9.734824,9.739063,1.690613,180.716156
0.4400250,-0.302867,-0.013168,9.746795,9.751508,1.781471,182.489548
0.4500080,-0.287304,-0.003591,9.740809,9.745047,1.689686,180.716156
0.4600200,-0.296881,-0.011971,9.745598,9.750126,1.746188,182.309067
0.4700150,-0.286107,-0.007183,9.746795,9.750996,1.681908,181.438080
0.4800370,-0.299275,-0.005986,9.742006,9.746604,1.759919,181.145767
0.4900070,-0.289698,0.007183,9.737218,9.741529,1.704791,178.579727
0.5000100,-0.299275,-0.004788,9.744401,9.748997,1.759363,180.916656
0.5100380,-0.292093,-0.013168,9.757569,9.761950,1.716460,182.581253
0.5200030,-0.290895,-0.004788,9.739613,9.743957,1.710979,180.943054
0.5300660,-0.294487,-0.017957,9.753978,9.758439,1.732574,183.489319
0.5400010,-0.294487,-0.004788,9.727641,9.732099,1.734155,180.931549
0.5500020,-0.292093,-0.007183,9.745598,9.749977,1.717372,181.408630
0.5599970,-0.288501,0.004788,9.727641,9.731919,1.698927,179.049118
0.5700020,-0.294487,-0.015562,9.756371,9.760827,1.731218,183.025009
0.5800070,-0.293290,-0.002394,9.724051,9.728473,1.727597,180.467712
0.5899879,-0.286107,-0.005986,9.751583,9.755781,1.680977,181.198486
0.6000060,-0.310049,-0.017957,9.727641,9.732597,1.828634,183.314590
0.6100160,-0.287304,-0.023942,9.753978,9.758238,1.693042,184.763641
0.6200820,-0.298078,-0.019154,9.726444,9.731030,1.758918,183.676605
0.6300120,-0.298078,-0.021548,9.758766,9.763342,1.754239,184.134674
0.6399820,-0.299275,0.002394,9.724051,9.728655,1.762808,179.541641
0.6500069,-0.293290,-0.014365,9.752781,9.757200,1.724536,182.804077
