Keuwl Accelerometer Data File
2020-08-24 13-29-12

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.123301,-0.110133,9.759963,9.761364,0.970758,221.771347
0.0100190,-0.131681,-0.122104,9.753978,9.755630,1.054620,222.838913
0.0200270,-0.129287,-0.119710,9.758766,9.760357,1.034387,222.797409
0.0300260,-0.131681,-0.106542,9.762358,9.763827,0.994063,218.975998
0.0400920,-0.126893,-0.113725,9.757569,9.759057,1.000538,221.867538
0.0500230,-0.131681,-0.113725,9.765948,9.767498,1.020675,220.815079
0.0600440,-0.131681,-0.124498,9.756371,9.758054,1.063856,223.393997
0.0700290,-0.131681,-0.108936,9.765948,9.767444,1.002687,219.600021
0.0800280,-0.141258,-0.113725,9.764751,9.766436,1.064040,218.837006
0.0901640,-0.130484,-0.117316,9.758766,9.760344,1.030026,221.958160
0.1000380,-0.122104,-0.113725,9.768343,9.769768,0.978588,222.964966
0.1101070,-0.129287,-0.114922,9.757569,9.759103,1.015678,221.633545
0.1200370,-0.128090,-0.110133,9.762358,9.763819,0.991106,220.689377
0.1300230,-0.136469,-0.119710,9.767146,9.768832,1.064592,221.257019
0.1401150,-0.125696,-0.108936,9.763555,9.764971,0.975785,220.914383
0.1500120,-0.136469,-0.112527,9.761160,9.762762,1.037975,219.507675
0.1600190,-0.140061,-0.116119,9.762358,9.764053,1.067895,219.660767
0.1700090,-0.123301,-0.111330,9.762358,9.763771,0.974982,222.079285
0.1800170,-0.126893,-0.112527,9.761160,9.762633,0.995440,221.566376
0.1900890,-0.136469,-0.116119,9.769540,9.771183,1.050716,220.393707
0.2000070,-0.137667,-0.102951,9.770737,9.772248,1.007748,216.790100
0.2100500,-0.138864,-0.119710,9.761160,9.762881,1.075928,220.763611
0.2200200,-0.123301,-0.113725,9.757569,9.759011,0.984966,222.686279
0.2301360,-0.129287,-0.116119,9.756371,9.757918,1.020291,221.928543
0.2400300,-0.129287,-0.113725,9.765948,9.767467,1.010269,221.335815
0.2500180,-0.137667,-0.122104,9.770737,9.772470,1.079015,221.571625
0.2600270,-0.132878,-0.113725,9.763555,9.765121,1.026029,220.558762
