Keuwl Accelerometer Data File
2020-08-24 13-29-49

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.073023,0.319626,9.734824,9.740343,1.928844,102.869179
0.0099600,-0.069432,0.329203,9.744401,9.750208,1.977541,101.909660
0.0199810,-0.076614,0.312443,9.727641,9.732959,1.894032,103.777687
0.0299800,-0.074220,0.326809,9.739613,9.745377,1.970700,102.795197
0.0399820,-0.070629,0.324414,9.738416,9.744074,1.952643,102.282326
0.0500040,-0.075417,0.331597,9.730036,9.735977,2.001739,102.813210
0.0599630,-0.084994,0.324414,9.733627,9.739403,1.973281,104.681107
0.0700030,-0.079009,0.341174,9.742006,9.748299,2.058710,103.038658
0.0799800,-0.076614,0.328006,9.726444,9.732275,1.983470,103.147240
0.0899960,-0.077812,0.330400,9.727641,9.733562,1.998509,103.252090
0.0999930,-0.076614,0.329203,9.739613,9.745476,1.987610,103.101089
0.1099690,-0.080206,0.330400,9.733627,9.739564,2.000565,103.644814
0.1200140,-0.077812,0.326809,9.734824,9.740619,1.976353,103.392494
0.1299890,-0.071826,0.332794,9.736021,9.741972,2.002716,102.179184
0.1400120,-0.083797,0.328006,9.730036,9.735924,1.992723,104.331070
0.1500020,-0.080206,0.326809,9.731233,9.737049,1.980508,103.789063
0.1599840,-0.070629,0.323217,9.738416,9.744034,1.945715,102.326431
0.1699770,-0.075417,0.326809,9.736021,9.741796,1.972983,102.994614
0.1799570,-0.076614,0.336385,9.742006,9.748114,2.028254,102.830704
0.1900060,-0.070629,0.323217,9.730036,9.735659,1.947424,102.326431
0.2000180,-0.079009,0.335188,9.740809,9.746895,2.024777,103.263329
0.2100200,-0.073023,0.323217,9.738416,9.744052,1.948830,102.730865
0.2199960,-0.081403,0.335188,9.725247,9.731362,2.031243,103.650421
0.2300850,-0.074220,0.328006,9.737218,9.743024,1.978135,102.750023
0.2399890,-0.077812,0.329203,9.739613,9.745485,1.989184,103.298569
0.2500040,-0.077812,0.323217,9.738416,9.744089,1.955247,103.535858
0.2599930,-0.083797,0.328006,9.722853,9.728745,1.994098,104.331070
0.2700070,-0.075417,0.333991,9.734824,9.740844,2.014409,102.724358
0.2800050,-0.071826,0.331597,9.750386,9.756288,1.992920,102.221832
0.2899850,-0.081403,0.331597,9.742006,9.747988,2.007304,103.792641
0.3000320,-0.081403,0.325611,9.730036,9.735823,1.975560,104.036247
0.3099780,-0.071826,0.332794,9.743204,9.749150,2.001250,102.179184
0.3200370,-0.076614,0.329203,9.734824,9.740690,1.988594,103.101089
0.3299960,-0.086191,0.330400,9.738416,9.744400,2.008084,104.620872
0.3399790,-0.073023,0.324414,9.736021,9.741698,1.956147,102.685417
0.3500780,-0.067038,0.320823,9.743204,9.748715,1.926712,101.802437
0.3599480,-0.071826,0.319626,9.742006,9.747513,1.926001,102.665062
0.3699790,-0.075417,0.324414,9.744401,9.750092,1.957648,103.087227
0.3799720,-0.075417,0.329203,9.737218,9.743073,1.986526,102.903282
