Keuwl Accelerometer Data File
2020-08-24 13-36-59

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.003591,-0.068235,9.843760,9.843998,0.398113,266.987213
0.0129630,-0.020351,-0.044293,9.708488,9.708610,0.287355,245.323135
0.0299670,0.171185,-0.029928,9.911995,9.913518,1.004247,350.083466
0.0400140,0.092177,-0.040701,9.791088,9.791607,0.589835,336.175751
0.0610890,0.063446,-0.034716,9.761160,9.761428,0.424746,331.313843
0.0699850,0.076614,-0.029928,9.757569,9.757916,0.483355,338.663147
0.0799840,0.111330,-0.031125,9.816227,9.816908,0.674927,344.380615
0.0900890,0.101754,-0.031125,9.798270,9.798848,0.622440,342.992065
0.0999920,0.098162,-0.029928,9.794679,9.795217,0.600357,343.044678
0.1099860,0.113725,-0.028730,9.811439,9.812140,0.684999,345.821930
0.1200470,0.098162,-0.029928,9.789890,9.790428,0.600683,343.044678
0.1300080,0.113725,-0.027533,9.819818,9.820516,0.682710,346.390259
0.1400310,0.098162,-0.037110,9.800665,9.801227,0.613575,339.290955
0.1499830,0.104148,-0.031125,9.793482,9.794086,0.636122,343.361206
0.1599900,0.110133,-0.028730,9.792285,9.792947,0.666172,345.379120
0.1699970,0.094571,-0.029928,9.803059,9.803560,0.579460,342.439728
0.1805250,0.111330,-0.032322,9.793482,9.794168,0.678108,343.810791
0.1899660,0.107739,-0.026336,9.794679,9.795306,0.648611,346.263733
0.1999750,0.101754,-0.026336,9.795877,9.796440,0.614530,345.488953
0.2099920,0.102951,-0.031125,9.800665,9.801255,0.628696,343.178589
0.2199700,0.100556,-0.037110,9.795877,9.796463,0.626826,339.743530
0.2300780,0.107739,-0.029928,9.794679,9.795317,0.654019,344.475891
0.2400060,0.112527,-0.032322,9.794679,9.795379,0.684999,343.974121
0.2499680,0.107739,-0.033519,9.799467,9.800117,0.659679,342.718506
0.2600390,0.096965,-0.032322,9.801862,9.802395,0.597416,341.565063
0.2699950,0.101754,-0.028730,9.794679,9.795249,0.618340,344.232819
0.2799720,0.105345,-0.037110,9.792285,9.792922,0.653420,340.594025
0.2900200,0.113725,-0.031125,9.804255,9.804964,0.688702,344.693848
0.2999830,0.094571,-0.034716,9.807847,9.808364,0.588174,339.842377
0.3099720,0.099359,-0.025139,9.793482,9.794018,0.599378,345.801453
0.3199960,0.107739,-0.029928,9.795877,9.796515,0.654019,344.475891
0.3300300,0.108936,-0.032322,9.795877,9.796535,0.664702,343.474213
0.3400830,0.105345,-0.027533,9.800665,9.801270,0.636429,345.352631
0.3500860,0.095768,-0.032322,9.806650,9.807171,0.590498,341.350464
0.3600420,0.100556,-0.031125,9.800665,9.801230,0.615485,342.801453
0.3700640,0.104148,-0.035913,9.789890,9.790510,0.644677,340.974396
0.3800400,0.113725,-0.027533,9.793482,9.794181,0.684427,346.390259
0.3900900,0.105345,-0.027533,9.793482,9.794087,0.637044,345.352631
0.4000480,0.098162,-0.035913,9.801862,9.802419,0.610698,339.904755
