Keuwl Accelerometer Data File
2020-08-24 13-37-58

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.205901,0.111330,9.732430,9.735244,1.377714,151.600006
0.0099960,-0.209493,0.107739,9.743204,9.746052,1.385080,152.783890
0.0199880,-0.207098,0.108936,9.738416,9.741226,1.376293,152.255112
0.0299660,-0.214281,0.111330,9.737218,9.740211,1.420513,152.545731
0.0399760,-0.214281,0.112527,9.742006,9.745012,1.423128,152.294250
0.0500070,-0.210690,0.106542,9.747993,9.750852,1.387480,153.175110
0.0599800,-0.210690,0.110133,9.742006,9.744906,1.397878,152.402710
0.0699980,-0.210690,0.118513,9.742006,9.745005,1.421340,150.642242
0.0800580,-0.208296,0.113725,9.736021,9.738914,1.396477,151.366470
0.0899840,-0.210690,0.108936,9.743204,9.746091,1.394514,152.658981
0.1000310,-0.210690,0.116119,9.722853,9.725829,1.417479,151.139236
0.1099970,-0.211887,0.106542,9.728839,9.731730,1.396477,153.305618
0.1200090,-0.214281,0.106542,9.738416,9.741355,1.407504,153.563126
0.1300220,-0.211887,0.108936,9.745598,9.748509,1.400396,152.791199
0.1399950,-0.213084,0.101754,9.740809,9.743671,1.388749,154.474213
0.1501830,-0.211887,0.125696,9.738416,9.741531,1.449154,149.322723
0.1599930,-0.205901,0.125696,9.734824,9.737813,1.419549,148.597397
0.1700200,-0.204704,0.117316,9.739613,9.742470,1.387621,150.182999
0.1799890,-0.216675,0.111330,9.743204,9.746249,1.432312,152.805344
0.1899840,-0.211887,0.108936,9.739613,9.742526,1.401234,152.791199
0.2000100,-0.205901,0.106542,9.734824,9.737584,1.364153,152.641068
0.2099910,-0.211887,0.117316,9.736021,9.739034,1.425189,151.027908
0.2200610,-0.205901,0.116119,9.738416,9.741284,1.390579,150.579025
0.2299860,-0.204704,0.110133,9.726444,9.729221,1.369022,151.719223
0.2401080,-0.208296,0.117316,9.738416,9.741349,1.406113,150.610992
0.2500090,-0.210690,0.116119,9.740809,9.743780,1.414854,151.139236
0.2599960,-0.204704,0.100556,9.725247,9.727921,1.343483,153.838440
0.2699710,-0.209493,0.116119,9.739613,9.742558,1.408755,151.001022
0.2799720,-0.214281,0.105345,9.742006,9.744932,1.404024,153.820343
0.2900000,-0.209493,0.120907,9.726444,9.729451,1.424503,150.008911
0.3000060,-0.205901,0.111330,9.734824,9.737638,1.377288,151.600006
0.3100130,-0.202310,0.100556,9.722853,9.725477,1.331045,153.570724
0.3200110,-0.193930,0.113725,9.739613,9.742208,1.322490,149.611801
0.3301010,-0.207098,0.105345,9.738416,9.741187,1.366733,153.038895
0.3399840,-0.203507,0.119710,9.743204,9.746064,1.388044,149.534454
0.3500040,-0.209493,0.100556,9.728839,9.731614,1.368307,154.358994
0.3600020,-0.207098,0.110133,9.734824,9.737649,1.380126,151.996323
0.3699840,-0.203507,0.112527,9.739613,9.742389,1.367878,151.059982
0.3800410,-0.205901,0.125696,9.738416,9.741404,1.419135,148.597397
0.3900040,-0.199916,0.108936,9.731233,9.733895,1.340129,151.413589
