Keuwl Accelerometer Data File
2020-08-24 13-39-41

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.049081,0.090980,9.734824,9.735373,0.608772,118.345695
0.0100000,-0.056264,0.090980,9.737218,9.737805,0.629318,121.733521
0.0200070,-0.059855,0.088585,9.749189,9.749776,0.628384,124.045937
0.0299970,-0.050278,0.102951,9.737218,9.737892,0.674347,116.029594
0.0400070,-0.047884,0.092177,9.739613,9.740167,0.611018,117.450996
0.0500710,-0.056264,0.089783,9.736021,9.736597,0.623382,122.073997
0.0600080,-0.047884,0.094571,9.743204,9.743781,0.623382,116.854424
0.0700320,-0.053870,0.083797,9.734824,9.735333,0.586174,122.735229
0.0801390,-0.055067,0.083797,9.728839,9.729356,0.590498,123.310631
0.0900130,-0.050278,0.090980,9.744401,9.744955,0.611018,118.926422
0.1000170,-0.062249,0.092177,9.744401,9.745036,0.654019,124.032127
0.1100250,-0.057461,0.098162,9.744401,9.745065,0.668811,120.343246
0.1200210,-0.046687,0.092177,9.738416,9.738964,0.608129,116.861916
0.1300330,-0.057461,0.098162,9.743204,9.743868,0.668811,120.343246
0.1400120,-0.055067,0.094571,9.739613,9.740228,0.644070,120.211327
0.1501190,-0.055067,0.088585,9.745598,9.746156,0.612936,121.865974
0.1599910,-0.050278,0.096965,9.740809,9.741422,0.642244,117.407578
0.1700250,-0.052672,0.089783,9.745598,9.746154,0.611978,120.398727
0.1800180,-0.057461,0.086191,9.731233,9.731784,0.609736,123.690071
0.1900190,-0.046687,0.094571,9.733627,9.734199,0.620866,116.274216
0.2000130,-0.052672,0.090980,9.733627,9.734195,0.618656,120.068581
0.2100130,-0.053870,0.095768,9.745598,9.746217,0.645587,119.357758
0.2200420,-0.050278,0.086191,9.749189,9.749700,0.586174,120.256439
0.2300040,-0.046687,0.090980,9.742006,9.742543,0.601659,117.164986
0.2401200,-0.052672,0.099359,9.732430,9.733079,0.661752,117.928978
0.2500250,-0.053870,0.096965,9.739613,9.740244,0.652221,119.054604
0.2600130,-0.052672,0.090980,9.727641,9.728209,0.619288,120.068581
0.2700290,-0.051475,0.086191,9.742006,9.742523,0.590167,120.846588
