Keuwl Accelerometer Data File
2020-08-24 13-42-07

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.359130,-0.216675,9.721656,9.730700,2.470451,211.103973
0.0100090,-0.371101,-0.205901,9.739613,9.748855,2.495048,209.023209
0.0200000,-0.361524,-0.211887,9.724051,9.733075,2.467517,210.374252
0.0300100,-0.350751,-0.216675,9.720459,9.729198,2.428741,211.705597
0.0400160,-0.354342,-0.209493,9.716867,9.725583,2.425838,210.592270
0.0500090,-0.360327,-0.211887,9.712079,9.721070,2.464501,210.457230
0.0600060,-0.362722,-0.205901,9.727641,9.736579,2.455192,209.581711
0.0700380,-0.378284,-0.203507,9.727641,9.737121,2.528401,208.279129
0.0800110,-0.366313,-0.198719,9.727641,9.736564,2.453118,208.479111
0.0899890,-0.369904,-0.195127,9.730036,9.739019,2.461163,207.812012
0.1000230,-0.390255,-0.195127,9.730036,9.739814,2.567579,206.565048
0.1100310,-0.381875,-0.198719,9.719262,9.728791,2.536130,207.491394
0.1200560,-0.384269,-0.190339,9.725247,9.734697,2.524760,206.350464
0.1300450,-0.390255,-0.192733,9.726444,9.736177,2.562160,206.283157
0.1399850,-0.384269,-0.185551,9.724051,9.733409,2.512714,205.774323
0.1500180,-0.380678,-0.192733,9.726444,9.735799,2.511858,206.852615
0.1600290,-0.381875,-0.187945,9.720459,9.729773,2.507178,206.204712
0.1700330,-0.374693,-0.180762,9.725247,9.734141,2.449445,205.753967
0.1800460,-0.386664,-0.191536,9.730036,9.739599,2.539293,206.351791
0.1900260,-0.383072,-0.199916,9.730036,9.739626,2.542836,207.558929
0.2000140,-0.375890,-0.195127,9.715671,9.724897,2.496067,207.434204
0.2101460,-0.375890,-0.196325,9.726444,9.735684,2.496459,207.577759
0.2200060,-0.359130,-0.216675,9.722853,9.731895,2.470134,211.103973
0.2300240,-0.373495,-0.202310,9.732430,9.741694,2.499045,208.442932
0.2400180,-0.369904,-0.207098,9.730036,9.739266,2.494734,209.243179
0.2500130,-0.360327,-0.207098,9.722853,9.731731,2.447686,209.888168
0.2600090,-0.366313,-0.202310,9.728839,9.737835,2.462992,208.911331
