Keuwl Accelerometer Data File
2020-08-24 13-43-08

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.084994,0.028730,9.738416,9.738829,0.527490,161.323303
0.0099830,-0.089783,0.034716,9.736021,9.736497,0.566482,158.860168
0.0199930,-0.083797,0.035913,9.742006,9.742433,0.535954,156.801407
0.0299820,-0.084994,0.027533,9.731233,9.731643,0.526004,162.050598
0.0400050,-0.084994,0.031125,9.738416,9.738836,0.532658,159.887405
0.0499840,-0.096965,0.027533,9.733627,9.734149,0.593143,164.148071
0.0599860,-0.086191,0.022745,9.727641,9.728049,0.524887,165.217270
0.0700250,-0.087388,0.027533,9.731233,9.731664,0.539230,162.512009
0.0801490,-0.088585,0.033519,9.737218,9.737679,0.557429,159.274445
0.0900110,-0.086191,0.027533,9.731233,9.731653,0.532658,162.284210
0.0999960,-0.089783,0.037110,9.743204,9.743689,0.571298,157.543060
0.1099890,-0.092177,0.033519,9.733627,9.734121,0.577091,160.016891
0.1200080,-0.088585,0.032322,9.739613,9.740069,0.554966,159.954758
0.1299990,-0.090980,0.037110,9.737218,9.737714,0.578107,157.809708
0.1399920,-0.089783,0.034716,9.733627,9.734103,0.566482,158.860168
0.1500300,-0.092177,0.031125,9.740809,9.741296,0.572666,161.342117
0.1599820,-0.088585,0.029928,9.744401,9.744850,0.550008,161.333084
0.1700250,-0.093374,0.026336,9.740809,9.741293,0.570955,164.248825
0.1800070,-0.092177,0.028730,9.742006,9.742485,0.567862,162.688354
0.1900300,-0.084994,0.031125,9.739613,9.740033,0.532290,159.887405
0.2000100,-0.089783,0.038307,9.734824,9.735313,0.574372,156.893677
0.2099910,-0.084994,0.028730,9.734824,9.735237,0.527861,161.323303
0.2200190,-0.086191,0.028730,9.733627,9.734052,0.534857,161.565048
0.2300010,-0.081403,0.021548,9.732430,9.732794,0.495746,165.173523
0.2400900,-0.082600,0.020351,9.731233,9.731605,0.500850,166.159302
0.2499880,-0.086191,0.041899,9.740809,9.741281,0.563365,154.075104
0.2599940,-0.083797,0.022745,9.730036,9.730423,0.511290,164.814163
0.2700110,-0.089783,0.019154,9.728839,9.729272,0.540679,167.957428
0.2800010,-0.094571,0.038307,9.737218,9.737753,0.600683,157.948944
0.2899980,-0.086191,0.034716,9.740809,9.741253,0.546797,158.061523
0.2999990,-0.087388,0.033519,9.737218,9.737668,0.551074,159.015106
0.3100020,-0.095768,0.031125,9.742006,9.742527,0.592483,161.995834
0.3200030,-0.088585,0.028730,9.744401,9.744846,0.547869,162.030869
0.3300670,-0.089783,0.037110,9.740809,9.741294,0.571298,157.543060
0.3400300,-0.079009,0.032322,9.742006,9.742380,0.502021,157.750977
0.3499890,-0.076614,0.023942,9.740809,9.741140,0.472298,162.645981
0.3600370,-0.080206,0.023942,9.744401,9.744761,0.492180,163.379242
0.3699960,-0.087388,0.025139,9.740809,9.741234,0.534857,163.950989
0.3800140,-0.082600,0.022745,9.738416,9.738792,0.503966,164.604446
0.3900160,-0.088585,0.023942,9.731233,9.731666,0.540317,164.875992
0.4000310,-0.086191,0.029928,9.739613,9.740040,0.536683,160.851868
0.4100190,-0.086191,0.026336,9.738416,9.738832,0.530080,163.009171
0.4201690,-0.077812,0.017957,9.734824,9.735151,0.469806,167.005386
0.4300030,-0.083797,0.023942,9.740809,9.741199,0.512819,164.054611
0.4400180,-0.084994,0.017957,9.734824,9.735211,0.510907,168.070679
0.4499830,-0.083797,0.026336,9.738416,9.738811,0.516620,162.552811
0.4599740,-0.088585,0.032322,9.743204,9.743661,0.554966,159.954758
0.4700370,-0.086191,0.034716,9.740809,9.741253,0.546797,158.061523
0.4799980,-0.080206,0.022745,9.739613,9.739969,0.490189,164.167618
0.4901910,-0.087388,0.022745,9.740809,9.741228,0.531186,165.411087
0.4999940,-0.092177,0.029928,9.738416,9.738898,0.570269,162.012665
0.5099920,-0.083797,0.022745,9.733627,9.734015,0.510907,164.814163
0.5199990,-0.087388,0.027533,9.733627,9.734058,0.539230,162.512009
0.5299820,-0.079009,0.032322,9.739613,9.739986,0.502021,157.750977
0.5399920,-0.083797,0.033519,9.738416,9.738834,0.531186,158.198593
0.5499710,-0.079009,0.019154,9.728839,9.729178,0.478472,166.373001
0.5600400,-0.082600,0.029928,9.739613,9.740009,0.516999,160.083588
0.5700310,-0.088585,0.027533,9.731233,9.731675,0.546439,162.734192
0.5800070,-0.082600,0.026336,9.733627,9.734014,0.510524,162.315613
0.5899990,-0.087388,0.032322,9.740809,9.741255,0.547869,159.702438
0.6000190,-0.083797,0.020351,9.740809,9.741191,0.507063,166.349579
0.6100050,-0.088585,0.033519,9.737218,9.737679,0.557429,159.274445
0.6200190,-0.080206,0.026336,9.736021,9.736387,0.496928,161.821976
0.6300309,-0.089783,0.027533,9.730036,9.730489,0.552847,162.950974
0.6399969,-0.092177,0.026336,9.727641,9.728113,0.564406,164.054596
0.6500260,-0.084994,0.023942,9.746795,9.747194,0.518888,164.267990
0.6599980,-0.082600,0.022745,9.736021,9.736398,0.503966,164.604446
0.6700000,-0.088585,0.033519,9.739613,9.740073,0.557078,159.274445
0.6800020,-0.089783,0.029928,9.734824,9.735284,0.556727,161.565048
0.6899930,-0.086191,0.033519,9.740809,9.741248,0.543926,158.749496
0.7000050,-0.086191,0.023942,9.738416,9.738827,0.526376,164.475891
0.7099910,-0.087388,0.028730,9.740809,9.741243,0.540679,161.800842
0.7201100,-0.089783,0.031125,9.734824,9.735288,0.559182,160.880280
0.7299930,-0.098162,0.025139,9.744401,9.744928,0.596105,165.635422
0.7399790,-0.080206,0.016759,9.737218,9.737563,0.482545,168.197571
0.7499760,-0.086191,0.020351,9.745598,9.746000,0.520770,166.715134
0.7599720,-0.092177,0.035913,9.740809,9.741312,0.582155,158.713593
0.7700090,-0.082600,0.021548,9.742006,9.742380,0.502021,165.379120
0.7800000,-0.092177,0.025139,9.734824,9.735292,0.561974,164.744888
0.7900380,-0.088585,0.035913,9.743204,9.743673,0.562322,157.932098
0.8000120,-0.095768,0.028730,9.742006,9.742519,0.588174,163.300751
0.8099870,-0.086191,0.029928,9.736021,9.736448,0.536683,160.851868
0.8199940,-0.094571,0.023942,9.747993,9.748481,0.573349,165.793228
0.8299860,-0.083797,0.026336,9.742006,9.742402,0.516620,162.552811
0.8400190,-0.087388,0.029928,9.742006,9.742444,0.543207,161.095428
0.8499970,-0.084994,0.026336,9.744401,9.744807,0.523019,162.783920
0.8600030,-0.090980,0.027533,9.738416,9.738879,0.558831,163.162521
0.8699980,-0.080206,0.021548,9.734824,9.735178,0.488589,164.962189
0.8800210,-0.092177,0.031125,9.738416,9.738902,0.572666,161.342117
0.8900149,-0.089783,0.025139,9.744401,9.744847,0.548226,164.357758
0.9000050,-0.092177,0.031125,9.737218,9.737704,0.572666,161.342117
0.9100149,-0.087388,0.033519,9.739613,9.740063,0.550719,159.015106
0.9199879,-0.093374,0.032322,9.742006,9.742507,0.580809,160.906509
0.9300170,-0.092177,0.033519,9.745598,9.746092,0.576752,160.016891
0.9399960,-0.082600,0.027533,9.740809,9.741199,0.512055,161.565048
0.9500099,-0.080206,0.014365,9.744401,9.744741,0.478881,169.845734
0.9599850,-0.081403,0.028730,9.740809,9.741192,0.507834,160.559967
0.9699990,-0.074220,0.028730,9.746795,9.747120,0.468137,158.838745
0.9800060,-0.086191,0.017957,9.743204,9.743602,0.517755,168.231705
0.9899900,-0.082600,0.032322,9.742006,9.742410,0.521521,158.629379
1.0000120,-0.081403,0.028730,9.734824,9.735207,0.507834,160.559967
1.0099870,-0.089783,0.037110,9.737218,9.737702,0.571640,157.543060
1.0199749,-0.093374,0.020351,9.738416,9.738885,0.562322,167.704727
1.0300039,-0.082600,0.028730,9.732430,9.732822,0.514723,160.820999
1.0399820,-0.088585,0.026336,9.738416,9.738853,0.543207,163.442932
1.0499749,-0.084994,0.025139,9.734824,9.735228,0.521521,163.523117
1.0599920,-0.086191,0.023942,9.730036,9.730447,0.526747,164.475891
1.0700760,-0.075417,0.027533,9.744401,9.744732,0.472298,159.943909
1.0800010,-0.087388,0.020351,9.737218,9.737632,0.528231,166.890793
1.0899999,-0.086191,0.029928,9.734824,9.735251,0.536683,160.851868
1.0999950,-0.084994,0.026336,9.734824,9.735230,0.523393,162.783920
1.1099970,-0.082600,0.022745,9.733627,9.734004,0.503966,164.604446
1.1200269,-0.088585,0.026336,9.726444,9.726883,0.544286,163.442932
1.1299970,-0.083797,0.031125,9.736021,9.736431,0.526004,159.623566
1.1400640,-0.084994,0.023942,9.734824,9.735225,0.519641,164.267990
1.1499829,-0.093374,0.027533,9.733627,9.734114,0.572666,163.570694
1.1599801,-0.075417,0.027533,9.737218,9.737549,0.472298,159.943909
1.1699890,-0.089783,0.022745,9.727641,9.728082,0.545364,165.784149
1.1799899,-0.093374,0.031125,9.739613,9.740110,0.579122,161.565048
1.1900120,-0.090980,0.028730,9.742006,9.742474,0.561277,162.474426
1.1999910,-0.090980,0.031125,9.732430,9.732904,0.566137,161.113907
1.2099819,-0.082600,0.033519,9.742006,9.742414,0.524514,157.912827
1.2200090,-0.096965,0.033519,9.737218,9.737759,0.603931,160.930801
1.2299780,-0.082600,0.029928,9.737218,9.737615,0.517377,160.083588
1.2400000,-0.080206,0.025139,9.737218,9.737581,0.494956,162.597290
1.2500029,-0.093374,0.026336,9.732430,9.732913,0.570955,164.248825
1.2600089,-0.088585,0.033519,9.740809,9.741270,0.557078,159.274445
1.2699970,-0.092177,0.033519,9.739613,9.740107,0.577091,160.016891
1.2799740,-0.083797,0.033519,9.733627,9.734046,0.531555,158.198593
1.2900010,-0.076614,0.028730,9.743204,9.743547,0.480920,159.443954
