Keuwl Accelerometer Data File
2020-08-24 13-45-29

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.120907,0.016759,9.736021,9.736786,0.718188,172.108292
0.0100080,-0.119710,0.027533,9.732430,9.733205,0.723076,167.047241
0.0200110,-0.120907,0.028730,9.734824,9.735618,0.731417,166.633072
0.0300260,-0.122104,0.022745,9.739613,9.740404,0.730346,169.448196
0.0400050,-0.126893,0.028730,9.733627,9.734497,0.765917,167.242462
0.0500050,-0.110133,0.015562,9.738416,9.739051,0.654318,171.957108
0.0600670,-0.112527,0.022745,9.737218,9.737895,0.675796,168.572906
0.0700310,-0.119710,0.019154,9.736021,9.736775,0.713267,170.909729
0.0800560,-0.122104,0.025139,9.744401,9.745198,0.733020,168.366364
0.0900910,-0.114922,0.032322,9.745598,9.746329,0.701929,164.291367
0.1000150,-0.114922,0.031125,9.737218,9.737946,0.700534,164.845932
0.1100200,-0.123301,0.022745,9.727641,9.728449,0.738340,169.548370
0.1200110,-0.110133,0.023942,9.746795,9.747446,0.662343,167.735229
0.1300140,-0.126893,0.029928,9.733627,9.734500,0.767193,166.729355
0.1400270,-0.124498,0.023942,9.732430,9.733255,0.746510,169.114471
0.1499980,-0.128090,0.025139,9.731233,9.732108,0.768468,168.896164
0.1600320,-0.122104,0.028730,9.738416,9.739223,0.737809,166.759476
0.1700050,-0.119710,0.029928,9.728839,9.729622,0.726855,165.963760
0.1801120,-0.119710,0.029928,9.736021,9.736803,0.726046,165.963760
0.1900250,-0.120907,0.028730,9.731233,9.732026,0.731684,166.633072
0.2000210,-0.118513,0.034716,9.734824,9.735607,0.726585,163.673141
0.2100220,-0.116119,0.017957,9.737218,9.737927,0.691538,171.209457
0.2200150,-0.116119,0.013168,9.734824,9.735525,0.687565,173.530182
0.2300330,-0.116119,0.015562,9.733627,9.734332,0.689554,172.366669
0.2399800,-0.123301,0.022745,9.742006,9.742813,0.737279,169.548370
0.2500330,-0.120907,0.020351,9.730036,9.730808,0.721992,170.445709
