Keuwl Accelerometer Data File
2020-08-24 13-46-11

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.282516,-0.008380,9.750386,9.754482,1.660479,181.698959
0.0099990,-0.290895,-0.003591,9.755175,9.759511,1.708002,180.707321
0.0200240,-0.286107,-0.003591,9.753978,9.758174,1.680279,180.719162
0.0300130,-0.283713,-0.020351,9.750386,9.754535,1.671052,184.102798
0.0400210,-0.287304,-0.014365,9.758766,9.763005,1.688528,182.862411
0.0500090,-0.293290,-0.008380,9.749189,9.753604,1.723969,181.636581
0.0600290,-0.294487,-0.016759,9.758766,9.763223,1.731218,183.257217
0.0700100,-0.286107,-0.017957,9.747993,9.752207,1.684466,183.591263
0.0801110,-0.278924,-0.010774,9.750386,9.754380,1.639724,182.212036
0.0900330,-0.289698,-0.003591,9.759963,9.764262,1.700308,180.710236
0.1000040,-0.294487,-0.003591,9.756371,9.760816,1.729069,180.698700
0.1100270,-0.288501,-0.005986,9.750386,9.754655,1.695121,181.188538
0.1199940,-0.288501,-0.014365,9.750386,9.754664,1.696967,182.850540
0.1300290,-0.287304,-0.009577,9.750386,9.754622,1.688644,181.909149
0.1400340,-0.286107,-0.019154,9.759963,9.764174,1.682839,183.829987
0.1501570,-0.284910,-0.009577,9.750386,9.754553,1.674679,181.925186
0.1600350,-0.275333,-0.014365,9.757569,9.761463,1.618341,182.986633
0.1700180,-0.286107,-0.011971,9.749189,9.753394,1.682490,182.395920
0.1800350,-0.289698,-0.008380,9.751583,9.755889,1.702379,181.656860
0.1900360,-0.289698,-0.011971,9.758766,9.763073,1.701919,182.366241
0.2000410,-0.294487,-0.007183,9.749189,9.753638,1.730653,181.397186
0.2100210,-0.287304,-0.010774,9.746795,9.751034,1.689570,182.147583
0.2200260,-0.284910,-0.010774,9.747993,9.752161,1.675263,182.165619
0.2300250,-0.292093,-0.010774,9.740809,9.745193,1.718739,182.112411
0.2400320,-0.281319,-0.021548,9.752781,9.756862,1.657176,184.380066
0.2500240,-0.294487,-0.013168,9.757569,9.762021,1.730427,182.560303
0.2600430,-0.289698,-0.005986,9.746795,9.751101,1.702724,181.183624
0.2700370,-0.276530,-0.016759,9.751583,9.755518,1.627385,183.468231
0.2800230,-0.287304,-0.003591,9.739613,9.743850,1.689802,180.716156
0.2901570,-0.286107,-0.005986,9.755175,9.759371,1.680279,181.198486
0.3000290,-0.286107,-0.015562,9.753978,9.758185,1.682606,183.113434
0.3100230,-0.284910,-0.007183,9.738416,9.742585,1.676314,181.444122
0.3200390,-0.284910,-0.013168,9.746795,9.750967,1.676197,182.646240
0.3300200,-0.284910,-0.022745,9.759963,9.764147,1.677364,184.564346
0.3400290,-0.286107,-0.022745,9.740809,9.745037,1.687716,184.545334
0.3500080,-0.289698,-0.005986,9.756371,9.760674,1.701229,181.183624
0.3600800,-0.276530,-0.009577,9.746795,9.750721,1.626062,181.983475
0.3700120,-0.292093,-0.003591,9.758766,9.763138,1.714635,180.704422
0.3801560,-0.288501,-0.013168,9.757569,9.761842,1.695236,182.613342
0.3900380,-0.290895,-0.011971,9.752781,9.757126,1.709949,182.356522
0.4000200,-0.288501,-0.017957,9.752781,9.757064,1.697774,183.561539
0.4100080,-0.293290,-0.007183,9.749189,9.753602,1.723515,181.402878
0.4199870,-0.283713,-0.009577,9.745598,9.749731,1.668357,181.933304
0.4300330,-0.289698,-0.017957,9.756371,9.760688,1.703987,183.546860
0.4400410,-0.283713,-0.017957,9.750386,9.754530,1.670115,183.621490
0.4500510,-0.294487,-0.009577,9.758766,9.763213,1.729409,181.862625
0.4600050,-0.294487,-0.009577,9.751583,9.756034,1.730766,181.862625
0.4699950,-0.292093,-0.016759,9.758766,9.763151,1.717258,183.283859
0.4800350,-0.280122,-0.015562,9.747993,9.752029,1.648651,183.179825
0.4900960,-0.284910,-0.011971,9.752781,9.756948,1.674679,182.405975
0.5000530,-0.280122,-0.023942,9.755175,9.759225,1.650787,184.885208
0.5100110,-0.282516,-0.019154,9.751583,9.755693,1.663305,183.878525
0.5200600,-0.294487,-0.002394,9.757569,9.762012,1.728730,180.465805
0.5300280,-0.283713,-0.021548,9.751583,9.755733,1.671404,184.343246
0.5401189,-0.281319,-0.008380,9.743204,9.747268,1.654457,181.706177
0.5500160,-0.288501,-0.007183,9.757569,9.761836,1.694082,181.426163
0.5600179,-0.284910,-0.008380,9.753978,9.758142,1.673861,181.684677
0.5700160,-0.293290,-0.001197,9.756371,9.760778,1.721810,180.233856
0.5800040,-0.289698,-0.015562,9.750386,9.754702,1.704332,183.074921
0.5900180,-0.283713,-0.009577,9.744401,9.748535,1.668709,181.933304
0.6000150,-0.287304,-0.011971,9.753978,9.758216,1.688759,182.385941
0.6100370,-0.284910,0.001197,9.740809,9.744975,1.675380,179.759262
0.6200030,-0.290895,-0.014365,9.755175,9.759521,1.710063,182.827118
0.6300340,-0.295684,-0.007183,9.761160,9.765640,1.735622,181.391525
0.6400180,-0.290895,-0.013168,9.758766,9.763110,1.709262,182.591873
0.6499860,-0.294487,-0.014365,9.757569,9.762023,1.730766,182.792709
0.6600140,-0.293290,-0.009577,9.756371,9.760783,1.722720,181.870224
0.6700340,-0.288501,-0.011971,9.749189,9.753465,1.696506,182.376053
0.6800130,-0.284910,-0.009577,9.744401,9.748570,1.675847,181.925186
0.6899779,-0.293290,-0.013168,9.758766,9.763182,1.723287,182.570740
0.7000940,-0.288501,-0.016759,9.744401,9.748685,1.698581,183.324646
0.7100060,-0.290895,-0.015562,9.750386,9.754737,1.711322,183.062286
0.7200069,-0.290895,-0.008380,9.745598,9.749942,1.710407,181.650040
0.7300060,-0.290895,-0.001197,9.746795,9.751135,1.709491,180.235779
0.7399950,-0.290895,-0.002394,9.757569,9.761905,1.707659,180.471558
