Keuwl Accelerometer Data File
2020-08-24 13-47-43

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.150835,0.088585,9.624691,9.626281,1.041363,30.425785
0.0100040,0.140061,0.098162,9.726444,9.727947,1.007165,35.024876
0.0200070,0.134075,0.110133,9.836577,9.838107,1.010463,39.400658
0.0300000,0.129287,0.104148,9.727641,9.729057,0.977588,38.853378
0.0399980,0.137667,0.113725,9.636662,9.638315,1.061463,39.559666
0.0500220,0.124498,0.112527,9.768343,9.769784,0.984171,42.108730
0.0600000,0.137667,0.108936,9.824607,9.826176,1.023929,38.354721
0.0699930,0.143652,0.107739,9.668983,9.670650,1.063856,36.869896
0.0800100,0.146046,0.098162,9.678560,9.680160,1.041550,33.906277
0.0900320,0.146046,0.092177,9.799467,9.800989,1.009688,32.257969
0.1000200,0.154426,0.086191,9.794679,9.796275,1.034387,29.167612
0.1099990,0.143652,0.101754,9.642648,9.644255,1.045863,35.311214
0.1200500,0.144849,0.105345,9.706094,9.707747,1.057214,36.027374
0.1299920,0.135272,0.102951,9.800665,9.802139,0.993866,37.273380
0.1399950,0.137667,0.104148,9.755175,9.756701,1.013557,37.108299
0.1499930,0.140061,0.102951,9.646238,9.647804,1.032303,36.317478
0.1599820,0.134075,0.107739,9.755175,9.756691,1.010075,38.784363
0.1699930,0.130484,0.102951,9.812635,9.814043,0.970355,38.273113
0.1799900,0.140061,0.092177,9.724051,9.725496,0.987942,33.349701
0.1900210,0.140061,0.100556,9.668983,9.670521,1.021633,35.676411
0.1999990,0.140061,0.102951,9.779117,9.780661,1.017987,36.317478
0.2099910,0.134075,0.105345,9.785102,9.786588,0.998384,38.157227
0.2199790,0.137667,0.101754,9.692925,9.694437,1.011818,36.469234
0.2299980,0.140061,0.104148,9.695320,9.696891,1.031355,36.634113
0.2399980,0.132878,0.102951,9.789890,9.791333,0.983574,37.767620
0.2500130,0.144849,0.117316,9.775525,9.777302,1.092353,39.004616
0.2600110,0.135272,0.099359,9.673772,9.675228,0.994063,36.297775
0.2699870,0.140061,0.101754,9.732430,9.733969,1.018948,35.998245
0.2800020,0.135272,0.096965,9.789890,9.791305,0.973777,35.633492
0.2899900,0.138864,0.107739,9.731233,9.732820,1.034576,37.806530
0.3000530,0.142455,0.102951,9.676167,9.677763,1.040799,35.855228
0.3099950,0.158017,0.100556,9.763555,9.765350,1.098783,32.471191
0.3199840,0.142455,0.106542,9.782708,9.784326,1.041738,36.792786
0.3300030,0.137667,0.099359,9.726444,9.727925,0.999755,35.819458
