Keuwl Accelerometer Data File
2020-08-24 13-53-48

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.016759,-0.013168,9.726444,9.726467,0.123541,218.157227
0.0100140,-0.019154,-0.007183,9.708488,9.708509,0.121947,200.556046
0.0200010,-0.011971,-0.002394,9.738416,9.738423,0.071326,191.309937
0.0301010,-0.001197,-0.002394,9.776723,9.776723,0.000000,243.434952
0.0399810,-0.010774,-0.008380,9.706094,9.706103,0.079129,217.874985
0.0500340,-0.002394,-0.004788,9.701305,9.701307,0.034264,243.434952
0.0600060,-0.011971,-0.004788,9.758766,9.758775,0.076617,201.801407
0.0700190,-0.009577,-0.017957,9.758766,9.758787,0.118694,241.927505
0.0800130,-0.008380,-0.002394,9.700109,9.700112,0.052339,195.945389
0.0899930,-0.008380,0.007183,9.724051,9.724057,0.068528,139.398712
0.1000100,-0.010774,-0.008380,9.764751,9.764761,0.079129,217.874985
0.1100030,-0.007183,-0.015562,9.757569,9.757585,0.100871,245.224854
0.1200210,-0.007183,-0.007183,9.706094,9.706100,0.062557,225.000000
0.1300210,-0.008380,-0.016759,9.738416,9.738434,0.110143,243.434952
0.1400050,0.004788,-0.021548,9.769540,9.769565,0.129722,282.528809
0.1500560,0.004788,-0.017957,9.725247,9.725266,0.110143,284.931427
0.1599690,-0.010774,0.002394,9.706094,9.706100,0.068528,167.471191
0.1700140,-0.003591,0.002394,9.740809,9.740810,0.027976,146.309937
0.1800260,-0.010774,0.002394,9.755175,9.755180,0.062557,167.471191
0.1900240,-0.003591,0.003591,9.716867,9.716868,0.027976,135.000000
0.2000240,-0.007183,0.005986,9.713276,9.713281,0.055953,140.194427
0.2100880,-0.008380,-0.011971,9.765948,9.765960,0.088469,235.007980
0.2200080,-0.007183,0.008380,9.743204,9.743210,0.062557,130.601288
0.2303160,-0.011971,-0.003591,9.706094,9.706101,0.071326,196.699249
0.2400090,0.001197,-0.015562,9.731233,9.731245,0.090654,274.398712
0.2500370,0.001197,-0.022745,9.756371,9.756398,0.134170,273.012787
0.2600110,-0.005986,-0.015562,9.726444,9.726459,0.098912,248.962494
0.2700130,-0.005986,-0.010774,9.707291,9.707298,0.071326,240.945404
0.2800250,-0.017957,-0.002394,9.755175,9.755191,0.104678,187.594650
0.2900090,-0.016759,0.002394,9.768343,9.768358,0.100871,171.869904
0.3000230,-0.008380,-0.021548,9.720459,9.720487,0.137056,248.749496
0.3100090,-0.013168,-0.002394,9.719262,9.719272,0.079129,190.304840
0.3201660,-0.010774,-0.001197,9.749189,9.749195,0.062557,186.340195
0.3300190,-0.008380,-0.001197,9.736021,9.736025,0.052339,188.130096
0.3400130,-0.009577,-0.017957,9.713276,9.713297,0.118694,241.927505
0.3500180,-0.003591,-0.019154,9.733627,9.733646,0.113641,259.380341
0.3599920,-0.003591,0.005986,9.749189,9.749191,0.034264,120.963760
0.3700130,-0.008380,-0.009577,9.730036,9.730044,0.076617,228.814072
0.3800250,-0.015562,-0.003591,9.732430,9.732443,0.094873,192.994614
0.3900720,-0.004788,0.004788,9.746795,9.746797,0.034264,135.000000
0.4000310,-0.013168,-0.002394,9.744401,9.744411,0.079129,190.304840
0.4099960,-0.011971,0.002394,9.727641,9.727649,0.071326,168.690063
0.4200120,-0.016759,-0.011971,9.722853,9.722875,0.121947,215.537674
0.4300250,-0.010774,-0.005986,9.740809,9.740817,0.071326,209.054596
0.4400670,-0.002394,-0.005986,9.738416,9.738418,0.034264,248.198593
0.4500420,-0.014365,-0.002394,9.719262,9.719274,0.088469,189.462326
0.4600190,-0.013168,-0.007183,9.721656,9.721667,0.088469,208.610458
0.4700180,-0.017957,-0.007183,9.750386,9.750405,0.113641,201.801407
0.4802050,-0.004788,-0.011971,9.733627,9.733636,0.076617,248.198593
0.4900070,-0.010774,-0.009577,9.722853,9.722863,0.083929,221.633545
0.4999980,-0.008380,0.003591,9.733627,9.733631,0.052339,156.801407
0.5100270,-0.001197,0.007183,9.745598,9.745601,0.044235,99.462318
0.5199970,0.007183,0.005986,9.718064,9.718068,0.052339,39.805569
0.5300480,-0.001197,-0.016759,9.724051,9.724065,0.098912,265.914398
0.5400069,-0.001197,-0.005986,9.737218,9.737220,0.034264,258.690063
0.5500720,-0.001197,-0.003591,9.743204,9.743205,0.027976,251.565048
0.5600039,-0.008380,-0.003591,9.727641,9.727645,0.052339,203.198593
0.5700020,-0.007183,-0.016759,9.727641,9.727658,0.108352,246.801407
0.5799930,-0.009577,-0.001197,9.743204,9.743209,0.055953,187.125015
0.5900140,-0.001197,-0.020351,9.726444,9.726465,0.118694,266.633545
0.5999960,-0.001197,-0.003591,9.722853,9.722854,0.027976,251.565048
0.6100020,-0.009577,0.002394,9.734824,9.734829,0.055953,165.963760
0.6200430,-0.005986,0.007183,9.739613,9.739617,0.055953,129.805573
0.6300110,-0.003591,-0.004788,9.728839,9.728841,0.034264,233.130096
0.6401090,-0.001197,-0.002394,9.720459,9.720459,0.000000,243.434952
0.6500100,-0.007183,0.004788,9.737218,9.737222,0.052339,146.309937
0.6599749,-0.005986,0.008380,9.740809,9.740815,0.062557,125.537674
0.6700090,-0.009577,-0.014365,9.713276,9.713291,0.100871,236.309937
0.6799980,-0.011971,-0.013168,9.722853,9.722869,0.104678,227.726318
0.6900240,-0.011971,-0.015562,9.738416,9.738436,0.117034,232.431412
0.7000070,-0.009577,-0.010774,9.728839,9.728849,0.083929,228.366455
0.7100700,-0.001197,-0.008380,9.720459,9.720463,0.052339,261.869904
0.7200050,-0.003591,-0.001197,9.733627,9.733628,0.027976,198.434952
0.7300010,0.001197,0.002394,9.733627,9.733627,0.000000,63.434948
0.7400150,-0.014365,0.001197,9.726444,9.726455,0.083929,175.236359
0.7499970,-0.007183,-0.009577,9.731233,9.731240,0.071326,233.130096
0.7600260,-0.002394,0.001197,9.738416,9.738416,0.000000,153.434952
0.7700240,-0.005986,-0.005986,9.739613,9.739616,0.052339,225.000000
0.7800390,-0.003591,-0.013168,9.730036,9.730045,0.079129,254.744888
0.7899970,-0.015562,-0.008380,9.727641,9.727657,0.104678,208.300751
0.7999850,-0.003591,-0.010774,9.734824,9.734831,0.068528,251.565048
0.8100110,0.002394,-0.002394,9.738416,9.738417,0.027976,315.000000
0.8199909,-0.007183,-0.003591,9.730036,9.730039,0.044235,206.565048
0.8300310,-0.003591,0.002394,9.736021,9.736022,0.027976,146.309937
0.8399960,-0.014365,0.001197,9.739613,9.739623,0.083929,175.236359
0.8500469,-0.003591,-0.007183,9.731233,9.731236,0.044235,243.434952
0.8600039,-0.009577,-0.016759,9.721656,9.721675,0.113641,240.255112
0.8699970,-0.014365,0.002394,9.732430,9.732441,0.088469,170.537674
0.8799989,-0.004788,-0.013168,9.730036,9.730046,0.083929,250.016891
0.8899980,-0.004788,-0.011971,9.736021,9.736030,0.076617,248.198593
0.9000040,0.001197,-0.023942,9.728839,9.728868,0.141274,272.862396
0.9099960,-0.005986,-0.014365,9.732430,9.732442,0.090654,247.380142
0.9200339,-0.011971,-0.003591,9.731233,9.731240,0.071326,196.699249
0.9300309,-0.015562,-0.002394,9.727641,9.727654,0.090654,188.746170
0.9399830,-0.008380,0.001197,9.740809,9.740813,0.052339,171.869904
0.9500020,-0.010774,0.001197,9.731233,9.731238,0.062557,173.659805
0.9599890,-0.001197,-0.008380,9.724051,9.724054,0.052339,261.869904
0.9700280,-0.007183,-0.004788,9.728839,9.728843,0.052339,213.690063
0.9800010,-0.001197,-0.010774,9.734824,9.734830,0.062557,263.659821
0.9900280,-0.009577,-0.008380,9.733627,9.733636,0.076617,221.185928
1.0000170,-0.004788,-0.014365,9.734824,9.734836,0.088469,251.565048
1.0100000,-0.010774,-0.003591,9.736021,9.736028,0.068528,198.434952
1.0200139,-0.009577,0.003591,9.734824,9.734830,0.062557,159.443954
1.0300000,-0.017957,-0.001197,9.740809,9.740826,0.104678,183.814072
1.0399960,-0.011971,-0.010774,9.727641,9.727654,0.094873,221.987213
1.0500140,-0.003591,0.003591,9.743204,9.743205,0.027976,135.000000
1.0601100,-0.004788,0.008380,9.734824,9.734829,0.055953,119.744881
1.0700090,-0.009577,-0.016759,9.721656,9.721675,0.113641,240.255112
1.0799860,-0.009577,-0.001197,9.720459,9.720464,0.055953,187.125015
1.0900370,-0.013168,-0.005986,9.733627,9.733638,0.083929,204.443954
1.1000280,-0.009577,-0.003591,9.733627,9.733633,0.062557,200.556046
1.1100070,-0.009577,-0.009577,9.733627,9.733637,0.079129,225.000000
1.1199970,-0.005986,-0.022745,9.725247,9.725276,0.138476,255.256439
1.1301030,-0.009577,-0.002394,9.727641,9.727646,0.055953,194.036240
1.1399980,-0.002394,-0.014365,9.730036,9.730047,0.088469,260.537689
1.1499840,-0.002394,-0.008380,9.731233,9.731236,0.052339,254.054611
