Keuwl Accelerometer Data File
2020-08-26 16-01-01

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.122104,-0.090980,9.736021,9.737212,0.896130,216.689728
0.0100280,-0.119710,-0.096965,9.742006,9.743224,0.905902,219.007477
0.0199730,-0.118513,-0.104148,9.730036,9.731315,0.928938,221.308609
0.0299950,-0.120907,-0.093374,9.736021,9.737220,0.898964,217.678085
0.0400010,-0.113725,-0.090980,9.736021,9.737110,0.857065,218.659805
0.0499670,-0.118513,-0.084994,9.743204,9.744295,0.857293,215.647018
0.0599700,-0.123301,-0.100556,9.736021,9.737321,0.936282,219.198410
0.0699700,-0.123301,-0.095768,9.740809,9.742061,0.918345,217.836456
0.0799570,-0.124498,-0.090980,9.744401,9.745622,0.906766,216.158188
0.0900000,-0.119710,-0.099359,9.721656,9.722900,0.916852,219.692673
0.0999720,-0.122104,-0.100556,9.736021,9.737307,0.931042,219.472458
0.1100210,-0.117316,-0.092177,9.742006,9.743149,0.877373,218.157227
0.1200870,-0.117316,-0.087388,9.745598,9.746696,0.859801,216.682358
0.1299960,-0.123301,-0.092177,9.732430,9.733646,0.905902,216.780792
0.1399820,-0.117316,-0.096965,9.738416,9.739605,0.895474,219.574768
0.1499690,-0.117316,-0.098162,9.732430,9.733631,0.900269,219.920395
0.1600350,-0.129287,-0.084994,9.738416,9.739645,0.910427,213.321213
0.1699720,-0.122104,-0.098162,9.736021,9.737282,0.921960,218.796555
0.1799680,-0.123301,-0.095768,9.734824,9.736076,0.918984,217.836456
0.1900100,-0.124498,-0.088585,9.736021,9.737220,0.898964,215.433319
0.1999720,-0.107739,-0.101754,9.734824,9.735952,0.872228,223.363419
0.2100630,-0.107739,-0.084994,9.734824,9.735791,0.807456,218.269516
0.2199860,-0.117316,-0.092177,9.733627,9.734771,0.878264,218.157227
0.2299810,-0.107739,-0.101754,9.743204,9.744331,0.871555,223.363419
0.2400430,-0.112527,-0.101754,9.756371,9.757551,0.890873,222.121628
0.2499890,-0.114922,-0.095768,9.743204,9.744352,0.879600,219.805573
0.2599800,-0.119710,-0.101754,9.732430,9.733698,0.924927,220.364532
0.2700220,-0.112527,-0.088585,9.740809,9.741862,0.842327,218.211029
0.2800160,-0.123301,-0.094571,9.730036,9.731277,0.914930,217.487854
0.2899880,-0.124498,-0.092177,9.739613,9.740845,0.911287,216.515686
0.2999890,-0.123301,-0.086191,9.733627,9.734790,0.885586,214.954666
0.3099790,-0.122104,-0.084994,9.742006,9.743142,0.874916,214.840942
0.3199710,-0.124498,-0.088585,9.740809,9.742008,0.898746,215.433319
0.3299850,-0.118513,-0.098162,9.732430,9.733646,0.905902,219.634369
0.3399750,-0.124498,-0.096965,9.737218,9.738497,0.928517,217.913101
0.3499770,-0.119710,-0.087388,9.736021,9.737149,0.872228,216.129440
0.3599910,-0.118513,-0.087388,9.733627,9.734741,0.866827,216.404083
0.3699710,-0.120907,-0.089783,9.734824,9.735989,0.886249,216.596634
0.3799860,-0.116119,-0.100556,9.734824,9.736036,0.904173,220.891891
0.3900630,-0.126893,-0.092177,9.731233,9.732496,0.923233,215.995224
0.4000420,-0.125696,-0.092177,9.738416,9.739663,0.917066,216.253845
0.4100340,-0.117316,-0.099359,9.745598,9.746810,0.903523,220.262558
0.4201200,-0.110133,-0.105345,9.737218,9.738411,0.896784,223.726974
0.4300580,-0.122104,-0.093374,9.744401,9.745613,0.903740,217.405350
0.4400420,-0.126893,-0.086191,9.740809,9.742017,0.902006,214.186127
0.4500380,-0.125696,-0.093374,9.740809,9.742068,0.921111,216.607071
0.4600830,-0.125696,-0.088585,9.743204,9.744417,0.904173,215.174728
0.4700390,-0.108936,-0.099359,9.730036,9.731153,0.867955,222.367569
0.4800470,-0.117316,-0.089783,9.739613,9.740733,0.869081,217.427048
0.4900600,-0.123301,-0.096965,9.738416,9.739678,0.922597,218.181778
0.5000690,-0.117316,-0.094571,9.722853,9.724020,0.887793,218.873062
0.5100260,-0.123301,-0.087388,9.740809,9.741982,0.888674,215.326645
0.5200390,-0.111330,-0.089783,9.744401,9.745451,0.841164,218.884491
0.5300580,-0.112527,-0.094571,9.739613,9.740722,0.864567,220.044556
0.5400510,-0.113725,-0.104148,9.743204,9.744424,0.906550,222.483124
0.5499980,-0.117316,-0.095768,9.738416,9.739594,0.891093,219.225677
0.5600359,-0.116119,-0.093374,9.745598,9.746737,0.875810,218.803589
0.5700890,-0.112527,-0.099359,9.739613,9.740769,0.882931,221.443817
0.5800500,-0.116119,-0.100556,9.734824,9.736036,0.904173,220.891891
0.5900450,-0.117316,-0.105345,9.742006,9.743282,0.927251,221.922546
0.6000220,-0.125696,-0.095768,9.727641,9.728925,0.930832,217.303955
0.6100920,-0.123301,-0.088585,9.731233,9.732417,0.893943,215.695221
0.6200910,-0.128090,-0.084994,9.739613,9.740826,0.904173,213.566315
0.6300380,-0.113725,-0.105345,9.736021,9.737255,0.912145,222.809433
0.6400700,-0.118513,-0.095768,9.740809,9.742002,0.896348,218.941010
0.6500220,-0.117316,-0.083797,9.736021,9.737088,0.848345,215.537674
0.6600040,-0.114922,-0.094571,9.737218,9.738356,0.875810,219.451538
0.6700120,-0.117316,-0.087388,9.742006,9.743105,0.860483,216.682358
0.6800230,-0.126893,-0.090980,9.736021,9.737273,0.918771,215.639816
0.6900049,-0.122104,-0.098162,9.727641,9.728903,0.922809,218.796555
0.7000060,-0.117316,-0.089783,9.731233,9.732354,0.869757,217.427048
0.7100480,-0.120907,-0.089783,9.731233,9.732398,0.886690,216.596634
0.7200250,-0.117316,-0.099359,9.733627,9.734841,0.904822,220.262558
0.7300410,-0.119710,-0.087388,9.743204,9.744331,0.871555,216.129440
0.7401029,-0.129287,-0.092177,9.733627,9.734922,0.934608,215.487457
0.7500280,-0.114922,-0.098162,9.740809,9.741982,0.888674,220.502853
0.7600380,-0.119710,-0.099359,9.757569,9.758809,0.913217,219.692673
0.7700160,-0.120907,-0.099359,9.736021,9.737279,0.920899,219.412750
0.7800090,-0.104148,-0.095768,9.739613,9.740641,0.832513,222.599777
0.7900490,-0.117316,-0.099359,9.739613,9.740826,0.904173,220.262558
0.8000100,-0.119710,-0.095768,9.744401,9.745606,0.901138,218.659805
0.8100500,-0.117316,-0.105345,9.736021,9.737298,0.927884,221.922546
0.8200330,-0.111330,-0.100556,9.732430,9.733585,0.882931,222.089157
0.8301050,-0.120907,-0.098162,9.734824,9.736070,0.916426,219.072495
0.8400159,-0.119710,-0.096965,9.734824,9.736043,0.906550,219.007477
0.8500000,-0.117316,-0.101754,9.736021,9.737260,0.913860,220.936630
0.8600420,-0.122104,-0.090980,9.752781,9.753969,0.894381,216.689728
0.8701210,-0.114922,-0.093374,9.744401,9.745526,0.870656,219.093857
0.8800300,-0.126893,-0.087388,9.737218,9.738437,0.906550,214.554382
0.8900330,-0.112527,-0.100556,9.738416,9.739585,0.887793,221.784515
0.9000270,-0.122104,-0.094571,9.730036,9.731261,0.909352,217.758133
0.9103109,-0.117316,-0.093374,9.740809,9.741963,0.881822,218.516922
0.9200519,-0.119710,-0.096965,9.744401,9.745619,0.905902,219.007477
0.9300080,-0.118513,-0.089783,9.739613,9.740747,0.874692,217.146683
0.9400370,-0.122104,-0.096965,9.727641,9.728890,0.918132,218.453705
0.9500080,-0.111330,-0.099359,9.732430,9.733574,0.878710,221.748047
0.9600629,-0.114922,-0.092177,9.737218,9.738333,0.867053,218.732513
0.9700360,-0.119710,-0.095768,9.726444,9.727652,0.902657,218.659805
0.9800209,-0.126893,-0.086191,9.733627,9.734836,0.902657,214.186127
0.9900389,-0.120907,-0.092177,9.737218,9.738405,0.894818,217.321030
1.0001010,-0.118513,-0.090980,9.737218,9.738364,0.879155,217.512619
1.0101199,-0.119710,-0.100556,9.733627,9.734883,0.920474,220.030258
1.0200130,-0.119710,-0.082600,9.742006,9.743092,0.855237,214.605682
1.0300510,-0.108936,-0.104148,9.755175,9.756338,0.884923,223.712677
1.0400320,-0.123301,-0.087388,9.739613,9.740786,0.889115,215.326645
1.0500220,-0.132878,-0.090980,9.728839,9.730171,0.948120,214.398849
1.0600159,-0.124498,-0.093374,9.726444,9.727689,0.916426,216.869904
1.0700330,-0.124498,-0.092177,9.744401,9.745632,0.910857,216.515686
1.0800580,-0.119710,-0.090980,9.732430,9.733591,0.885144,217.234833
1.0901270,-0.114922,-0.084994,9.739613,9.740662,0.840932,216.486008
1.1000370,-0.124498,-0.095768,9.737218,9.738485,0.924504,217.568588
1.1100260,-0.117316,-0.099359,9.746795,9.748007,0.903523,220.262558
1.1200409,-0.118513,-0.098162,9.730036,9.731253,0.906118,219.634369
1.1300820,-0.120907,-0.093374,9.739613,9.740810,0.898528,217.678085
1.1400859,-0.123301,-0.101754,9.743204,9.744515,0.940036,219.530899
1.1500059,-0.124498,-0.090980,9.731233,9.732454,0.907844,216.158188
1.1600180,-0.120907,-0.089783,9.743204,9.744368,0.885365,216.596634
1.1700341,-0.117316,-0.100556,9.728839,9.730065,0.909782,220.601288
1.1801490,-0.118513,-0.104148,9.730036,9.731315,0.928938,221.308609
1.1900690,-0.118513,-0.093374,9.736021,9.737190,0.888013,218.233826
1.2000231,-0.118513,-0.095768,9.736021,9.737213,0.896566,218.941010
1.2100700,-0.113725,-0.098162,9.731233,9.732392,0.884481,220.799377
1.2200379,-0.123301,-0.084994,9.742006,9.743157,0.880712,214.579285
1.2300529,-0.122104,-0.092177,9.738416,9.739617,0.900051,217.049225
1.2400120,-0.106542,-0.104148,9.732430,9.733570,0.877150,224.348938
1.2499959,-0.122104,-0.088585,9.746795,9.747962,0.886690,215.960510
1.2600629,-0.123301,-0.090980,9.744401,9.745606,0.901138,216.422287
1.2701199,-0.119710,-0.089783,9.743204,9.744353,0.880045,216.869904
1.2800319,-0.123301,-0.100556,9.739613,9.740912,0.936073,219.198410
1.2904840,-0.119710,-0.086191,9.738416,9.739532,0.867729,215.753891
1.3000391,-0.118513,-0.092177,9.731233,9.732391,0.884038,217.874985
1.3100790,-0.119710,-0.095768,9.727641,9.728848,0.902657,218.659805
1.3200729,-0.118513,-0.096965,9.744401,9.745605,0.900486,219.289413
1.3300209,-0.118513,-0.093374,9.743204,9.744372,0.887132,218.233826
1.3400090,-0.113725,-0.095768,9.740809,9.741944,0.874469,220.100906
1.3500090,-0.119710,-0.088585,9.745598,9.746736,0.875363,216.501434
1.3600770,-0.126893,-0.090980,9.739613,9.740864,0.918345,215.639816
1.3701110,-0.114922,-0.098162,9.745598,9.746770,0.888454,220.502853
1.3800199,-0.119710,-0.095768,9.742006,9.743212,0.901355,218.659805
1.3900479,-0.118513,-0.090980,9.737218,9.738364,0.879155,217.512619
1.4000390,-0.114922,-0.098162,9.738416,9.739589,0.889335,220.502853
1.4100770,-0.111330,-0.101754,9.742006,9.743174,0.886911,222.426636
1.4200391,-0.112527,-0.099359,9.749189,9.750345,0.882266,221.443817
1.4300209,-0.112527,-0.104148,9.737218,9.738425,0.902223,222.785248
1.4400460,-0.120907,-0.095768,9.733627,9.734849,0.907629,218.382004
1.4500099,-0.114922,-0.095768,9.743204,9.744352,0.879600,219.805573
1.4600799,-0.117316,-0.094571,9.742006,9.743172,0.886249,218.873062
1.4700210,-0.113725,-0.099359,9.732430,9.733601,0.888894,221.143204
