Keuwl Accelerometer Data File
2020-08-26 16-03-59

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.079009,-0.079009,9.739613,9.740253,0.657301,225.000000
0.0099920,-0.080206,-0.082600,9.728839,9.729520,0.677820,225.842529
0.0200060,-0.084994,-0.082600,9.730036,9.730758,0.698015,224.181549
0.0300100,-0.081403,-0.083797,9.734824,9.735525,0.687565,225.830322
0.0400020,-0.074220,-0.099359,9.743204,9.743993,0.729005,233.240707
0.0499910,-0.077812,-0.087388,9.738416,9.739119,0.688418,228.317780
0.0600020,-0.082600,-0.083797,9.736021,9.736732,0.692669,225.412186
0.0699970,-0.077812,-0.088585,9.740809,9.741523,0.693516,228.704636
0.0800280,-0.069432,-0.094571,9.737218,9.737925,0.690405,233.714737
0.0900400,-0.086191,-0.084994,9.738416,9.739168,0.712169,224.599335
0.1000090,-0.082600,-0.081403,9.740809,9.741500,0.682136,224.581787
0.1100090,-0.089783,-0.084994,9.733627,9.734412,0.727662,223.430649
0.1200420,-0.087388,-0.083797,9.733627,9.734380,0.712444,223.798172
0.1300190,-0.079009,-0.084994,9.734824,9.735516,0.682996,227.090164
0.1400140,-0.075417,-0.095768,9.740809,9.741572,0.717097,231.779572
0.1500030,-0.083797,-0.088585,9.744401,9.745164,0.716825,226.591141
0.1599930,-0.077812,-0.099359,9.738416,9.739233,0.742304,231.934341
0.1700140,-0.087388,-0.089783,9.742006,9.742812,0.737013,225.774216
0.1800040,-0.082600,-0.095768,9.730036,9.730858,0.744673,229.222229
0.1900040,-0.076614,-0.099359,9.733627,9.734436,0.738605,232.364746
0.2000100,-0.084994,-0.084994,9.737218,9.737960,0.707206,225.000000
0.2101310,-0.083797,-0.080206,9.739613,9.740303,0.682136,223.745544
0.2200210,-0.082600,-0.092177,9.727641,9.728429,0.729005,228.136353
0.2300280,-0.081403,-0.096965,9.732430,9.733253,0.745198,229.986328
0.2400340,-0.079009,-0.086191,9.734824,9.735526,0.688134,227.489548
0.2499970,-0.087388,-0.080206,9.734824,9.735547,0.698296,222.545975
0.2600120,-0.094571,-0.088585,9.744401,9.745263,0.762075,223.128250
0.2700180,-0.083797,-0.090980,9.737218,9.738004,0.727931,227.353302
0.2800510,-0.090980,-0.087388,9.744401,9.745217,0.741513,223.846542
0.2899990,-0.077812,-0.102951,9.736021,9.736876,0.759503,232.917496
0.3000590,-0.095768,-0.090980,9.745598,9.746493,0.776573,223.531204
0.3100160,-0.088585,-0.087388,9.739613,9.740408,0.732219,224.610245
0.3200130,-0.092177,-0.092177,9.724051,9.724924,0.767958,225.000000
0.3300320,-0.093374,-0.079009,9.742006,9.742774,0.719277,220.236359
0.3400210,-0.081403,-0.083797,9.738416,9.739117,0.687565,225.830322
0.3499910,-0.084994,-0.084994,9.736021,9.736763,0.707206,225.000000
