Keuwl Accelerometer Data File
2020-08-26 16-04-58

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.025139,-0.064643,9.761160,9.761407,0.407824,291.250519
0.0099930,0.026336,-0.076614,9.757569,9.757906,0.476012,288.970398
0.0199260,0.032322,-0.069432,9.765948,9.766249,0.449370,294.962799
0.0299730,0.027533,-0.075417,9.751583,9.751914,0.471884,290.056091
0.0399210,0.025139,-0.068235,9.758766,9.759037,0.427043,290.224854
0.0499470,0.020351,-0.065841,9.730036,9.730280,0.405901,287.175903
0.0599440,0.003591,-0.071826,9.725247,9.725513,0.423823,272.862396
0.0699310,0.015562,-0.074220,9.752781,9.753076,0.445433,281.842072
0.0799390,0.020351,-0.086191,9.755175,9.755576,0.519641,283.284882
0.0899340,0.028730,-0.063446,9.780313,9.780561,0.407824,294.362457
0.0999480,0.022745,-0.056264,9.780313,9.780502,0.356083,292.011292
0.1099430,0.026336,-0.049081,9.715671,9.715831,0.329244,298.217346
0.1199450,0.017957,-0.051475,9.756371,9.756524,0.320206,289.230682
0.1300200,0.032322,-0.062249,9.775525,9.775777,0.411169,297.439728
0.1399340,0.028730,-0.068235,9.757569,9.757850,0.434312,292.833649
0.1499230,0.029928,-0.059855,9.744401,9.744631,0.393664,296.565063
0.1599600,0.020351,-0.065841,9.763555,9.763798,0.404452,287.175903
0.1699400,0.021548,-0.069432,9.779117,9.779387,0.425666,287.241455
0.1799950,0.019154,-0.073023,9.744401,9.744694,0.444114,284.697327
0.1899370,0.017957,-0.069432,9.753978,9.754241,0.421044,284.500153
0.1999330,0.017957,-0.071826,9.775525,9.775805,0.433862,284.036255
0.2099830,0.021548,-0.058658,9.740809,9.741010,0.367441,290.170654
0.2199430,0.027533,-0.061052,9.740809,9.741040,0.394161,294.274445
0.2299360,0.041899,-0.070629,9.758766,9.759112,0.482545,300.677277
0.2399570,0.039504,-0.067038,9.761160,9.761470,0.456712,300.510223
0.2499220,0.031125,-0.055067,9.737218,9.737423,0.371677,299.475891
0.2599480,0.025139,-0.059855,9.747993,9.748209,0.382061,292.782410
0.2699620,0.028730,-0.063446,9.768343,9.768591,0.408304,294.362457
0.2799430,0.026336,-0.063446,9.756371,9.756614,0.403968,292.543060
0.2899550,0.021548,-0.071826,9.751583,9.751871,0.440130,286.699249
0.2999570,0.019154,-0.069432,9.775525,9.775790,0.421973,285.422150
0.3099400,0.019154,-0.069432,9.764751,9.765018,0.422899,285.422150
0.3201820,0.026336,-0.070629,9.740809,9.741101,0.443673,290.449554
0.3301630,0.034716,-0.067038,9.755175,9.755466,0.443231,297.377716
0.3399580,0.035913,-0.065841,9.763555,9.763843,0.440130,298.610443
0.3500780,0.033519,-0.061052,9.739613,9.739861,0.409739,298.767639
0.3600200,0.031125,-0.059855,9.747993,9.748226,0.396636,297.474426
0.3699450,0.027533,-0.057461,9.765948,9.766156,0.373777,295.602173
0.3799450,0.025139,-0.073023,9.749189,9.749496,0.454134,288.996643
0.3899490,0.027533,-0.065841,9.736021,9.736283,0.420579,292.693787
0.3999950,0.015562,-0.073023,9.765948,9.766234,0.438348,282.030609
0.4100280,0.022745,-0.075417,9.759963,9.760281,0.462248,286.782654
0.4200160,0.015562,-0.070629,9.749189,9.749457,0.424746,282.425934
