Keuwl Accelerometer Data File
2020-08-26 16-07-17

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.083797,-0.065841,9.744401,9.744984,0.626513,218.157227
0.0100140,-0.089783,-0.069432,9.734824,9.735485,0.667639,217.715973
0.0200160,-0.083797,-0.065841,9.744401,9.744984,0.626513,218.157227
0.0299940,-0.084994,-0.064643,9.740809,9.741395,0.628073,217.255295
0.0400010,-0.079009,-0.065841,9.739613,9.740155,0.604903,219.805573
0.0500030,-0.089783,-0.056264,9.742006,9.742582,0.623068,212.074005
0.0600060,-0.083797,-0.068235,9.750386,9.750985,0.634890,219.155426
0.0700220,-0.094571,-0.055067,9.743204,9.743818,0.643158,210.211319
0.0800410,-0.080206,-0.064643,9.733627,9.734173,0.606518,218.867783
0.0899990,-0.080206,-0.064643,9.743204,9.743749,0.605872,218.867783
0.1000190,-0.076614,-0.064643,9.738416,9.738932,0.589835,220.155991
0.1100250,-0.082600,-0.061052,9.737218,9.737760,0.604255,216.469238
0.1200310,-0.080206,-0.065841,9.740809,9.741362,0.610056,219.382416
0.1301080,-0.076614,-0.062249,9.746795,9.747294,0.580135,219.093857
0.1400030,-0.071826,-0.065841,9.743204,9.743691,0.573008,222.510452
0.1499930,-0.079009,-0.058658,9.749189,9.749686,0.578446,216.591095
0.1600060,-0.081403,-0.059855,9.731233,9.731757,0.594790,216.326828
0.1701080,-0.081403,-0.055067,9.738416,9.738912,0.578107,214.077194
0.1800210,-0.083797,-0.069432,9.746795,9.747402,0.639802,219.644180
0.1900260,-0.081403,-0.058658,9.750386,9.750902,0.589503,215.776077
0.2000280,-0.074220,-0.061052,9.745598,9.746072,0.565099,219.440048
0.2100040,-0.083797,-0.070629,9.745598,9.746214,0.644373,220.126099
0.2200920,-0.081403,-0.064643,9.737218,9.737773,0.611658,218.453705
0.2300130,-0.076614,-0.067038,9.747993,9.748524,0.598071,221.185928
0.2400010,-0.079009,-0.063446,9.743204,9.743731,0.595448,218.765518
0.2500330,-0.089783,-0.059855,9.742006,9.742603,0.634273,213.690063
0.2600060,-0.076614,-0.068235,9.744401,9.744942,0.603607,221.689056
0.2700320,-0.074220,-0.068235,9.740809,9.741331,0.592813,222.594025
0.2800300,-0.077812,-0.059855,9.740809,9.741304,0.577430,217.568588
0.2900000,-0.080206,-0.067038,9.743204,9.743765,0.614849,219.889587
0.3000150,-0.080206,-0.061052,9.740809,9.741331,0.592813,217.278168
0.3101610,-0.077812,-0.067038,9.751583,9.752124,0.603283,220.746170
0.3200590,-0.088585,-0.057461,9.740809,9.741382,0.620866,212.969406
0.3299990,-0.079009,-0.070629,9.749189,9.749765,0.622754,221.794785
0.3400000,-0.074220,-0.065841,9.740809,9.741315,0.583833,221.576126
0.3500010,-0.084994,-0.063446,9.738416,9.738993,0.623696,216.740555
0.3600720,-0.087388,-0.075417,9.745598,9.746282,0.678685,220.794647
0.3701480,-0.084994,-0.058658,9.739613,9.740160,0.607485,214.611145
0.3800170,-0.089783,-0.063446,9.742006,9.742626,0.646193,215.247574
0.3900130,-0.079009,-0.063446,9.745598,9.746124,0.595448,218.765518
0.4001270,-0.083797,-0.062249,9.743204,9.743763,0.613575,216.607071
0.4100140,-0.079009,-0.069432,9.738416,9.738983,0.618656,221.308609
0.4201200,-0.075417,-0.073023,9.747993,9.748558,0.617073,224.075958
0.4300250,-0.080206,-0.061052,9.746795,9.747316,0.592813,217.278168
0.4400150,-0.076614,-0.064643,9.747993,9.748508,0.589503,220.155991
0.4500190,-0.083797,-0.068235,9.739613,9.740212,0.635814,219.155426
0.4600100,-0.081403,-0.062249,9.736021,9.736560,0.602634,217.405350
0.4700350,-0.083797,-0.068235,9.755175,9.755774,0.634890,219.155426
0.4799890,-0.084994,-0.061052,9.736021,9.736584,0.616120,215.690063
0.4900120,-0.090980,-0.063446,9.738416,9.739047,0.652521,214.890701
0.5000050,-0.090980,-0.063446,9.737218,9.737850,0.652821,214.890701
0.5099940,-0.074220,-0.069432,9.737218,9.737748,0.598071,223.090851
0.5200320,-0.080206,-0.070629,9.744401,9.744987,0.628696,221.367050
0.5300160,-0.084994,-0.067038,9.732430,9.733031,0.637044,218.263992
0.5401080,-0.080206,-0.064643,9.734824,9.735369,0.605872,218.867783
0.5500050,-0.081403,-0.069432,9.742006,9.742594,0.629318,220.462219
0.5599840,-0.081403,-0.064643,9.734824,9.735379,0.611978,218.453705
0.5700010,-0.079009,-0.058658,9.739613,9.740109,0.578784,216.591095
0.5799860,-0.082600,-0.077812,9.758766,9.759426,0.666172,223.290192
0.5900430,-0.073023,-0.067038,9.746795,9.747299,0.582827,222.552948
0.6000080,-0.082600,-0.069432,9.744401,9.744999,0.634582,220.049728
0.6100700,-0.080206,-0.055067,9.737218,9.737704,0.572666,214.472214
0.6200110,-0.081403,-0.068235,9.746795,9.747374,0.624323,219.970932
0.6299909,-0.081403,-0.062249,9.736021,9.736560,0.602634,217.405350
0.6400090,-0.089783,-0.059855,9.733627,9.734225,0.635198,213.690063
0.6499960,-0.083797,-0.061052,9.738416,9.738968,0.610056,216.076004
0.6600110,-0.082600,-0.067038,9.740809,9.741390,0.625576,219.062576
0.6700030,-0.075417,-0.067038,9.756371,9.756893,0.592483,221.633545
0.6800320,-0.080206,-0.063446,9.743204,9.743741,0.601334,218.345581
0.6900150,-0.084994,-0.063446,9.744401,9.744978,0.623382,216.740555
0.7001190,-0.073023,-0.068235,9.749189,9.749701,0.587175,223.058517
0.7100030,-0.073023,-0.068235,9.753978,9.754490,0.587175,223.058517
0.7199970,-0.083797,-0.058658,9.744401,9.744938,0.601334,214.992020
0.7300120,-0.080206,-0.065841,9.739613,9.740166,0.610698,219.382416
0.7400150,-0.075417,-0.071826,9.752781,9.753337,0.611658,223.602814
0.7500039,-0.074220,-0.069432,9.746795,9.747325,0.597744,223.090851
0.7600180,-0.083797,-0.067038,9.733627,9.734219,0.631491,218.659805
0.7700740,-0.081403,-0.057461,9.743204,9.743713,0.585840,215.217590
0.7800000,-0.082600,-0.069432,9.749189,9.749786,0.633965,220.049728
0.7899989,-0.081403,-0.068235,9.745598,9.746177,0.624323,219.970932
0.8000039,-0.084994,-0.062249,9.746795,9.747364,0.619288,216.218842
0.8099900,-0.084994,-0.070629,9.751583,9.752210,0.649515,219.726105
0.8200410,-0.088585,-0.061052,9.738416,9.739010,0.633038,214.574188
0.8300099,-0.088585,-0.059855,9.744401,9.744987,0.628696,214.045944
0.8400540,-0.080206,-0.069432,9.752781,9.753358,0.623068,220.881805
0.8500080,-0.079009,-0.065841,9.752781,9.753324,0.604255,219.805573
0.8599989,-0.089783,-0.065841,9.743204,9.743840,0.654617,216.253845
0.8700039,-0.081403,-0.068235,9.746795,9.747374,0.624323,219.970932
0.8799870,-0.089783,-0.065841,9.738416,9.739052,0.654916,216.253845
0.8899990,-0.083797,-0.067038,9.744401,9.744992,0.631181,218.659805
0.9000069,-0.075417,-0.068235,9.747993,9.748524,0.598071,222.137589
0.9100440,-0.082600,-0.065841,9.740809,9.741382,0.620866,218.558395
0.9200190,-0.084994,-0.059855,9.740809,9.741364,0.611658,215.154175
0.9299880,-0.079009,-0.067038,9.740809,9.741361,0.609415,220.314102
0.9400070,-0.083797,-0.061052,9.742006,9.742558,0.609415,216.076004
0.9499900,-0.083797,-0.068235,9.736021,9.736621,0.636122,219.155426
0.9600210,-0.084994,-0.067038,9.743204,9.743805,0.636429,218.263992
0.9700080,-0.087388,-0.074220,9.747993,9.748667,0.673766,220.341751
0.9800510,-0.079009,-0.065841,9.744401,9.744944,0.604579,219.805573
0.9900050,-0.079009,-0.062249,9.753978,9.754497,0.590829,218.233826
1.0000000,-0.081403,-0.069432,9.747993,9.748580,0.629007,220.462219
1.0100170,-0.082600,-0.058658,9.737218,9.737745,0.596433,215.380264
1.0200030,-0.075417,-0.069432,9.736021,9.736561,0.603283,222.633759
1.0299940,-0.081403,-0.071826,9.738416,9.739020,0.638578,221.423660
1.0400170,-0.074220,-0.067038,9.747993,9.748506,0.587841,222.089157
1.0500870,-0.088585,-0.064643,9.744401,9.745018,0.644677,216.119339
1.0599990,-0.082600,-0.071826,9.737218,9.737833,0.644070,221.009079
1.0699990,-0.074220,-0.073023,9.752781,9.753337,0.611658,224.534195
1.0800139,-0.082600,-0.070629,9.747993,9.748598,0.638578,220.532837
1.0900110,-0.083797,-0.064643,9.749189,9.749763,0.621811,217.647614
1.1000450,-0.076614,-0.062249,9.749189,9.749689,0.580135,219.093857
1.1100080,-0.080206,-0.058658,9.745598,9.746104,0.584168,216.179626
1.1200029,-0.080206,-0.074220,9.742006,9.742619,0.642244,222.780350
1.1300110,-0.086191,-0.061052,9.740809,9.741382,0.620866,215.311218
1.1399950,-0.079009,-0.069432,9.747993,9.748560,0.618340,221.308609
1.1499829,-0.090980,-0.055067,9.750386,9.750966,0.624950,211.184967
