Keuwl Accelerometer Data File
2020-08-26 16-10-37

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.135272,-0.027533,9.433155,9.434165,0.838368,191.504822
0.0099400,-0.070629,-0.014365,9.922769,9.923030,0.415901,191.496567
0.0199590,-0.124498,-0.023942,9.667787,9.668618,0.751474,190.885529
0.0299380,-0.070629,-0.027533,9.745598,9.745893,0.445433,201.297348
0.0399020,-0.087388,-0.026336,9.672575,9.673006,0.541041,196.771225
0.0499410,-0.086191,-0.026336,9.775525,9.775941,0.528601,196.990829
0.0599190,-0.082600,-0.026336,9.775525,9.775909,0.508219,197.684387
0.0699950,-0.069432,-0.027533,9.740809,9.741096,0.439240,201.630890
0.0799360,-0.071826,-0.025139,9.761160,9.761456,0.446749,199.290054
0.0899130,-0.087388,-0.025139,9.764751,9.765175,0.533392,196.049011
0.0999700,-0.068235,-0.026336,9.755175,9.755448,0.429328,201.104843
0.1099330,-0.079009,-0.028730,9.719262,9.719625,0.495351,199.983109
0.1199650,-0.079009,-0.025139,9.771935,9.772286,0.486180,197.650131
0.1299300,-0.083797,-0.026336,9.768343,9.768738,0.515103,197.447189
0.1399140,-0.071826,-0.022745,9.728839,9.729131,0.443673,197.571259
0.1499300,-0.075417,-0.025139,9.731233,9.731558,0.468555,198.434952
0.1599170,-0.087388,-0.026336,9.771935,9.772361,0.535223,196.771225
0.1699800,-0.071826,-0.028730,9.768343,9.768649,0.453703,201.801407
0.1799250,-0.080206,-0.031125,9.722853,9.723233,0.507063,201.209229
0.1899170,-0.080206,-0.026336,9.726444,9.726810,0.497322,198.178024
0.1999650,-0.093374,-0.023942,9.777920,9.778395,0.564753,194.381393
0.2099310,-0.082600,-0.027533,9.749189,9.749578,0.512055,198.434952
0.2200110,-0.067038,-0.026336,9.734824,9.735090,0.423823,201.447739
0.2299400,-0.077812,-0.025139,9.739613,9.739956,0.480920,197.904449
0.2399370,-0.077812,-0.029928,9.763555,9.763910,0.488990,201.037506
0.2499920,-0.073023,-0.026336,9.752781,9.753090,0.456283,199.832123
0.2599310,-0.079009,-0.028730,9.733627,9.733990,0.494560,199.983109
0.2699290,-0.084994,-0.026336,9.756371,9.756777,0.522271,197.216080
0.2799690,-0.081403,-0.027533,9.756371,9.756750,0.504742,198.687347
0.2899280,-0.082600,-0.032322,9.733627,9.734032,0.522271,201.370621
0.2999260,-0.070629,-0.027533,9.750386,9.750681,0.445433,201.297348
0.3099630,-0.083797,-0.028730,9.759963,9.760365,0.520394,198.924652
0.3199290,-0.081403,-0.025139,9.756371,9.756743,0.500460,197.161911
0.3299420,-0.074220,-0.027533,9.731233,9.731555,0.466462,200.353226
0.3399470,-0.081403,-0.025139,9.753978,9.754350,0.500460,197.161911
0.3499290,-0.081403,-0.026336,9.764751,9.765126,0.502021,197.927917
0.3599990,-0.081403,-0.026336,9.746795,9.747170,0.503189,197.927917
0.3699420,-0.084994,-0.025139,9.745598,9.746001,0.521145,196.476883
0.3800070,-0.077812,-0.026336,9.757569,9.757915,0.482545,198.698990
0.3900320,-0.076614,-0.025139,9.762358,9.762691,0.473126,198.165955
0.4000390,-0.082600,-0.022745,9.742006,9.742383,0.503966,195.395554
0.4100030,-0.080206,-0.026336,9.733627,9.733994,0.496928,198.178024
0.4199940,-0.086191,-0.028730,9.765948,9.766371,0.533025,198.434952
0.4300360,-0.080206,-0.025139,9.753978,9.754340,0.493768,197.402710
0.4400420,-0.079009,-0.027533,9.742006,9.742366,0.492180,199.212677
0.4499690,-0.077812,-0.025139,9.746795,9.747138,0.480920,197.904449
0.4599940,-0.079009,-0.025139,9.750386,9.750739,0.487386,197.650131
0.4699890,-0.082600,-0.025139,9.750386,9.750769,0.507449,196.927505
0.4800820,-0.075417,-0.027533,9.744401,9.744732,0.472298,200.056091
0.4899700,-0.089783,-0.027533,9.759963,9.760415,0.551429,197.049026
0.5000020,-0.081403,-0.025139,9.761160,9.761532,0.500068,197.161911
0.5099860,-0.077812,-0.027533,9.752781,9.753130,0.484568,199.486130
0.5200810,-0.070629,-0.028730,9.752781,9.753079,0.448061,202.135498
0.5299780,-0.079009,-0.023942,9.745598,9.745948,0.485778,196.858398
0.5399480,-0.075417,-0.025139,9.765948,9.766272,0.466042,198.434952
0.5499820,-0.084994,-0.028730,9.749189,9.749602,0.527490,198.676697
0.5600170,-0.076614,-0.025139,9.752781,9.753115,0.473953,198.165955
0.5699670,-0.080206,-0.025139,9.750386,9.750749,0.494164,197.402710
0.5800070,-0.081403,-0.025139,9.751583,9.751955,0.500460,197.161911
0.5899930,-0.073023,-0.026336,9.755175,9.755484,0.455854,199.832123
0.6002430,-0.077812,-0.023942,9.747993,9.748333,0.478881,197.102722
0.6099910,-0.088585,-0.025139,9.755175,9.755609,0.540317,195.843079
0.6199719,-0.077812,-0.026336,9.764751,9.765098,0.482545,198.698990
0.6300000,-0.077812,-0.025139,9.751583,9.751925,0.480105,197.904449
0.6400850,-0.077812,-0.027533,9.745598,9.745948,0.485778,199.486130
0.6499920,-0.081403,-0.026336,9.752781,9.753156,0.502411,197.927917
0.6599680,-0.074220,-0.025139,9.742006,9.742321,0.460552,198.711731
0.6699870,-0.075417,-0.026336,9.758766,9.759093,0.468972,199.249527
0.6806190,-0.075417,-0.026336,9.759963,9.760290,0.468972,199.249527
0.6900270,-0.081403,-0.029928,9.752781,9.753166,0.509373,200.185806
0.6999660,-0.076614,-0.023942,9.746795,9.747125,0.471469,197.354019
0.7099950,-0.073023,-0.025139,9.744401,9.744707,0.454134,198.996658
0.7199930,-0.076614,-0.026336,9.739613,9.739949,0.476423,198.970413
0.7300140,-0.084994,-0.028730,9.758766,9.759179,0.527119,198.676697
0.7399580,-0.086191,-0.027533,9.749189,9.749609,0.531555,197.715790
0.7499790,-0.077812,-0.025139,9.749189,9.749532,0.480105,197.904449
0.7599850,-0.081403,-0.025139,9.755175,9.755547,0.500460,197.161911
0.7701050,-0.070629,-0.027533,9.755175,9.755469,0.445433,201.297348
0.7799930,-0.082600,-0.025139,9.756371,9.756753,0.506677,196.927505
0.7899719,-0.081403,-0.025139,9.747993,9.748364,0.500460,197.161911
0.8000010,-0.075417,-0.026336,9.745598,9.745925,0.469389,199.249527
0.8100300,-0.083797,-0.027533,9.747993,9.748392,0.518888,198.189041
0.8201020,-0.082600,-0.022745,9.746795,9.747171,0.503578,195.395554
0.8299690,-0.074220,-0.031125,9.753978,9.754310,0.472712,202.750977
0.8400010,-0.084994,-0.025139,9.747993,9.748396,0.521145,196.476883
0.8499840,-0.071826,-0.027533,9.761160,9.761463,0.451541,200.973495
0.8600350,-0.081403,-0.025139,9.749189,9.749561,0.500460,197.161911
0.8699650,-0.077812,-0.025139,9.746795,9.747138,0.480920,197.904449
0.8799940,-0.090980,-0.028730,9.740809,9.741277,0.561277,197.525574
0.8900090,-0.080206,-0.026336,9.757569,9.757935,0.495746,198.178024
0.9000340,-0.076614,-0.026336,9.743204,9.743541,0.476423,198.970413
0.9100300,-0.075417,-0.025139,9.752781,9.753105,0.467300,198.434952
0.9200069,-0.069432,-0.025139,9.757569,9.757849,0.433410,199.903748
0.9300050,-0.070629,-0.025139,9.750386,9.750674,0.440575,199.592285
0.9400800,-0.088585,-0.028730,9.746795,9.747240,0.547869,197.969131
0.9500149,-0.086191,-0.026336,9.757569,9.757986,0.529711,196.990829
0.9599660,-0.077812,-0.026336,9.750386,9.750732,0.482950,198.698990
0.9699829,-0.075417,-0.025139,9.737218,9.737542,0.467719,198.434952
0.9800060,-0.080206,-0.025139,9.747993,9.748355,0.494164,197.402710
0.9900350,-0.079009,-0.025139,9.756371,9.756723,0.486583,197.650131
1.0000579,-0.079009,-0.022745,9.753978,9.754324,0.482545,196.059982
1.0099770,-0.076614,-0.023942,9.743204,9.743534,0.471469,197.354019
1.0199989,-0.089783,-0.029928,9.745598,9.746058,0.556375,198.434952
1.0300080,-0.080206,-0.027533,9.751583,9.751952,0.498501,198.946503
1.0400829,-0.079009,-0.026336,9.749189,9.749545,0.489390,198.434952
1.0499619,-0.075417,-0.026336,9.744401,9.744728,0.469389,199.249527
1.0599999,-0.087388,-0.026336,9.751583,9.752010,0.536319,196.771225
1.0699879,-0.071826,-0.026336,9.755175,9.755474,0.448934,200.136307
1.0800420,-0.082600,-0.028730,9.734824,9.735217,0.514723,199.179001
1.0899730,-0.082600,-0.026336,9.744401,9.744787,0.510141,197.684387
