Keuwl Accelerometer Data File
2020-08-26 16-13-33

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.122104,0.004788,9.737218,9.737985,0.719005,177.754257
0.0099860,-0.124498,0.016759,9.739613,9.740422,0.738870,172.333191
0.0200160,-0.124498,0.005986,9.736021,9.736819,0.733554,177.247513
0.0300530,-0.120907,0.003591,9.742006,9.742757,0.711069,178.298645
0.0400170,-0.128090,0.009577,9.738416,9.739263,0.755629,175.724152
0.0500280,-0.130484,0.003591,9.737218,9.738092,0.767958,178.423447
0.0600170,-0.129287,0.008380,9.742006,9.742867,0.761818,176.291565
0.0700640,-0.122104,-0.002394,9.740809,9.741575,0.718461,181.123306
0.0800250,-0.125696,-0.001197,9.733627,9.734439,0.739928,180.545654
0.0900260,-0.122104,0.002394,9.747993,9.748757,0.717643,178.876694
0.1000310,-0.125696,0.007183,9.742006,9.742820,0.740457,176.729507
0.1100230,-0.124498,0.005986,9.739613,9.740410,0.733020,177.247513
0.1200580,-0.124498,0.003591,9.737218,9.738014,0.732753,178.347702
0.1300490,-0.128090,0.005986,9.744401,9.745245,0.754073,177.324570
0.1400110,-0.124498,0.016759,9.742006,9.742816,0.738605,172.333191
0.1500360,-0.126893,0.007183,9.738416,9.739244,0.747558,176.760300
0.1600160,-0.123301,-0.001197,9.745598,9.746378,0.724968,180.556259
0.1700130,-0.123301,-0.001197,9.730036,9.730817,0.726046,180.556259
0.1800330,-0.119710,0.007183,9.753978,9.754715,0.704434,176.566376
0.1900330,-0.130484,0.003591,9.739613,9.740487,0.767703,178.423447
0.2000430,-0.128090,0.003591,9.747993,9.748835,0.753035,178.393997
0.2100810,-0.123301,0.014365,9.746795,9.747585,0.729810,173.354721
0.2200300,-0.123301,0.014365,9.746795,9.747585,0.729810,173.354721
0.2300710,-0.122104,0.001197,9.733627,9.734393,0.718733,179.438293
0.2400140,-0.123301,0.007183,9.737218,9.738001,0.726585,176.666153
0.2500730,-0.114922,0.007183,9.744401,9.745082,0.677242,176.423660
0.2600210,-0.113725,0.007183,9.743204,9.743871,0.670272,176.386124
0.2700210,-0.120907,0.004788,9.743204,9.743956,0.711619,177.732040
0.2800240,-0.123301,0.011971,9.742006,9.742794,0.728468,174.454681
0.2900190,-0.119710,0.003591,9.744401,9.745137,0.704434,178.281647
0.3002830,-0.124498,0.003591,9.738416,9.739212,0.732753,178.347702
