Keuwl Accelerometer Data File
2020-08-26 16-18-46

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.002394,0.049081,9.768343,9.768466,0.287355,87.207298
0.0099390,0.007183,0.058658,9.744401,9.744580,0.347742,83.018944
0.0199330,0.007183,0.049081,9.713276,9.713403,0.292752,81.674347
0.0299550,0.005986,0.050278,9.716867,9.716999,0.298051,83.211029
0.0399230,0.011971,0.057461,9.761160,9.761336,0.344350,78.231712
0.0499650,0.005986,0.055067,9.758766,9.758924,0.325659,83.796555
0.0599390,0.011971,0.055067,9.719262,9.719425,0.331613,77.735229
0.0699360,0.008380,0.057461,9.709685,9.709859,0.342641,81.702858
0.0799440,0.001197,0.052672,9.738416,9.738558,0.309643,88.698044
0.0899400,0.004788,0.056264,9.776723,9.776886,0.331022,85.135483
0.1000040,0.008380,0.061052,9.762358,9.762552,0.361536,82.184708
0.1099540,0.009577,0.056264,9.709685,9.709853,0.336882,80.340103
0.1199350,0.010774,0.056264,9.739613,9.739781,0.337462,79.159698
0.1299460,0.009577,0.059855,9.758766,9.758955,0.356632,80.909721
0.1399400,0.015562,0.050278,9.759963,9.760105,0.309010,72.801460
0.1500160,0.019154,0.043096,9.718064,9.718179,0.278362,66.037514
0.1599400,0.017957,0.046687,9.688137,9.688266,0.295414,68.962486
0.1699330,0.013168,0.051475,9.745598,9.745743,0.312787,75.650665
0.1799510,0.010774,0.056264,9.769540,9.769708,0.335718,79.159698
0.1899360,0.003591,0.059855,9.739613,9.739797,0.352215,86.566368
0.2000100,0.015562,0.052672,9.724051,9.724206,0.323851,73.539986
0.2099550,0.009577,0.053870,9.718064,9.718218,0.322034,79.919403
0.2199610,0.017957,0.050278,9.763555,9.763700,0.313412,70.346176
0.2299900,0.013168,0.047884,9.753978,9.754105,0.292083,74.623749
0.2399510,0.007183,0.063446,9.727641,9.727850,0.375344,83.541183
0.2499570,0.022745,0.062249,9.703699,9.703925,0.391171,69.928474
0.2599740,0.010774,0.053870,9.742006,9.742161,0.322641,78.690071
0.2699430,0.025139,0.050278,9.757569,9.757731,0.330431,63.434948
0.2800400,0.015562,0.058658,9.736021,9.736211,0.357727,75.141388
