Keuwl Accelerometer Data File
2020-08-26 16-19-58

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.338780,-0.160412,9.733627,9.740842,2.205313,205.337479
0.0099990,-0.333991,-0.150835,9.728839,9.735739,2.157219,204.304550
0.0199960,-0.342371,-0.154426,9.733627,9.740871,2.209834,204.277710
0.0300340,-0.338780,-0.159214,9.736021,9.743215,2.201849,205.171860
0.0400150,-0.339977,-0.158017,9.738416,9.745629,2.204602,204.928467
0.0500070,-0.331597,-0.144849,9.731233,9.737958,2.129552,203.596817
0.0599920,-0.329203,-0.144849,9.730036,9.736681,2.116923,203.749496
0.0700350,-0.329203,-0.147243,9.731233,9.737913,2.122463,204.097672
0.0800290,-0.339977,-0.150835,9.721656,9.728768,2.190978,203.925049
0.0900120,-0.336385,-0.152032,9.719262,9.726270,2.175109,204.320938
0.1002250,-0.351948,-0.162806,9.714474,9.722211,2.286018,204.824554
0.1100020,-0.344765,-0.159214,9.722853,9.730266,2.236684,204.787750
0.1200450,-0.350751,-0.159214,9.725247,9.732873,2.268226,204.414474
0.1300490,-0.339977,-0.149638,9.733627,9.740712,2.185432,203.756256
0.1400140,-0.338780,-0.160412,9.736021,9.743234,2.204780,205.337479
0.1500280,-0.330400,-0.147243,9.731233,9.737953,2.128816,204.020248
0.1599720,-0.342371,-0.159214,9.721656,9.728986,2.224224,204.940079
0.1699990,-0.339977,-0.155623,9.734824,9.742002,2.199447,204.595764
0.1800140,-0.338780,-0.142455,9.726444,9.733385,2.163923,202.806488
0.1900480,-0.341174,-0.158017,9.737218,9.744474,2.211339,204.851593
0.2000850,-0.350751,-0.158017,9.718064,9.725676,2.266931,204.252136
0.2101820,-0.332794,-0.152032,9.726444,9.733323,2.154223,204.552551
0.2200000,-0.337582,-0.144849,9.726444,9.733378,2.162837,203.223099
0.2300070,-0.335188,-0.153229,9.728839,9.735817,2.169433,204.567169
0.2400100,-0.343568,-0.162806,9.724051,9.731481,2.239133,205.354752
0.2501020,-0.348356,-0.160412,9.721656,9.729218,2.259061,204.725174
0.2600310,-0.349553,-0.149638,9.731233,9.738659,2.237734,203.174911
0.2699930,-0.341174,-0.144849,9.730036,9.737093,2.181578,203.004196
0.2800100,-0.339977,-0.149638,9.715671,9.722769,2.189458,203.756256
0.2899920,-0.341174,-0.156820,9.736021,9.743259,2.208683,204.685837
0.3002690,-0.350751,-0.161609,9.730036,9.737698,2.273053,204.737930
0.3100120,-0.338780,-0.155623,9.733627,9.740765,2.193477,204.672348
0.3200020,-0.337582,-0.166397,9.736021,9.743293,2.213728,206.239044
0.3300150,-0.336385,-0.148441,9.730036,9.736980,2.164103,203.810959
0.3400020,-0.336385,-0.147243,9.721656,9.728588,2.163108,203.640076
0.3500140,-0.332794,-0.154426,9.727641,9.734557,2.159939,204.892654
0.3600000,-0.344765,-0.156820,9.727641,9.735012,2.229761,204.458939
0.3700230,-0.344765,-0.160412,9.732430,9.739855,2.237384,204.951508
0.3800170,-0.332794,-0.148441,9.733627,9.740446,2.144023,204.038940
0.3900340,-0.335188,-0.149638,9.728839,9.735762,2.160845,204.057343
0.4000390,-0.341174,-0.149638,9.733627,9.740754,2.191871,203.682083
0.4099760,-0.336385,-0.149638,9.730036,9.736999,2.166905,203.981400
0.4200180,-0.343568,-0.153229,9.727641,9.734912,2.214612,204.036545
0.4300180,-0.336385,-0.147243,9.732430,9.739354,2.160754,203.640076
0.4400410,-0.337582,-0.149638,9.731233,9.738236,2.173128,203.905914
0.4500540,-0.337582,-0.156820,9.733627,9.740742,2.189995,204.916702
0.4601390,-0.343568,-0.156820,9.724051,9.731381,2.224136,204.534134
0.4700090,-0.343568,-0.154426,9.728839,9.736128,2.217173,204.202835
0.4800070,-0.341174,-0.165200,9.728839,9.736221,2.231340,205.836761
0.4900120,-0.338780,-0.153229,9.728839,9.735942,2.188743,204.337082
0.5000250,-0.347159,-0.158017,9.726444,9.733920,2.245679,204.473724
0.5100210,-0.330400,-0.141258,9.731233,9.737864,2.114703,203.148468
0.5199900,-0.336385,-0.149638,9.730036,9.736999,2.166905,203.981400
0.5301420,-0.331597,-0.146046,9.728839,9.735584,2.132949,203.770294
0.5400069,-0.339977,-0.153229,9.736021,9.743160,2.193477,204.261292
0.5499710,-0.349553,-0.155623,9.722853,9.730379,2.253683,203.998886
0.5600179,-0.342371,-0.156820,9.732430,9.739712,2.215760,204.609772
0.5699940,-0.335188,-0.156820,9.736021,9.743052,2.176728,205.072876
0.5800240,-0.335188,-0.152032,9.728839,9.735799,2.166634,204.397690
