Keuwl Accelerometer Data File
2020-08-26 16-21-21

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.453701,-0.039504,9.732430,9.743079,2.679127,355.023743
0.0100090,0.434548,-0.044293,9.734824,9.744618,2.569103,354.180023
0.0199870,0.438139,-0.046687,9.739613,9.749575,2.590348,353.917664
0.0299860,0.438139,-0.045490,9.726444,9.736414,2.593067,354.072510
0.0400040,0.439336,-0.051475,9.730036,9.740086,2.603012,353.317352
0.0500100,0.442927,-0.053870,9.721656,9.731890,2.627858,353.065643
0.0600360,0.440533,-0.053870,9.725247,9.735369,2.612844,353.028320
0.0700140,0.441730,-0.043096,9.736021,9.746132,2.610070,354.427795
0.0800010,0.433351,-0.046687,9.747993,9.757732,2.560250,353.850952
0.0900320,0.447716,-0.040701,9.727641,9.738024,2.646045,354.805573
0.0999930,0.442927,-0.040701,9.730036,9.740197,2.617410,354.749725
0.1100360,0.447716,-0.058658,9.719262,9.729746,2.659989,352.535858
0.1199930,0.438139,-0.049081,9.733627,9.743607,2.593369,353.608276
0.1300070,0.447716,-0.053870,9.727641,9.738088,2.654169,353.139099
0.1400490,0.448913,-0.040701,9.733627,9.744059,2.651366,354.819336
0.1500100,0.448913,-0.047884,9.724051,9.734525,2.658149,353.911469
0.1600560,0.440533,-0.039504,9.734824,9.744867,2.601507,354.875763
0.1700170,0.439336,-0.044293,9.727641,9.737658,2.599023,354.243042
0.1801050,0.450110,-0.057461,9.722853,9.733436,2.672030,352.725006
0.1900120,0.440533,-0.043096,9.739613,9.749665,2.602109,354.412750
0.1999890,0.442927,-0.045490,9.736021,9.746198,2.618531,354.136139
0.2100070,0.438139,-0.044293,9.733627,9.743584,2.590423,354.227417
0.2199880,0.436942,-0.047884,9.733627,9.743547,2.585659,353.745972
0.2300270,0.446519,-0.046687,9.726444,9.736800,2.642788,354.030975
0.2400120,0.447716,-0.050278,9.730036,9.740461,2.651144,353.592560
0.2500500,0.445322,-0.047884,9.732430,9.742730,2.634925,353.862732
0.2600050,0.444124,-0.041899,9.733627,9.743844,2.623982,354.610687
0.2700670,0.441730,-0.045490,9.726444,9.736576,2.614042,354.120361
0.2799990,0.444124,-0.046687,9.742006,9.752236,2.624579,353.999023
0.2900300,0.448913,-0.057461,9.728839,9.739360,2.663445,352.705811
0.3000150,0.433351,-0.050278,9.730036,9.739811,2.567197,353.382019
0.3100140,0.446519,-0.049081,9.733627,9.743987,2.642269,353.727264
0.3200060,0.439336,-0.055067,9.731233,9.741301,2.605191,352.855774
0.3299970,0.444124,-0.050278,9.724051,9.734318,2.631803,353.541199
0.3399970,0.442927,-0.038307,9.739613,9.749754,2.613518,355.056976
0.3499970,0.444124,-0.039504,9.736021,9.746225,2.622117,354.916992
0.3600300,0.445322,-0.050278,9.732430,9.742742,2.636410,353.558411
0.3699890,0.450110,-0.038307,9.745598,9.756062,2.653874,355.135498
0.3801100,0.447716,-0.051475,9.726444,9.736879,2.652842,353.441315
0.3900330,0.441730,-0.046687,9.732430,9.742560,2.613143,353.966736
0.3999810,0.442927,-0.053870,9.727641,9.737868,2.626145,353.065643
0.4100050,0.439336,-0.052672,9.732430,9.742483,2.603162,353.163391
0.4199910,0.450110,-0.044293,9.728839,9.739347,2.661755,354.379944
0.4300380,0.442927,-0.050278,9.726444,9.736654,2.624131,353.523865
0.4400060,0.441730,-0.045490,9.732430,9.742556,2.612544,354.120361
0.4500950,0.442927,-0.044293,9.736021,9.746192,2.617784,354.289398
0.4600190,0.445322,-0.043096,9.736021,9.746295,2.630985,354.472473
0.4700230,0.439336,-0.043096,9.728839,9.738849,2.597969,354.397614
0.4799970,0.451307,-0.058658,9.734824,9.745456,2.676568,352.594574
0.4900240,0.456095,-0.053870,9.739613,9.750435,2.699796,353.263977
0.5000230,0.435745,-0.055067,9.728839,9.738749,2.584977,352.797516
0.5100060,0.442927,-0.038307,9.736021,9.746166,2.614491,355.056976
0.5200320,0.433351,-0.045490,9.733627,9.743376,2.563230,354.007477
0.5300180,0.436942,-0.050278,9.733627,9.743559,2.587172,353.435944
0.5401080,0.444124,-0.044293,9.731233,9.741463,2.626070,354.304688
0.5500170,0.442927,-0.040701,9.725247,9.735414,2.618681,354.749725
0.5599940,0.433351,-0.044293,9.719262,9.729019,2.566282,354.164063
0.5700099,0.441730,-0.040701,9.745598,9.755689,2.606243,354.735565
0.5799820,0.439336,-0.044293,9.733627,9.743638,2.597441,354.243042
0.5900500,0.444124,-0.053870,9.727641,9.737924,2.633216,353.084167
0.6000110,0.452504,-0.041899,9.739613,9.750209,2.671444,354.709930
0.6100770,0.445322,-0.057461,9.728839,9.739195,2.642492,352.647614
0.6200210,0.438139,-0.044293,9.734824,9.744780,2.590121,354.227417
0.6299800,0.444124,-0.047884,9.731233,9.741480,2.628231,353.846313
0.6400170,0.448913,-0.053870,9.732430,9.742926,2.659768,353.157227
0.6499889,0.446519,-0.041899,9.730036,9.740366,2.639008,354.639404
0.6600150,0.444124,-0.051475,9.722853,9.733128,2.632919,353.388733
0.6700120,0.451307,-0.037110,9.737218,9.747742,2.662637,355.299255
0.6800170,0.444124,-0.038307,9.733627,9.743830,2.622191,355.070251
0.6900179,0.448913,-0.052672,9.728839,9.739333,2.660063,353.307892
0.7000930,0.440533,-0.050278,9.728839,9.738937,2.609471,353.488983
0.7100149,0.442927,-0.041899,9.732430,9.742593,2.617335,354.596222
0.7199910,0.445322,-0.045490,9.733627,9.743915,2.633067,354.167450
0.7300110,0.447716,-0.040701,9.728839,9.739221,2.645749,354.805573
0.7399960,0.440533,-0.052672,9.730036,9.740146,2.610745,353.181793
0.7500290,0.433351,-0.046687,9.739613,9.749360,2.562313,353.850952
0.7599820,0.434548,-0.043096,9.731233,9.741026,2.569407,354.336304
0.7700620,0.445322,-0.058658,9.728839,9.739202,2.643454,352.496185
0.7800010,0.435745,-0.040701,9.740809,9.750636,2.572529,354.663666
0.7899749,0.436942,-0.043096,9.726444,9.736349,2.584674,354.367126
0.8000110,0.444124,-0.047884,9.728839,9.739089,2.628975,353.846313
0.8099960,0.446519,-0.047884,9.731233,9.741590,2.642269,353.879059
0.8200240,0.451307,-0.043096,9.733627,9.744180,2.666751,354.545319
0.8300149,0.442927,-0.041899,9.736021,9.746181,2.616437,354.596222
0.8400190,0.433351,-0.047884,9.737218,9.746974,2.563764,353.694550
0.8500019,0.439336,-0.047884,9.728839,9.738872,2.600905,353.779785
0.8599950,0.434548,-0.044293,9.733627,9.743423,2.569484,354.180023
0.8700050,0.452504,-0.050278,9.730036,9.740683,2.679127,353.659821
0.8799810,0.444124,-0.047884,9.721656,9.731913,2.630762,353.846313
0.8900480,0.442927,-0.039504,9.738416,9.748563,2.614417,354.903320
0.9000069,0.448913,-0.047884,9.724051,9.734525,2.658149,353.911469
0.9100300,0.453701,-0.040701,9.740809,9.751455,2.677519,354.873718
0.9200040,0.439336,-0.040701,9.738416,9.748405,2.594123,354.707062
0.9300060,0.432153,-0.046687,9.743204,9.752894,2.554356,353.834076
0.9400160,0.438139,-0.044293,9.736021,9.745975,2.589819,354.227417
0.9500160,0.441730,-0.047884,9.733627,9.743763,2.613593,353.813232
0.9600000,0.451307,-0.037110,9.731233,9.741763,2.664327,355.299255
0.9700190,0.446519,-0.045490,9.728839,9.739186,2.641380,354.182953
0.9800560,0.439336,-0.043096,9.742006,9.752003,2.594501,354.397614
0.9900230,0.442927,-0.032322,9.728839,9.738970,2.613593,355.826355
1.0000170,0.447716,-0.037110,9.742006,9.752359,2.640342,355.261719
1.0100160,0.441730,-0.041899,9.743204,9.753303,2.607520,354.581665
1.0200100,0.444124,-0.037110,9.738416,9.748609,2.620325,355.223572
1.0300280,0.452504,-0.044293,9.725247,9.735869,2.676641,354.409485
1.0400220,0.436942,-0.045490,9.731233,9.741143,2.584750,354.056366
1.0501289,0.438139,-0.044293,9.740809,9.750758,2.588458,354.227417
1.0600190,0.434548,-0.049081,9.736021,9.745837,2.571768,353.555878
1.0700179,0.430956,-0.047884,9.736021,9.745672,2.550138,353.659821
1.0800029,0.432153,-0.045490,9.733627,9.743322,2.556195,353.990997
1.0900099,0.447716,-0.049081,9.731233,9.741651,2.650036,353.743896
1.0999889,0.451307,-0.055067,9.722853,9.733478,2.677372,353.043396
1.1100049,0.447716,-0.045490,9.739613,9.750004,2.645527,354.198425
1.1200540,0.448913,-0.037110,9.740809,9.751219,2.647672,355.274292
1.1299980,0.434548,-0.045490,9.733627,9.743428,2.570093,354.023865
1.1400070,0.446519,-0.051475,9.733627,9.743999,2.643898,353.423889
1.1500249,0.438139,-0.038307,9.739613,9.749537,2.585507,355.003235
1.1599940,0.444124,-0.046687,9.720459,9.730711,2.630315,353.999023
1.1700439,0.438139,-0.045490,9.724051,9.734023,2.593746,354.072510
1.1799850,0.454898,-0.033519,9.746795,9.757462,2.679346,355.785828
1.1899790,0.435745,-0.043096,9.736021,9.745863,2.575191,354.351746
1.2000180,0.435745,-0.049081,9.737218,9.747087,2.578457,353.573456
1.2099900,0.446519,-0.049081,9.725247,9.735617,2.644639,353.727264
1.2200199,0.433351,-0.051475,9.737218,9.746992,2.566130,353.225891
1.2300119,0.445322,-0.057461,9.722853,9.733215,2.644121,352.647614
1.2400349,0.447716,-0.049081,9.725247,9.735671,2.651587,353.743896
1.2500110,0.444124,-0.047884,9.736021,9.746264,2.626964,353.846313
1.2599959,0.446519,-0.052672,9.724051,9.734440,2.647376,353.272339
1.2700081,0.441730,-0.053870,9.733627,9.743794,2.617634,353.047028
1.2799860,0.441730,-0.043096,9.728839,9.738957,2.612020,354.427795
1.2900729,0.441730,-0.056264,9.725247,9.735436,2.621594,352.741241
1.3000131,0.441730,-0.046687,9.734824,9.744953,2.612544,353.966736
1.3099850,0.442927,-0.047884,9.725247,9.735446,2.622788,353.829834
1.3200270,0.441730,-0.049081,9.733627,9.743769,2.614342,353.659821
1.3299971,0.451307,-0.043096,9.731233,9.741788,2.667411,354.545319
1.3400398,0.444124,-0.049081,9.734824,9.745073,2.628007,353.693726
1.3500049,0.433351,-0.041899,9.737218,9.746946,2.560097,354.477509
1.3599869,0.442927,-0.039504,9.727641,9.737800,2.617335,354.903320
1.3700120,0.438139,-0.049081,9.731233,9.741215,2.594048,353.608276
1.3799720,0.439336,-0.035913,9.743204,9.753170,2.590348,355.326813
1.3900059,0.434548,-0.041899,9.732430,9.742216,2.568417,354.492645
1.3999960,0.434548,-0.050278,9.737218,9.747040,2.572377,353.400085
1.4100729,0.441730,-0.040701,9.738416,9.748514,2.608120,354.735565
1.4200170,0.444124,-0.051475,9.738416,9.748673,2.628603,353.388733
1.4299879,0.446519,-0.056264,9.728839,9.739243,2.648559,352.818268
1.4399999,0.438139,-0.046687,9.727641,9.737615,2.593444,353.917664
1.4500180,0.439336,-0.044293,9.740809,9.750813,2.595481,354.243042
1.4601090,0.435745,-0.050278,9.730036,9.739918,2.581188,353.418060
1.4700110,0.447716,-0.056264,9.726444,9.736905,2.656160,352.837280
1.4799709,0.442927,-0.040701,9.734824,9.744980,2.615988,354.749725
1.4900239,0.453701,-0.043096,9.737218,9.747878,2.679784,354.573944
1.5000199,0.439336,-0.040701,9.730036,9.740034,2.596311,354.707062
1.5103929,0.441730,-0.044293,9.738416,9.748529,2.610146,354.274048
1.5200189,0.441730,-0.039504,9.737218,9.747313,2.607820,354.889587
1.5300239,0.444124,-0.047884,9.724051,9.734305,2.630167,353.846313
1.5400310,0.445322,-0.055067,9.724051,9.734398,2.642047,352.950836
1.5502620,0.446519,-0.045490,9.736021,9.746361,2.639453,354.182953
1.5599979,0.436942,-0.053870,9.740809,9.750753,2.587853,352.971619
1.5700589,0.436942,-0.044293,9.732430,9.742333,2.583690,354.211700
1.5799921,0.441730,-0.043096,9.733627,9.743741,2.610745,354.427795
1.5901070,0.440533,-0.040701,9.728839,9.738893,2.603613,354.721344
1.5999970,0.441730,-0.047884,9.731233,9.741371,2.614267,353.813232
1.6099989,0.444124,-0.051475,9.727641,9.737910,2.631580,353.388733
1.6200169,0.438139,-0.051475,9.725247,9.735248,2.597215,353.299255
1.6300080,0.441730,-0.047884,9.726444,9.736588,2.615539,353.813232
1.6400079,0.446519,-0.046687,9.736021,9.746367,2.640120,354.030975
1.6501110,0.445322,-0.047884,9.731233,9.741535,2.635297,353.862732
1.6600299,0.441730,-0.039504,9.732430,9.742529,2.609096,354.889587
1.6700789,0.454898,-0.032322,9.743204,9.753871,2.679857,355.935822
1.6800560,0.440533,-0.053870,9.725247,9.735369,2.612844,353.028320
1.6901280,0.445322,-0.037110,9.730036,9.740293,2.629646,355.236359
