Keuwl Accelerometer Data File
2020-08-26 16-30-27

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.001197,-0.094571,9.727641,9.728101,0.557078,269.274780
0.0100040,-0.013168,-0.089783,9.703699,9.704123,0.535954,261.656097
0.0200060,-0.021548,-0.090980,9.783905,9.784352,0.547869,256.675476
0.0300080,-0.022745,-0.100556,9.770737,9.771280,0.604255,257.254700
0.0400130,-0.026336,-0.104148,9.722853,9.723447,0.633347,255.808899
0.0500230,-0.034716,-0.108936,9.728839,9.729510,0.673185,252.323898
0.0600110,-0.031125,-0.095768,9.783905,9.784423,0.589503,251.995834
0.0700370,-0.026336,-0.095768,9.753978,9.754483,0.583162,254.623749
0.0800440,-0.023942,-0.092177,9.721656,9.722122,0.561277,255.439728
0.0900360,-0.019154,-0.084994,9.752781,9.753170,0.511673,257.300415
0.1000810,-0.001197,-0.070629,9.780313,9.780569,0.414015,269.028992
0.1100080,-0.003591,-0.094571,9.724051,9.724511,0.557780,267.825256
0.1200300,-0.010774,-0.102951,9.716867,9.717419,0.610377,264.025665
0.1300280,-0.020351,-0.099359,9.769540,9.770066,0.594790,258.424805
0.1400240,-0.032322,-0.108936,9.776723,9.777383,0.665585,253.474197
0.1500760,-0.031125,-0.102951,9.732430,9.733024,0.633038,253.178589
0.1600260,-0.029928,-0.104148,9.746795,9.747397,0.637044,253.967667
0.1700970,-0.029928,-0.094571,9.774328,9.774832,0.581482,252.439728
0.1800310,-0.027533,-0.088585,9.757569,9.758010,0.544645,252.734192
0.1900140,-0.016759,-0.076614,9.718064,9.718381,0.462671,257.660919
0.2001300,-0.015562,-0.088585,9.750386,9.750801,0.528601,260.036194
0.2099890,-0.005986,-0.092177,9.769540,9.769977,0.541764,266.284698
0.2200140,-0.003591,-0.096965,9.733627,9.734111,0.570955,267.878906
0.2300000,-0.008380,-0.106542,9.725247,9.725835,0.629629,265.502838
0.2401580,-0.023942,-0.112527,9.762358,9.763036,0.675217,257.988525
0.2500390,-0.026336,-0.099359,9.777920,9.778460,0.601984,255.154541
0.2600310,-0.031125,-0.101754,9.733627,9.734209,0.626513,252.992050
0.2700200,-0.034716,-0.096965,9.738416,9.738960,0.605872,250.301376
0.2800180,-0.033519,-0.087388,9.767146,9.767594,0.548940,249.015106
0.2900410,-0.025139,-0.082600,9.768343,9.768724,0.506290,253.072495
0.3000430,-0.010774,-0.092177,9.727641,9.728084,0.546439,263.333344
0.3100690,-0.010774,-0.090980,9.742006,9.742437,0.538867,263.246429
0.3200080,0.001197,-0.105345,9.767146,9.767715,0.618023,270.651062
0.3299910,0.001197,-0.105345,9.756371,9.756940,0.618340,270.651062
0.3400510,-0.022745,-0.106542,9.737218,9.737827,0.641024,257.949219
0.3501360,-0.027533,-0.096965,9.765948,9.766469,0.591491,254.148071
0.3600930,-0.031125,-0.093374,9.769540,9.770036,0.577430,251.565048
0.3700230,-0.031125,-0.089783,9.737218,9.737682,0.559531,250.880280
0.3799950,-0.028730,-0.090980,9.739613,9.740080,0.561277,252.474426
0.3900220,-0.028730,-0.088585,9.765948,9.766393,0.546439,252.030869
0.4000680,-0.017957,-0.099359,9.761160,9.761682,0.592483,259.755920
0.4100320,-0.017957,-0.093374,9.730036,9.730500,0.559881,259.114471
0.4200200,-0.009577,-0.092177,9.746795,9.747235,0.544645,264.068481
0.4301090,-0.009577,-0.098162,9.763555,9.764052,0.578446,264.427795
0.4400340,-0.014365,-0.088585,9.736021,9.736435,0.528231,260.788971
0.4501110,-0.022745,-0.092177,9.742006,9.742469,0.558481,256.138977
0.4600350,-0.041899,-0.087388,9.756371,9.756853,0.569239,244.384506
0.4700090,-0.040701,-0.092177,9.750386,9.750907,0.592153,246.175735
0.4800490,-0.035913,-0.084994,9.740809,9.741246,0.542486,247.094238
0.4900300,-0.029928,-0.093374,9.738416,9.738909,0.576412,252.228683
0.5001110,-0.022745,-0.090980,9.767146,9.767596,0.550008,255.963760
0.5100210,-0.015562,-0.094571,9.749189,9.749660,0.563365,260.655334
0.5200060,-0.011971,-0.101754,9.732430,9.732969,0.603283,263.290161
0.5300030,-0.002394,-0.088585,9.733627,9.734031,0.521521,268.451843
0.5400120,-0.016759,-0.084994,9.769540,9.769924,0.508219,258.845337
0.5501150,-0.021548,-0.089783,9.758766,9.759203,0.542125,256.504272
0.5600100,-0.027533,-0.088585,9.749189,9.749631,0.545364,252.734192
0.5699940,-0.032322,-0.094571,9.752781,9.753293,0.587175,251.130997
0.5800250,-0.029928,-0.092177,9.769540,9.770020,0.568207,252.012665
0.5900210,-0.028730,-0.102951,9.745598,9.746183,0.628073,254.407196
0.6000250,-0.022745,-0.104148,9.756371,9.756954,0.626201,257.680542
0.6100150,-0.017957,-0.107739,9.757569,9.758181,0.641330,260.537689
0.6200190,-0.008380,-0.116119,9.764751,9.765446,0.683283,265.872406
0.6300090,-0.008380,-0.095768,9.737218,9.737693,0.565791,264.999359
0.6400170,-0.017957,-0.094571,9.749189,9.749664,0.565445,259.249023
0.6500130,-0.025139,-0.089783,9.761160,9.761605,0.547155,254.357758
0.6600209,-0.026336,-0.076614,9.763555,9.763890,0.475190,251.029587
0.6701080,-0.025139,-0.099359,9.734824,9.735364,0.603283,255.801453
0.6800120,-0.037110,-0.100556,9.746795,9.747384,0.629939,249.743530
0.6899950,-0.032322,-0.099359,9.755175,9.755734,0.613893,251.980225
0.7000369,-0.027533,-0.094571,9.765948,9.766445,0.578107,253.767654
0.7100040,-0.025139,-0.094571,9.752781,9.753272,0.575053,255.113739
0.7200330,-0.023942,-0.087388,9.763555,9.763975,0.531923,254.678497
0.7300150,-0.007183,-0.100556,9.759963,9.760484,0.591822,265.914398
0.7400210,-0.007183,-0.083797,9.749189,9.749552,0.494164,265.100922
0.7500120,-0.022745,-0.079009,9.747993,9.748340,0.483355,253.940018
0.7599909,-0.023942,-0.083797,9.770737,9.771126,0.511290,254.054611
0.7700090,-0.025139,-0.099359,9.765948,9.766486,0.601334,255.801453
0.7800180,-0.027533,-0.104148,9.752781,9.753376,0.633038,255.191620
0.7901189,-0.029928,-0.096965,9.747993,9.748521,0.596433,252.847580
0.8000270,-0.026336,-0.100556,9.762358,9.762911,0.610056,255.323608
0.8099950,-0.026336,-0.092177,9.761160,9.761631,0.563018,254.054611
0.8200309,-0.020351,-0.095768,9.744401,9.744893,0.575733,258.003113
0.8300160,-0.020351,-0.087388,9.750386,9.750799,0.527490,256.890778
0.8400440,-0.021548,-0.089783,9.756371,9.756808,0.542125,256.504272
0.8500090,-0.017957,-0.090980,9.745598,9.746039,0.545364,258.835114
0.8599840,-0.025139,-0.089783,9.750386,9.750832,0.547512,254.357758
0.8700660,-0.023942,-0.092177,9.753978,9.754443,0.559531,255.439728
0.8800039,-0.027533,-0.102951,9.753978,9.754560,0.626201,255.027130
0.8900400,-0.025139,-0.099359,9.759963,9.760502,0.601984,255.801453
0.9000090,-0.029928,-0.093374,9.743204,9.743697,0.576412,252.228683
0.9099870,-0.027533,-0.099359,9.759963,9.760508,0.605226,254.511505
0.9200090,-0.027533,-0.094571,9.752781,9.753279,0.578784,253.767654
0.9300010,-0.022745,-0.092177,9.751583,9.752046,0.558131,256.138977
0.9400020,-0.016759,-0.093374,9.740809,9.741272,0.558481,259.824493
0.9500060,-0.015562,-0.095768,9.764751,9.765234,0.569583,260.770111
0.9599910,-0.013168,-0.089783,9.738416,9.738838,0.533759,261.656097
0.9700050,-0.025139,-0.093374,9.753978,9.754457,0.568207,254.931519
0.9799950,-0.022745,-0.099359,9.747993,9.748526,0.599052,257.106262
0.9900290,-0.022745,-0.095768,9.771935,9.772430,0.577091,256.639771
1.0000069,-0.032322,-0.087388,9.739613,9.740058,0.547869,249.702423
1.0100340,-0.026336,-0.099359,9.763555,9.764095,0.602959,255.154541
