Keuwl Accelerometer Data File
2020-08-26 16-31-25

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.026336,-0.100556,9.803059,9.803610,0.607485,255.323608
0.0099870,-0.026336,-0.096965,9.815030,9.815544,0.586508,254.804749
0.0200040,-0.025139,-0.083797,9.665392,9.665788,0.518510,253.300751
0.0300030,-0.023942,-0.096965,9.683349,9.683864,0.590829,256.130310
0.0399870,-0.025139,-0.090980,9.830592,9.831045,0.550008,254.553680
0.0500010,-0.026336,-0.083797,9.780313,9.780708,0.514723,252.552811
0.0599980,-0.023942,-0.096965,9.642648,9.643165,0.593143,256.130310
0.0699950,-0.015562,-0.099359,9.736021,9.736541,0.592153,261.098297
0.0800470,-0.022745,-0.100556,9.835381,9.835921,0.600683,257.254700
0.0900460,-0.026336,-0.099359,9.731233,9.731775,0.604903,255.154541
0.1000310,-0.021548,-0.095768,9.661801,9.662300,0.582155,257.319611
0.1100000,-0.025139,-0.084994,9.777920,9.778321,0.519265,253.523117
0.1200340,-0.023942,-0.104148,9.807847,9.808429,0.624010,257.053497
0.1300140,-0.025139,-0.100556,9.692925,9.693480,0.612617,255.963760
0.1400050,-0.025139,-0.096965,9.689334,9.689852,0.592483,255.465546
0.1500170,-0.028730,-0.090980,9.812635,9.813099,0.556727,252.474426
0.1600130,-0.023942,-0.087388,9.777920,9.778339,0.530818,254.678497
0.1700160,-0.023942,-0.096965,9.668983,9.669499,0.591822,256.130310
0.1800260,-0.025139,-0.093374,9.731233,9.731713,0.569583,254.931519
0.1900320,-0.023942,-0.096965,9.816227,9.816735,0.583162,256.130310
0.2000360,-0.026336,-0.086191,9.746795,9.747211,0.529711,253.009171
0.2101460,-0.023942,-0.094571,9.673772,9.674264,0.577769,255.793228
0.2200070,-0.021548,-0.099359,9.763555,9.764084,0.596433,257.763885
0.2300150,-0.025139,-0.098162,9.799467,9.799991,0.592153,255.635422
0.2400280,-0.022745,-0.096965,9.713276,9.713787,0.587841,256.798920
0.2500270,-0.026336,-0.094571,9.703699,9.704195,0.579122,254.438492
0.2600460,-0.026336,-0.102951,9.786300,9.786877,0.622125,255.650665
0.2700120,-0.026336,-0.089783,9.779117,9.779564,0.547869,253.651825
0.2800520,-0.025139,-0.088585,9.694122,9.694559,0.543926,254.156921
0.2900140,-0.025139,-0.088585,9.720459,9.720895,0.542486,254.156921
0.3002140,-0.023942,-0.095768,9.798270,9.798767,0.577091,255.963760
0.3100150,-0.017957,-0.105345,9.750386,9.750972,0.627761,260.326630
