Samples - Plot 0,Voltage (V) - Plot 0
0,0.0783645
1,0.0783817
2,0.0783658
3,0.0783597
4,0.078378
5,0.0783768
6,0.0783855
7,0.0783672
8,0.0783567
9,0.0783611
10,0.0783879
11,0.0783769
12,0.0783729
13,0.0783734
14,0.0783899
15,0.0783742
16,0.078378
17,0.0783672
18,0.0783712
19,0.0783958
20,0.0783751
21,0.078379
22,0.0783746
23,0.0783669
24,0.0783916
25,0.0783653
26,0.0783739
27,0.0783753
28,0.0783621
29,0.0783682
30,0.0783776
31,0.0783659
32,0.0783745
33,0.0783845
34,0.0783884
35,0.0783853
36,0.0783845
37,0.0783854
38,0.0783991
39,0.0783953
40,0.0783828
41,0.0783877
42,0.0783843
43,0.0783904
44,0.0783888
45,0.0783929
46,0.078393
47,0.0783765
48,0.0783961
49,0.0783762
50,0.0783892
51,0.0783874
52,0.0783913
53,0.0783969
54,0.0784038
55,0.0783917
56,0.0783795
57,0.078393
58,0.0783813
59,0.0783708
60,0.0784164
61,0.0784021
62,0.0783955
63,0.0783921
64,0.0783828
65,0.0783984
66,0.0783693
67,0.078377
68,0.0783988
69,0.0783938
70,0.0783963
71,0.0783956
72,0.0783883
73,0.0784044
74,0.0783941
75,0.0783822
76,0.078397
77,0.0783935
78,0.0783961
79,0.0784216
80,0.0784191
81,0.0784021
82,0.0784309
83,0.0783938
84,0.0784318
85,0.0784104
86,0.0784165
87,0.078416
88,0.0784088
89,0.0784182
90,0.0784206
91,0.0784204
92,0.078426
93,0.0784233
94,0.0784132
95,0.07841
96,0.0784187
97,0.0784259
98,0.0784151
99,0.0784033
100,0.0784199
101,0.078421
102,0.0784301
103,0.0784282
104,0.0784206
105,0.0784374
106,0.0784229
107,0.0784151
108,0.0784439
109,0.0784238
110,0.0784351
111,0.0784278
112,0.0784444
113,0.0784128
114,0.0784373
115,0.0784388
116,0.0784464
117,0.0784175
118,0.0784346
119,0.0784535
120,0.0784116
121,0.0784422
122,0.0784305
123,0.0784519
124,0.0784594
125,0.07844
126,0.0784473
127,0.0784394
128,0.0784453
129,0.0784659
130,0.0784416
131,0.0784209
132,0.0784216
133,0.0784242
134,0.0784105
135,0.0784167
136,0.0784285
137,0.0784345
138,0.0784388
139,0.0784245
140,0.0784367
141,0.078434
142,0.078423
143,0.0784166
144,0.0784296
145,0.0784338
146,0.0784406
147,0.0784269
148,0.078448
149,0.078429
150,0.0784049
151,0.0784339
152,0.0784106
153,0.0784158
154,0.078418
155,0.0784421
156,0.0784199
157,0.0784247
158,0.078439
159,0.0784164
160,0.0784483
161,0.0784311
162,0.0784345
163,0.0784402
164,0.0784339
165,0.0784455
166,0.0784214
167,0.0784366
168,0.0784562
169,0.0784361
170,0.078438
171,0.0784314
172,0.0784406
173,0.0784491
174,0.0784459
175,0.0784383
176,0.078451
177,0.0784362
178,0.0784503
179,0.078431
180,0.0784312
181,0.0784289
182,0.0784491
183,0.0784345
184,0.0784281
185,0.0784501
186,0.0784604
187,0.0784681
188,0.0784417
189,0.0784515
190,0.0784229
191,0.0784409
192,0.0784479
193,0.0784341
194,0.0784301
195,0.0784411
196,0.0784202
197,0.0784456
198,0.078451
199,0.0784316
200,0.0784363
201,0.0784411
202,0.0784268
203,0.0784367
204,0.0784237
205,0.0784332
206,0.0784414
207,0.0784485
208,0.0784494
209,0.0784557
210,0.0784558
211,0.0784462
212,0.0784172
213,0.0784319
214,0.0784386
215,0.078449
216,0.078448
217,0.0784331
218,0.0784457
219,0.0784387
220,0.0784373
221,0.0784476
222,0.0784742
223,0.0784513
224,0.0784499
225,0.0784632
226,0.0784314
227,0.0784812
228,0.0784466
229,0.0784669
230,0.0784525
231,0.078444
232,0.0784585
233,0.0784506
234,0.0784509
235,0.0784624
236,0.0784375
237,0.078461
238,0.0784287
239,0.0784506
240,0.0784465
241,0.0784332
242,0.0784401
243,0.0784366
244,0.0784276
245,0.0784607
246,0.0784374
247,0.0784516
248,0.0784369
249,0.0784596
250,0.0784362
251,0.0784401
252,0.0784445
253,0.078445
254,0.0784359
255,0.0784339
256,0.0784838
257,0.0784361
258,0.0784517
259,0.0784777
260,0.0784861
261,0.0784812
262,0.0784523
263,0.0784825
264,0.0784487
265,0.0784607
266,0.0784815
267,0.078455
268,0.078451
269,0.0784852
270,0.0784502
271,0.0784585
272,0.0784568
273,0.0784453
274,0.0784566
275,0.0784489
276,0.0784683
277,0.0784653
278,0.0784689
279,0.0784828
280,0.0784728
281,0.0784824
282,0.0784692
283,0.078456
284,0.0784555
285,0.0784706
286,0.078469
287,0.078486
288,0.0784784
289,0.078456
290,0.0784595
291,0.078468
292,0.0784722
293,0.0784603
294,0.078478
295,0.0784533
296,0.0784664
297,0.0784745
298,0.0784913
299,0.0784937
300,0.0784689
301,0.0784878
302,0.0784725
303,0.0784793
304,0.0784766
305,0.0784505
306,0.0784451
307,0.0784604
308,0.0784846
309,0.0784912
310,0.0784852
311,0.0784777
312,0.0784765
313,0.0784855
314,0.0784818
315,0.0784577
316,0.0784686
317,0.078496
318,0.078474
319,0.0784689
320,0.0784899
321,0.0784986
322,0.0784769
323,0.0784901
324,0.0785006
325,0.0784603
326,0.0784995
327,0.0784727
328,0.0784338
329,0.0784707
330,0.0784827
331,0.078464
332,0.0784745
333,0.0784812
334,0.0784956
335,0.0784823
336,0.0784594
337,0.0784747
338,0.0784643
339,0.0784643
340,0.0784792
341,0.0784848
342,0.0784797
343,0.0784908
344,0.0784795
345,0.0784527
346,0.0784726
347,0.0784778
348,0.0784834
349,0.078466
350,0.078498
351,0.0784722
352,0.0784854
353,0.0784567
354,0.0784972
355,0.078473
356,0.0784377
357,0.0784574
358,0.0784826
359,0.0784607
360,0.0784704
361,0.0784422
362,0.0784488
363,0.0784611
364,0.0784537
365,0.0784547
366,0.0784552
367,0.0784812
368,0.078451
369,0.0784441
370,0.0784588
371,0.0784581
372,0.0784543
373,0.0784457
374,0.0784517
375,0.0784662
376,0.0784529
377,0.0784392
378,0.0784692
379,0.0784565
380,0.0784425
381,0.0784605
382,0.0784642
383,0.0784699
384,0.0784576
385,0.0784552
386,0.0784562
387,0.0784721
388,0.078448
389,0.0784616
390,0.078444
391,0.0784685
392,0.0784607
393,0.0784723
394,0.0784765
395,0.0784636
396,0.0784639
397,0.0784718
398,0.078457
399,0.0784805
400,0.0784661
401,0.0784679
402,0.0784821
403,0.0784857
404,0.0784767
405,0.0784956
406,0.0784701
407,0.0784634
408,0.0784682
409,0.0784813
410,0.0784728
411,0.0784702
412,0.0784474
413,0.0784715
414,0.078475
415,0.0784398
416,0.0784636
417,0.0784522
418,0.0784813
419,0.0784654
420,0.078444
421,0.0784479
422,0.0784679
423,0.0784634
424,0.0784786
425,0.0784512
426,0.0784651
427,0.0784594
428,0.0784342
429,0.0784945
430,0.0784992
431,0.0784756
432,0.0784825
433,0.0784713
434,0.0784871
435,0.0784557
436,0.0784749
437,0.0784548
438,0.0784535
439,0.0784523
440,0.0784457
441,0.0784679
442,0.0784722
443,0.0784726
444,0.078447
445,0.0784768
446,0.0784681
447,0.0785075
448,0.0784758
449,0.0784951
450,0.0784805
451,0.0784919
452,0.0784673
453,0.0784743
454,0.0785016
455,0.0784848
456,0.078471
457,0.0784832
458,0.0784901
459,0.0784724
460,0.0784542
461,0.078472
462,0.0784585
463,0.0784992
464,0.0785063
465,0.078486
466,0.0784729
