Keuwl Accelerometer Data File
2020-08-31 13-27-25

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
513.2800903,-0.130484,-0.005986,9.781511,9.782383,0.764894,182.626404
513.2900391,-0.137667,-0.008380,9.780313,9.781286,0.807940,183.483276
513.3000488,-0.130484,-0.010774,9.780313,9.781190,0.766938,184.720139
513.3099976,-0.132878,-0.007183,9.783905,9.784810,0.779340,183.094055
513.3200684,-0.140061,-0.009577,9.780313,9.781321,0.822106,183.911575
513.3300171,-0.141258,-0.013168,9.775525,9.776554,0.831336,185.325745
513.3400269,-0.140061,-0.003591,9.782708,9.783711,0.820438,181.468796
513.3500366,-0.141258,-0.010774,9.782708,9.783734,0.829923,184.361572
513.3600464,-0.142455,-0.011971,9.776723,9.777768,0.837668,184.803482
513.3699951,-0.143652,-0.011971,9.782708,9.783771,0.844415,184.763641
513.3800049,-0.142455,-0.011971,9.786300,9.787344,0.836966,184.803482
513.3900146,-0.140061,-0.011971,9.776723,9.777734,0.824008,184.885208
513.4000244,-0.140061,-0.005986,9.781511,9.782516,0.820915,182.447052
513.4101563,-0.132878,-0.008380,9.779117,9.780023,0.779842,183.608475
513.4201050,-0.132878,0.001197,9.782708,9.783610,0.778083,179.483841
513.4303589,-0.136469,0.003591,9.775525,9.776479,0.800397,178.492569
513.4400635,-0.142455,-0.003591,9.783905,9.784943,0.834391,181.444122
513.4500122,-0.146046,-0.005986,9.781511,9.782603,0.856151,182.346878
513.4600220,-0.142455,-0.007183,9.783905,9.784945,0.835094,182.886414
513.4699707,-0.134075,-0.008380,9.781511,9.782434,0.786836,183.576340
513.4800415,-0.136469,-0.009577,9.781511,9.782468,0.801130,184.014175
513.4899902,-0.132878,0.002394,9.776723,9.777626,0.778838,178.967758
513.5000610,-0.135272,-0.010774,9.782708,9.783649,0.794754,184.553772
513.5100098,-0.132878,0.005986,9.781511,9.782415,0.779089,177.420853
513.5200195,-0.132878,0.005986,9.781511,9.782415,0.779089,177.420853
513.5299683,-0.140061,-0.011971,9.785102,9.786112,0.823057,184.885208
513.5400391,-0.143652,-0.008380,9.781511,9.782570,0.842791,183.338470
513.5499878,-0.135272,-0.013168,9.780313,9.781258,0.795985,185.559952
513.5600586,-0.147243,-0.014365,9.789890,9.791008,0.865698,185.572205
513.5700073,-0.142455,-0.010774,9.780313,9.781357,0.836966,184.325058
513.5800781,-0.141258,0.001197,9.783905,9.784925,0.827562,179.514450
513.5900879,-0.132878,-0.004788,9.781511,9.782414,0.778586,182.063812
513.6000366,-0.138864,-0.005986,9.785102,9.786089,0.813732,182.468124
513.6100464,-0.143652,-0.011971,9.783905,9.784967,0.844415,184.763641
513.6199951,-0.149638,-0.009577,9.782708,9.783857,0.878264,183.661942
513.6300049,-0.138864,-0.011971,9.775525,9.776519,0.816852,184.927109
513.6400146,-0.143652,-0.003591,9.781511,9.782567,0.841862,181.432098
513.6514282,-0.140061,-0.008380,9.783905,9.784911,0.821629,183.423874
513.6599731,-0.135272,-0.008380,9.773131,9.774072,0.794754,183.544769
513.6701660,-0.132878,-0.010774,9.775525,9.776434,0.781346,184.635468
513.6799927,-0.131681,-0.011971,9.773131,9.774026,0.775060,185.194427
513.6900024,-0.144849,-0.011971,9.782708,9.783788,0.851108,184.724457
513.7000122,-0.138864,-0.011971,9.786300,9.787292,0.815654,184.927109
513.7102051,-0.137667,-0.002394,9.783905,9.784874,0.806243,180.996353
513.7200317,-0.137667,-0.001197,9.781511,9.782480,0.806486,180.498215
513.7299805,-0.137667,-0.002394,9.782708,9.783677,0.806486,180.996353
513.7399902,-0.143652,-0.002394,9.786300,9.787354,0.841164,180.954834
513.7500000,-0.143652,-0.003591,9.782708,9.783763,0.841397,181.432098
513.7600098,-0.135272,-0.004788,9.780313,9.781250,0.792782,182.027328
513.7699585,-0.136469,-0.005986,9.781511,9.782465,0.800153,182.511368
513.7802124,-0.141258,-0.005986,9.783905,9.784926,0.827798,182.426331
513.7899780,-0.140061,-0.004788,9.781511,9.782516,0.820915,181.958069
513.8000488,-0.141258,-0.009577,9.781511,9.782536,0.829215,183.878525
513.8099976,-0.143652,-0.003591,9.786300,9.787354,0.841164,181.432098
513.8200073,-0.140061,-0.016759,9.777920,9.778937,0.826616,186.823456
513.8300171,-0.129287,-0.007183,9.780313,9.781171,0.758730,183.179825
513.8400879,-0.136469,-0.004788,9.786300,9.787252,0.799419,182.009552
513.8499756,-0.142455,-0.011971,9.791088,9.792132,0.836733,184.803482
513.8599854,-0.137667,-0.004788,9.780313,9.781283,0.806971,181.992096
513.8699951,-0.136469,-0.001197,9.782708,9.783660,0.799174,180.502579
513.8800049,-0.138864,-0.020351,9.787497,9.788503,0.821391,188.337448
513.8903198,-0.135272,-0.015562,9.781511,9.782459,0.797703,186.562698
513.9000244,-0.147243,-0.015562,9.782708,9.783829,0.867278,186.033249
513.9099731,-0.142455,-0.009577,9.787497,9.788538,0.835797,183.846024
513.9199829,-0.138864,-0.007183,9.782708,9.783696,0.814213,182.960938
513.9299927,-0.134075,-0.007183,9.779117,9.780038,0.786339,183.066483
513.9401855,-0.138864,-0.011971,9.789890,9.790882,0.815654,184.927109
513.9500122,-0.138864,-0.014365,9.781511,9.782508,0.817810,185.906143
513.9600220,-0.150835,0.003591,9.785102,9.786265,0.883595,178.636078
513.9700317,-0.131681,-0.014365,9.781511,9.782408,0.775564,186.225830
513.9799805,-0.140061,-0.004788,9.787497,9.788500,0.820438,181.958069
513.9901123,-0.137667,-0.005986,9.787497,9.788466,0.806486,182.489548
514.0000610,-0.126893,-0.010774,9.782708,9.783537,0.745723,184.853104
514.0099487,-0.140061,-0.015562,9.788693,9.789708,0.824957,186.340195
514.0200195,-0.132878,-0.008380,9.782708,9.783614,0.779842,183.608475
514.0299683,-0.136469,0.001197,9.781511,9.782463,0.799174,179.497421
514.0400391,-0.143652,-0.011971,9.787497,9.788558,0.843719,184.763641
514.0501099,-0.140061,-0.005986,9.786300,9.787304,0.820676,182.447052
514.0599976,-0.144849,-0.011971,9.787497,9.788576,0.850878,184.724457
514.0700073,-0.132878,-0.001197,9.783905,9.784807,0.778083,180.516159
514.0800171,-0.138864,-0.005986,9.787497,9.788484,0.813732,182.468124
514.0900879,-0.136469,-0.003591,9.781511,9.782464,0.799663,181.507431
514.0999756,-0.140061,-0.017957,9.783905,9.784925,0.827089,187.305756
514.1099854,-0.134075,-0.016759,9.785102,9.786035,0.791053,187.125015
514.1200562,-0.136469,-0.002394,9.785102,9.786054,0.799174,181.005081
514.1300049,-0.128090,-0.011971,9.782708,9.783554,0.753554,185.339233
514.1400146,-0.142455,-0.011971,9.787497,9.788541,0.836966,184.803482
514.1502075,-0.150835,-0.005986,9.786300,9.787464,0.883817,182.272446
514.1600342,-0.140061,-0.013168,9.782708,9.783720,0.824008,185.371002
514.1700439,-0.140061,0.008380,9.783905,9.784911,0.821629,176.576126
514.1799927,-0.146046,-0.015562,9.785102,9.786204,0.860028,186.082336
514.1900635,-0.138864,-0.005986,9.786300,9.787287,0.813732,182.468124
514.2000122,-0.141258,-0.009577,9.786300,9.787324,0.828979,183.878525
514.2099609,-0.138864,-0.009577,9.786300,9.787290,0.814934,183.945190
514.2200317,-0.143652,-0.008380,9.785102,9.786160,0.842791,183.338470
514.2304077,-0.137667,-0.003591,9.783905,9.784874,0.806243,181.494339
514.2399902,-0.140061,-0.005986,9.783905,9.784909,0.820915,182.447052
514.2500000,-0.144849,-0.008380,9.789890,9.790965,0.849037,183.310944
514.2600098,-0.141258,0.001197,9.782708,9.783729,0.827562,179.514450
514.2700195,-0.132878,-0.001197,9.782708,9.783610,0.778083,180.516159
514.2799683,-0.141258,-0.003591,9.782708,9.783729,0.827562,181.456360
514.2900391,-0.140061,-0.010774,9.777920,9.778929,0.823057,184.398712
514.2999878,-0.130484,-0.003591,9.780313,9.781184,0.764383,181.576553
514.3100586,-0.144849,-0.013168,9.786300,9.787380,0.851338,185.194427
514.3200073,-0.143652,-0.004788,9.782708,9.783764,0.841629,181.909149
514.3300171,-0.138864,-0.004788,9.783905,9.784891,0.813492,181.974930
514.3416748,-0.138864,-0.003591,9.786300,9.787286,0.813251,181.481461
514.3500366,-0.140061,-0.010774,9.781511,9.782519,0.822581,184.398712
514.3599854,-0.135272,-0.007183,9.775525,9.776464,0.793769,183.039398
514.3699951,-0.134075,0.003591,9.782708,9.783628,0.785592,178.465652
514.3800659,-0.136469,-0.017957,9.782708,9.783676,0.806000,187.495850
514.3900757,-0.146046,-0.008380,9.785102,9.786196,0.856608,183.283859
514.4000854,-0.143652,-0.011971,9.788693,9.789755,0.843719,184.763641
514.4100342,-0.143652,-0.002394,9.783905,9.784960,0.841164,180.954834
514.4200439,-0.132878,-0.002394,9.780313,9.781217,0.778586,181.032242
514.4299927,-0.135272,-0.019154,9.785102,9.786056,0.799908,188.059097
514.4400024,-0.134075,-0.022745,9.792285,9.793229,0.795493,189.628159
514.4500732,-0.142455,-0.017957,9.783905,9.784959,0.840932,187.184265
514.4600830,-0.150835,-0.014365,9.780313,9.781487,0.887793,185.440338
514.4700928,-0.132878,-0.008380,9.779117,9.780023,0.779842,183.608475
514.4800415,-0.137667,-0.015562,9.789890,9.790871,0.810841,186.449539
514.4900513,-0.141258,-0.007183,9.787497,9.788519,0.828035,182.910843
514.5000610,-0.141258,-0.016759,9.788693,9.789727,0.832748,186.766174
514.5100098,-0.142455,0.002394,9.781511,9.782549,0.834391,179.037140
514.5200195,-0.148441,-0.015562,9.785102,9.786241,0.874021,185.984955
514.5304565,-0.141258,-0.008380,9.779117,9.780140,0.828743,183.394928
514.5400391,-0.132878,-0.007183,9.782708,9.783613,0.779340,183.094055
514.5500488,-0.137667,-0.004788,9.783905,9.784875,0.806728,181.992096
514.5599976,-0.143652,-0.005986,9.786300,9.787355,0.841629,182.385941
514.5700073,-0.134075,-0.015562,9.783905,9.784836,0.790310,186.620773
514.5800171,-0.136469,-0.009577,9.786300,9.787255,0.800642,184.014175
514.5900269,-0.138864,-0.016759,9.791088,9.792088,0.818527,186.881729
514.6000366,-0.141258,-0.007183,9.786300,9.787322,0.828035,182.910843
514.6101074,-0.144849,-0.007183,9.788693,9.789768,0.849037,182.838791
514.6200562,-0.147243,-0.016759,9.787497,9.788619,0.867729,186.493530
514.6300049,-0.141258,-0.015562,9.793482,9.794513,0.831336,186.286896
514.6400146,-0.144849,-0.007183,9.782708,9.783783,0.849267,182.838791
514.6500244,-0.143652,-0.014365,9.777920,9.778985,0.845804,185.710587
514.6600342,-0.140061,-0.011971,9.779117,9.780127,0.823295,184.885208
514.6701050,-0.132878,-0.011971,9.780313,9.781223,0.781596,185.147888
